 Date Time CO OZ NO2 NO
 08.04.13 00:00 0.02 0.38 0.18 0.01
 -------- 01:00 0.03 0.34 0.19 0.02
 -------- 02:00 0.11 0.35 0.21 0.05
 -------- 03:00 0.02 0.29 0.20 0.03
 -------- 04:00 0.04 0.13 0.25 0.02
 08.04.13 05:00 0.07 0.05 0.30 0.04
 -------- 06:00 0.09 0.05 0.29 0.07
 -------- 07:00 0.19 0.06 0.32 0.19
 -------- 08:00 0.21 0.07 0.33 0.17
 -------- 09:00 0.27 0.08 0.35 0.23
 08.04.13 10:00 0.08 0.16 0.30 0.13
 -------- 11:00 0.06 0.21 0.28 0.10
 -------- 12:00 0.04 0.33 0.22 0.06
 -------- 13:00 0.02 0.40 0.18 0.03
 -------- 14:00 0.03 0.35 0.23 0.05
 08.04.13 15:00 0.03 0.34 0.23 0.06
 -------- 16:00 0.02 0.43 0.20 0.03
 -------- 17:00 0.02 0.47 0.18 0.02
 -------- 18:00 0.04 0.52 0.18 0.02
 -------- 19:00 0.04 0.51 0.18 0.02
 08.04.13 20:00 0.04 0.34 0.26 0.05
 -------- 21:00 0.08 0.36 0.23 0.03
 -------- 22:00 0.08 0.09 0.37 0.12
 -------- 23:00 0.22 0.06 0.40 0.35
 -------- 00:00 0.31 0.06 0.42 0.46
 09.04.13 01:00 0.43 0.06 0.45 0.69
 -------- 02:00 0.35 0.06 0.45 0.66
 -------- 03:00 0.21 0.06 0.46 0.57
 -------- 04:00 0.15 0.06 0.39 0.35
 -------- 05:00 0.14 0.06 0.40 0.35
 09.04.13 06:00 0.15 0.06 0.40 0.30
 -------- 07:00 0.32 0.06 0.42 0.46
 -------- 08:00 0.43 0.06 0.45 0.50
 -------- 09:00 0.33 0.07 0.43 0.35
 -------- 10:00 0.21 0.11 0.38 0.20
 09.04.13 11:00 0.13 0.14 0.42 0.17
 -------- 12:00 0.07 0.21 0.34 0.11
 -------- 13:00 0.13 0.15 0.39 0.12
 -------- 14:00 0.16 0.14 0.39 0.17
 -------- 15:00 0.07 0.23 0.33 0.10
 09.04.13 16:00 0.10 0.17 0.37 0.12
 -------- 17:00 0.06 0.21 0.34 0.06
 -------- 18:00 0.07 0.20 0.36 0.08
 -------- 19:00 0.06 0.23 0.32 0.05
 -------- 20:00 0.19 0.10 0.40 0.15
 09.04.13 21:00 0.23 0.06 0.43 0.22
 -------- 22:00 0.35 0.06 0.45 0.39
 -------- 23:00 0.29 0.06 0.44 0.38
 -------- 00:00 0.30 0.06 0.45 0.49
