 Date Time CO OZ NO2 CHX NO
 03.12.12 23:00 0.17 0.04 0.10 1.79 0.08
 -------- 00:00 0.14 0.05 0.09 1.76 0.07
 -------- 01:00 0.13 0.05 0.10 1.62 0.07
 -------- 02:00 0.12 0.05 0.07 1.60 0.05
 -------- 03:00 0.12 0.05 0.06 1.54 0.04
 04.12.12 04:00 0.12 0.05 0.06 1.52 0.03
 -------- 05:00 0.12 0.05 0.08 1.65 0.05
 -------- 06:00 0.13 0.05 0.08 1.72 0.06
 -------- 07:00 0.15 0.05 0.10 1.66 0.11
 -------- 08:00 0.17 0.05 0.10 1.65 0.12
 04.12.12 09:00 0.17 0.05 0.10 1.66 0.12
 -------- 10:00 0.22 0.06 0.10 1.67 0.16
 -------- 11:00 0.25 0.06 0.12 1.71 0.26
 -------- 12:00 0.25 0.05 0.11 1.70 0.25
 -------- 13:00 0.25 0.03 0.12 1.72 0.28
 04.12.12 14:00 0.21 0.05 0.10 1.67 0.22
 -------- 15:00 0.22 0.05 0.10 1.69 0.26
 -------- 16:00 0.23 0.03 0.10 1.69 0.26
 -------- 17:00 0.21 0.03 0.09 1.67 0.22
 -------- 18:00 0.17 0.05 0.08 1.66 0.15
 04.12.12 19:00 0.16 0.04 0.08 1.60 0.08
 -------- 20:00 0.14 0.03 0.06 1.53 0.05
 -------- 21:00 0.14 0.02 0.07 1.54 0.05
 -------- 22:00 0.13 0.04 0.07 1.51 0.04
 -------- 23:00 0.11 0.03 0.06 1.50 0.03
 05.12.12 00:00 0.10 0.05 0.06 1.48 0.03
 -------- 01:00 0.10 0.07 0.07 1.49 0.04
 -------- 02:00 0.10 0.03 0.09 1.53 0.06
 -------- 03:00 0.10 0.05 0.09 1.49 0.06
 -------- 04:00 0.10 0.05 0.07 1.52 0.05
 05.12.12 05:00 0.09 0.04 0.06 1.49 0.04
 -------- 06:00 0.11 0.03 0.09 1.51 0.06
 -------- 07:00 0.11 0.05 0.08 1.49 0.06
 -------- 08:00 0.12 0.04 0.09 1.50 0.06
 -------- 09:00 0.13 0.04 0.11 1.52 0.07
 05.12.12 10:00 0.19 0.03 0.14 1.57 0.12
 -------- 11:00 0.18 0.04 0.10 1.52 0.08
 -------- 12:00 0.19 ---- 0.12 1.55 0.11
 -------- 13:00 0.19 0.01 0.10 1.54 0.07
 -------- 14:00 0.21 ---- 0.13 1.57 0.13
 05.12.12 15:00 0.26 ---- 0.15 1.59 0.17
 -------- 16:00 0.25 ---- 0.17 1.61 0.18
 -------- 17:00 0.28 0.02 0.19 1.65 0.23
 -------- 18:00 0.29 ---- 0.19 1.71 0.23
 -------- 19:00 0.28 ---- 0.19 1.69 0.18
 05.12.12 20:00 0.25 ---- 0.17 1.65 0.19
 -------- 21:00 0.25 ---- 0.17 1.62 0.22
 -------- 22:00 0.27 ---- 0.17 1.64 0.23
