 Date Time CO NO2 CHX NO
 30.11.12 12:00 0.21 0.08 1.62 0.20
 -------- 13:00 0.22 0.09 1.62 0.20
 -------- 14:00 0.23 0.09 1.63 0.20
 -------- 15:00 0.23 0.09 1.67 0.17
 -------- 16:00 0.19 0.09 1.64 0.18
 30.11.12 17:00 0.17 0.09 1.65 0.22
 -------- 18:00 0.19 0.10 1.69 0.22
 -------- 19:00 0.22 0.09 1.73 0.29
 -------- 20:00 0.21 0.09 1.74 0.29
 -------- 21:00 0.29 0.10 1.83 0.41
 30.11.12 22:00 0.30 0.10 1.71 0.30
 -------- 23:00 0.34 0.10 1.74 0.40
 -------- 00:00 0.29 0.11 1.68 0.33
 -------- 01:00 0.27 0.12 1.62 0.28
 -------- 02:00 0.27 0.13 1.60 0.33
 01.12.12 03:00 0.25 0.13 1.60 0.28
 -------- 04:00 0.25 0.13 1.60 0.25
 -------- 05:00 0.23 0.13 1.58 0.19
 -------- 06:00 0.22 0.11 1.55 0.13
 -------- 07:00 0.23 0.12 1.58 0.15
 01.12.12 08:00 0.25 0.14 1.57 0.14
 -------- 09:00 0.25 0.09 1.57 0.15
 -------- 10:00 0.23 0.09 1.60 0.16
 -------- 11:00 0.25 0.09 1.65 0.25
 -------- 12:00 0.27 0.11 1.69 0.31
 01.12.12 13:00 0.27 0.10 1.69 0.27
 -------- 14:00 0.26 0.09 1.71 0.23
 -------- 15:00 0.31 0.10 1.73 0.30
 -------- 16:00 0.28 0.09 1.71 0.25
 -------- 17:00 0.31 0.09 1.77 0.30
 01.12.12 18:00 0.30 0.10 1.80 0.31
 -------- 19:00 0.31 0.10 1.80 0.33
 -------- 20:00 0.30 0.09 1.80 0.28
 -------- 21:00 0.31 0.09 1.79 0.32
 -------- 22:00 0.39 0.09 1.80 0.32
 01.12.12 23:00 0.36 0.09 1.73 0.29
 -------- 00:00 0.33 0.09 1.66 0.26
 -------- 01:00 0.32 0.07 1.68 0.23
 -------- 02:00 0.34 0.07 1.72 0.25
 -------- 03:00 0.33 0.08 1.75 0.25
 02.12.12 04:00 0.27 0.07 1.66 0.13
 -------- 05:00 0.26 0.06 1.62 0.09
 -------- 06:00 0.24 0.06 1.62 0.08
 -------- 07:00 0.25 0.05 1.62 0.07
 -------- 08:00 0.27 0.06 1.66 0.11
 02.12.12 09:00 0.28 0.06 1.64 0.12
 -------- 10:00 0.24 0.07 1.65 0.12
 -------- 11:00 0.22 0.08 1.63 0.12
