 Date Time CO NO2 CHX NO
 28.11.12 12:00 0.25 0.10 1.67 0.27
 -------- 13:00 0.26 0.09 1.68 0.26
 -------- 14:00 0.29 0.10 1.74 0.28
 -------- 15:00 0.30 0.12 1.78 0.29
 -------- 16:00 0.33 0.12 1.81 0.30
 28.11.12 17:00 0.29 0.11 1.71 0.23
 -------- 18:00 0.26 0.11 1.66 0.17
 -------- 19:00 0.26 0.11 1.66 0.16
 -------- 20:00 0.23 0.10 1.64 0.14
 -------- 21:00 0.21 0.10 1.60 0.13
 28.11.12 22:00 0.22 0.09 1.59 0.13
 -------- 23:00 0.19 0.10 1.58 0.15
 -------- 00:00 0.17 0.08 1.56 0.11
 -------- 01:00 0.16 0.09 1.55 0.12
 -------- 02:00 0.14 0.08 1.54 0.10
 29.11.12 03:00 0.14 0.06 1.56 0.07
 -------- 04:00 0.14 0.08 1.63 0.08
 -------- 05:00 0.13 0.08 1.67 0.08
 -------- 06:00 0.15 0.09 1.60 0.11
 -------- 07:00 0.18 0.11 1.61 0.15
 29.11.12 08:00 0.21 0.11 1.62 0.15
 -------- 09:00 0.22 0.11 1.62 0.16
 -------- 10:00 0.25 0.13 1.64 0.18
 -------- 11:00 0.24 0.13 1.64 0.19
 -------- 12:00 0.22 0.13 1.62 0.18
 29.11.12 13:00 0.22 0.12 1.62 0.17
 -------- 14:00 0.24 0.12 1.65 0.19
 -------- 15:00 0.25 0.13 1.67 0.22
 -------- 16:00 0.26 0.12 1.69 0.19
 -------- 17:00 0.21 0.12 1.64 0.17
 29.11.12 18:00 0.19 0.11 1.62 0.13
 -------- 19:00 0.16 0.10 1.59 0.11
 -------- 20:00 0.16 0.10 1.59 0.10
 -------- 21:00 0.16 0.09 1.58 0.10
 -------- 22:00 0.16 0.09 1.56 0.11
 29.11.12 23:00 0.14 0.09 1.54 0.12
 -------- 00:00 0.13 0.08 1.54 0.10
 -------- 01:00 0.13 0.09 1.56 0.10
 -------- 02:00 0.13 0.09 1.58 0.13
 -------- 03:00 0.11 0.08 1.58 0.12
 30.11.12 04:00 0.10 0.08 1.56 0.11
 -------- 05:00 0.11 0.07 1.56 0.10
 -------- 06:00 0.13 0.08 1.58 0.13
 -------- 07:00 0.15 0.08 1.60 0.15
 -------- 08:00 0.18 0.09 1.61 0.17
 30.11.12 09:00 0.17 0.08 1.62 0.16
 -------- 10:00 0.23 0.10 1.66 0.19
 -------- 11:00 0.22 0.09 1.64 0.19
