 Date Time CO OZ NO2 NO
 13.04.13 23:00 ---- 0.22 0.28 0.06
 -------- 00:00 ---- 0.22 0.27 0.06
 -------- 01:00 ---- 0.20 0.28 0.05
 -------- 02:00 ---- 0.14 0.31 0.07
 -------- 03:00 ---- 0.17 0.28 0.06
 14.04.13 04:00 ---- 0.23 0.26 0.05
 -------- 05:00 ---- 0.28 0.23 0.04
 -------- 06:00 ---- 0.26 0.24 0.04
 -------- 07:00 ---- 0.26 0.23 0.04
 -------- 08:00 ---- 0.25 0.25 0.05
 14.04.13 09:00 ---- 0.24 0.25 0.06
 -------- 10:00 ---- 0.27 0.25 0.06
 -------- 11:00 ---- 0.28 0.26 0.07
 -------- 12:00 ---- 0.34 0.25 0.06
 -------- 13:00 ---- 0.39 0.23 0.05
 14.04.13 14:00 ---- 0.48 0.22 0.04
 -------- 15:00 ---- 0.48 0.24 0.04
 -------- 16:00 ---- 0.50 0.23 0.04
 -------- 17:00 0.02 0.44 0.25 0.04
 -------- 18:00 ---- 0.46 0.25 0.04
 14.04.13 19:00 0.02 0.40 0.27 0.04
 -------- 20:00 ---- 0.16 0.39 0.10
 -------- 21:00 0.02 0.09 0.42 0.13
 -------- 22:00 0.02 0.06 0.45 0.33
 -------- 23:00 0.02 0.06 0.43 0.30
 15.04.13 00:00 ---- 0.06 0.42 0.30
 -------- 01:00 ---- 0.10 0.37 0.13
 -------- 02:00 ---- 0.17 0.30 0.05
 -------- 03:00 0.02 0.14 0.31 0.06
 -------- 04:00 ---- 0.11 0.31 0.07
 15.04.13 05:00 ---- 0.08 0.33 0.10
 -------- 06:00 ---- 0.06 0.38 0.38
 -------- 07:00 ---- 0.06 0.39 0.31
 -------- 08:00 ---- 0.06 0.38 0.25
 -------- 09:00 ---- 0.07 0.36 0.21
 15.04.13 10:00 ---- 0.08 0.38 0.21
 -------- 11:00 ---- 0.09 0.40 0.22
 -------- 12:00 ---- 0.13 0.40 0.17
 -------- 13:00 ---- 0.22 0.36 0.10
 -------- 14:00 ---- 0.24 0.35 0.10
 15.04.13 15:00 ---- 0.28 0.34 0.08
 -------- 16:00 ---- 0.30 0.34 0.08
 -------- 17:00 ---- 0.32 0.33 0.07
 -------- 18:00 ---- 0.42 0.28 0.04
 -------- 19:00 ---- 0.40 0.30 0.04
 15.04.13 20:00 ---- 0.20 0.40 0.07
 -------- 21:00 ---- 0.13 0.42 0.09
 -------- 22:00 ---- 0.09 0.46 0.15
