 Date Time CO OZ NO2 NO
 03.03.13 00:00 0.12 0.21 0.20 0.01
 -------- 01:00 0.21 0.08 0.28 0.14
 -------- 02:00 0.31 0.06 0.30 0.25
 -------- 03:00 0.31 0.06 0.30 0.33
 -------- 04:00 0.21 0.06 0.29 0.16
 03.03.13 05:00 0.25 0.06 0.30 0.23
 -------- 06:00 0.23 0.06 0.30 0.21
 -------- 07:00 0.21 0.06 0.30 0.18
 -------- 08:00 0.21 0.06 0.31 0.20
 -------- 09:00 0.20 0.07 0.28 0.12
 03.03.13 10:00 0.15 0.16 0.24 0.07
 -------- 11:00 0.23 0.12 0.28 0.13
 -------- 12:00 0.20 0.14 0.27 0.11
 -------- 13:00 0.19 0.18 0.24 0.09
 -------- 14:00 0.16 0.23 0.22 0.07
 03.03.13 15:00 0.14 0.28 0.20 0.07
 -------- 16:00 0.20 0.17 0.24 0.09
 -------- 17:00 0.17 0.19 0.23 0.07
 -------- 18:00 0.16 0.21 0.22 0.06
 -------- 19:00 0.15 0.22 0.21 0.06
 03.03.13 20:00 0.15 0.24 0.21 0.05
 -------- 21:00 0.14 0.24 0.20 0.04
 -------- 22:00 0.15 0.22 0.21 0.05
 -------- 23:00 0.14 0.23 0.21 0.05
 -------- 00:00 0.12 0.24 0.20 0.04
 04.03.13 01:00 0.11 0.25 0.20 0.04
 -------- 02:00 0.10 0.32 0.16 0.02
 -------- 03:00 0.10 0.31 0.16 0.02
 -------- 04:00 0.10 0.22 0.21 0.04
 -------- 05:00 0.11 0.19 0.21 0.04
 04.03.13 06:00 0.13 0.13 0.24 0.07
 -------- 07:00 0.16 0.14 0.24 0.09
 -------- 08:00 0.21 0.12 0.25 0.09
 -------- 09:00 0.24 0.10 0.29 0.14
 -------- 10:00 0.21 0.13 0.28 0.15
 04.03.13 11:00 0.21 0.14 0.27 0.16
 -------- 12:00 0.19 0.17 0.25 0.12
 -------- 13:00 0.19 0.19 0.24 0.12
 -------- 14:00 0.18 0.23 0.21 0.09
 -------- 15:00 0.18 0.21 0.24 0.10
 04.03.13 16:00 0.16 0.23 0.23 0.09
 -------- 17:00 0.13 0.30 0.19 0.04
 -------- 18:00 0.13 0.28 0.20 0.05
 -------- 19:00 0.16 0.23 0.22 0.04
 -------- 20:00 0.14 0.24 0.22 0.03
 04.03.13 21:00 0.18 0.17 0.25 0.06
 -------- 22:00 0.13 0.25 0.20 0.04
 -------- 23:00 0.12 0.23 0.19 0.03
