 Date Time CO OZ NO2 NO
 24.01.13 00:00 0.23 0.07 0.31 0.26
 -------- 01:00 0.11 0.16 0.20 0.05
 -------- 02:00 0.16 0.09 0.26 0.18
 -------- 03:00 0.23 0.05 0.30 0.35
 -------- 04:00 0.27 0.05 0.30 0.38
 24.01.13 05:00 0.36 0.06 0.34 0.59
 -------- 06:00 0.45 0.06 0.38 0.74
 -------- 07:00 0.48 0.06 0.38 0.63
 -------- 08:00 0.47 0.06 0.35 0.45
 -------- 09:00 0.36 0.06 0.32 0.29
 24.01.13 10:00 0.29 0.06 0.31 0.26
 -------- 11:00 0.37 0.06 0.34 0.42
 -------- 12:00 0.41 0.06 0.36 0.46
 -------- 13:00 0.34 0.06 0.33 0.32
 -------- 14:00 0.37 0.06 0.33 0.35
 24.01.13 15:00 0.18 0.08 0.27 0.11
 -------- 16:00 0.13 0.10 0.26 0.08
 -------- 17:00 0.09 0.10 0.23 0.03
 -------- 18:00 0.09 0.16 0.20 0.03
 -------- 19:00 0.07 0.19 0.18 0.02
 24.01.13 20:00 0.09 0.16 0.20 0.03
 -------- 21:00 0.11 0.15 0.20 0.03
 -------- 22:00 0.13 0.16 0.20 0.03
 -------- 23:00 0.10 0.23 0.16 0.02
 -------- 00:00 0.10 0.24 0.15 0.01
 25.01.13 01:00 0.11 0.17 0.19 0.04
 -------- 02:00 0.11 0.14 0.21 0.04
 -------- 03:00 0.10 0.17 0.19 0.02
 -------- 04:00 0.10 0.18 0.18 0.02
 -------- 05:00 0.10 0.20 0.17 0.02
 25.01.13 06:00 0.10 0.16 0.19 0.02
 -------- 07:00 0.13 0.11 0.22 0.03
 -------- 08:00 0.17 0.11 0.23 0.06
 -------- 09:00 0.17 0.13 0.21 0.06
 -------- 10:00 0.15 0.13 0.22 0.07
 25.01.13 11:00 0.14 0.16 0.19 0.06
 -------- 12:00 0.16 0.14 0.21 0.07
 -------- 13:00 0.17 0.12 0.23 0.09
 -------- 14:00 0.16 0.12 0.24 0.09
 -------- 15:00 0.14 0.13 0.23 0.06
 25.01.13 16:00 0.11 0.14 0.21 0.04
 -------- 17:00 0.13 0.14 0.22 0.04
 -------- 18:00 0.12 0.13 0.22 0.02
 -------- 19:00 0.13 0.09 0.24 0.04
 -------- 20:00 0.13 0.13 0.21 0.03
 25.01.13 21:00 0.13 0.14 0.20 0.03
 -------- 22:00 0.13 0.11 0.21 0.03
 -------- 23:00 0.14 0.09 0.23 0.03
