 Date Time CO OZ NO2 CHX NO
 22.11.12 23:00 0.22 0.05 0.15 1.52 0.08
 -------- 00:00 0.21 0.05 0.13 1.51 0.07
 -------- 01:00 0.20 0.05 0.13 1.51 0.07
 -------- 02:00 0.20 0.05 0.13 1.51 0.06
 -------- 03:00 0.19 0.05 0.13 1.51 0.07
 23.11.12 04:00 0.18 0.05 0.12 1.50 0.06
 -------- 05:00 0.18 0.05 0.11 1.55 0.07
 -------- 06:00 0.21 0.05 0.12 1.55 0.11
 -------- 07:00 0.22 0.05 0.14 1.54 0.15
 -------- 08:00 0.25 0.05 0.14 1.56 0.16
 23.11.12 09:00 0.24 0.05 0.14 1.56 0.12
 -------- 10:00 0.23 0.05 0.15 1.57 0.15
 -------- 11:00 0.22 0.05 0.14 1.58 0.16
 -------- 12:00 0.23 0.05 0.15 1.62 0.19
 -------- 13:00 0.23 0.05 0.15 1.60 0.17
 23.11.12 14:00 0.24 0.05 0.15 1.62 0.17
 -------- 15:00 0.23 0.05 0.15 1.63 0.16
 -------- 16:00 0.25 0.05 0.18 1.66 0.19
 -------- 17:00 0.29 0.05 0.19 1.69 0.22
 -------- 18:00 0.29 0.05 0.19 1.74 0.25
 23.11.12 19:00 0.26 0.05 0.18 1.78 0.21
 -------- 20:00 0.26 0.05 0.18 1.77 0.23
 -------- 21:00 0.25 0.05 0.16 1.71 0.21
 -------- 22:00 0.29 0.05 0.16 1.67 0.23
 -------- 23:00 0.26 0.05 0.15 1.65 0.20
 24.11.12 00:00 0.25 0.05 0.15 1.63 0.23
 -------- 01:00 0.22 0.05 0.13 1.61 0.18
 -------- 02:00 0.20 0.05 0.13 1.61 0.17
 -------- 03:00 0.18 0.05 0.12 1.60 0.14
 -------- 04:00 0.18 0.05 0.12 1.61 0.14
 24.11.12 05:00 0.18 0.05 0.12 1.61 0.14
 -------- 06:00 0.17 0.05 0.12 1.60 0.17
 -------- 07:00 0.21 0.05 0.13 1.65 0.24
 -------- 08:00 0.23 0.05 0.13 1.67 0.27
 -------- 09:00 0.25 0.05 0.13 1.68 0.28
 24.11.12 10:00 0.23 0.05 0.12 1.65 0.21
 -------- 11:00 0.23 0.05 0.12 1.65 0.24
 -------- 12:00 0.23 0.05 0.13 1.64 0.24
 -------- 13:00 0.25 0.05 0.14 1.66 0.24
 -------- 14:00 0.25 0.05 0.13 1.70 0.20
 24.11.12 15:00 0.23 0.05 0.13 1.68 0.20
 -------- 16:00 0.24 0.05 0.14 1.69 0.25
 -------- 17:00 0.25 0.05 0.14 1.70 0.25
 -------- 18:00 0.25 0.05 0.13 1.70 0.25
 -------- 19:00 0.25 0.05 0.13 1.69 0.25
 24.11.12 20:00 0.25 0.05 0.13 1.68 0.26
 -------- 21:00 0.25 0.05 0.13 1.70 0.24
 -------- 22:00 0.28 0.05 0.14 1.73 0.26
