 Date Time CO OZ NO2 NO
 22.03.13 00:00 0.06 0.30 0.20 0.02
 -------- 01:00 0.05 0.30 0.18 0.01
 -------- 02:00 0.05 0.28 0.20 0.01
 -------- 03:00 0.04 0.31 0.18 0.01
 -------- 04:00 0.04 0.30 0.18 0.01
 22.03.13 05:00 0.04 0.27 0.19 0.01
 -------- 06:00 0.05 0.20 0.22 0.03
 -------- 07:00 0.09 0.17 0.24 0.05
 -------- 08:00 0.11 0.14 0.24 0.04
 -------- 09:00 0.23 0.11 0.27 0.13
 22.03.13 10:00 0.27 0.13 0.27 0.12
 -------- 11:00 0.24 0.14 0.28 0.14
 -------- 12:00 0.20 0.19 0.26 0.13
 -------- 13:00 0.11 0.27 0.20 0.06
 -------- 14:00 0.11 0.28 0.19 0.06
 22.03.13 15:00 0.11 0.30 0.18 0.05
 -------- 16:00 0.09 0.31 0.18 0.05
 -------- 17:00 0.11 0.26 0.20 0.06
 -------- 18:00 0.11 0.22 0.21 0.06
 -------- 19:00 0.10 0.20 0.21 0.04
 22.03.13 20:00 0.11 0.15 0.21 0.04
 -------- 21:00 0.12 0.19 0.18 0.03
 -------- 22:00 0.12 0.16 0.17 0.02
 -------- 23:00 0.11 0.16 0.17 0.02
 -------- 00:00 0.13 0.12 0.18 0.05
 23.03.13 01:00 0.12 0.14 0.17 0.02
 -------- 02:00 0.13 0.09 0.19 0.04
 -------- 03:00 0.13 0.13 0.18 0.04
 -------- 04:00 0.15 0.12 0.22 0.07
 -------- 05:00 0.14 0.12 0.22 0.07
 23.03.13 06:00 0.16 0.12 0.21 0.07
 -------- 07:00 0.18 0.11 0.23 0.09
 -------- 08:00 0.21 0.11 0.22 0.10
 -------- 09:00 0.26 0.10 0.25 0.15
 -------- 10:00 0.23 0.13 0.25 0.14
 23.03.13 11:00 0.21 0.18 0.24 0.10
 -------- 12:00 0.21 0.21 0.23 0.10
 -------- 13:00 0.19 0.21 0.23 0.10
 -------- 14:00 0.16 0.28 0.20 0.06
 -------- 15:00 0.19 0.21 0.24 0.09
 23.03.13 16:00 0.15 0.25 0.21 0.06
 -------- 17:00 0.17 0.22 0.23 0.08
 -------- 18:00 0.17 0.22 0.22 0.07
 -------- 19:00 0.15 0.23 0.22 0.06
 -------- 20:00 0.14 0.21 0.22 0.06
 23.03.13 21:00 0.15 0.21 0.21 0.05
 -------- 22:00 0.15 0.19 0.22 0.05
 -------- 23:00 0.14 0.21 0.21 0.04
