 Date Time CO OZ NO2 NO
 04.01.13 00:00 0.17 0.05 0.11 0.06
 -------- 01:00 0.16 0.05 0.11 0.07
 -------- 02:00 0.15 0.05 0.11 0.08
 -------- 03:00 0.13 0.05 0.10 0.05
 -------- 04:00 0.11 0.05 0.09 0.04
 04.01.13 05:00 0.10 0.05 0.07 0.02
 -------- 06:00 0.10 0.05 0.07 0.03
 -------- 07:00 0.10 0.05 0.08 0.04
 -------- 08:00 0.10 0.05 0.08 0.03
 -------- 09:00 0.11 0.05 0.09 0.05
 04.01.13 10:00 0.15 0.05 0.11 0.07
 -------- 11:00 0.16 0.05 0.11 0.06
 -------- 12:00 0.16 0.05 0.11 0.06
 -------- 13:00 0.17 0.06 0.12 0.07
 -------- 14:00 0.17 0.05 0.11 0.05
 04.01.13 15:00 0.16 0.05 0.10 0.04
 -------- 16:00 0.17 0.05 0.12 0.05
 -------- 17:00 0.17 0.06 0.12 0.06
 -------- 18:00 0.19 0.05 0.13 0.07
 -------- 19:00 0.18 0.05 0.13 0.04
 04.01.13 20:00 0.19 0.05 0.13 0.05
 -------- 21:00 0.21 0.05 0.14 0.09
 -------- 22:00 0.31 0.05 0.19 0.28
 -------- 23:00 0.25 0.05 0.14 0.07
 -------- 00:00 0.23 0.05 0.13 0.09
 05.01.13 01:00 0.25 0.05 0.13 0.08
 -------- 02:00 0.27 0.05 0.14 0.13
 -------- 03:00 0.27 0.05 0.14 0.17
 -------- 04:00 0.24 0.05 0.15 0.11
 -------- 05:00 0.25 0.05 0.16 0.21
 05.01.13 06:00 0.27 0.05 0.17 0.22
 -------- 07:00 0.25 0.06 0.14 0.13
 -------- 08:00 0.28 0.05 0.15 0.18
 -------- 09:00 0.32 0.05 0.18 0.28
 -------- 10:00 0.33 0.06 0.18 0.26
 05.01.13 11:00 0.34 0.05 0.18 0.29
 -------- 12:00 0.34 0.05 0.17 0.25
 -------- 13:00 0.33 0.05 0.17 0.21
 -------- 14:00 0.27 0.05 0.15 0.10
 -------- 15:00 0.23 0.05 0.14 0.09
 05.01.13 16:00 0.19 0.05 0.12 0.06
 -------- 17:00 0.17 0.05 0.10 0.05
 -------- 18:00 0.19 0.05 0.11 0.08
 -------- 19:00 0.16 0.05 0.11 0.05
 -------- 20:00 0.16 0.05 0.11 0.04
 05.01.13 21:00 0.14 0.05 0.10 0.04
 -------- 22:00 0.13 0.05 0.10 0.04
 -------- 23:00 0.12 0.05 0.09 0.02
