 Date Time CO OZ NO2 NO
 13.01.13 00:00 0.43 ---- 0.24 0.38
 -------- 01:00 0.43 ---- 0.26 0.42
 -------- 02:00 0.34 ---- 0.23 0.25
 -------- 03:00 0.31 ---- 0.22 0.25
 -------- 04:00 0.17 ---- 0.21 0.13
 13.01.13 05:00 0.13 ---- 0.20 0.09
 -------- 06:00 0.10 ---- 0.19 0.07
 -------- 07:00 0.09 ---- 0.18 0.04
 -------- 08:00 0.09 ---- 0.18 0.04
 -------- 09:00 0.10 ---- 0.17 0.03
 13.01.13 10:00 0.13 ---- 0.17 0.03
 -------- 11:00 0.14 ---- 0.16 0.04
 -------- 12:00 0.13 ---- 0.15 0.04
 -------- 13:00 0.15 ---- 0.16 0.04
 -------- 14:00 0.14 ---- 0.16 0.03
 13.01.13 15:00 0.16 ---- 0.18 0.04
 -------- 16:00 0.15 ---- 0.19 0.04
 -------- 17:00 0.15 ---- 0.19 0.03
 -------- 18:00 0.16 ---- 0.20 0.03
 -------- 19:00 0.19 ---- 0.19 0.03
 13.01.13 20:00 0.15 ---- 0.19 0.03
 -------- 21:00 0.15 ---- 0.19 0.03
 -------- 22:00 0.14 ---- 0.19 0.03
 -------- 23:00 0.15 ---- 0.20 0.03
 -------- 00:00 0.14 ---- 0.19 0.02
 14.01.13 01:00 0.13 ---- 0.19 0.02
 -------- 02:00 0.12 ---- 0.17 0.01
 -------- 03:00 0.12 ---- 0.17 0.01
 -------- 04:00 0.11 ---- 0.17 0.01
 -------- 05:00 0.11 ---- 0.16 0.01
 14.01.13 06:00 0.12 ---- 0.17 0.01
 -------- 07:00 0.12 ---- 0.17 0.02
 -------- 08:00 0.16 ---- 0.19 0.03
 -------- 09:00 0.16 ---- 0.19 0.04
 -------- 10:00 0.14 ---- 0.20 0.05
 14.01.13 11:00 0.16 ---- 0.20 0.06
 -------- 12:00 0.16 ---- 0.20 0.07
 -------- 13:00 0.15 ---- 0.20 0.06
 -------- 14:00 0.16 ---- 0.21 0.07
 -------- 15:00 0.15 ---- 0.22 0.06
 14.01.13 16:00 0.33 0.07 0.23 0.09
 -------- 17:00 0.13 0.10 0.21 0.04
 -------- 18:00 0.11 0.14 0.19 0.03
 -------- 19:00 0.12 0.13 0.19 0.03
 -------- 20:00 0.11 0.17 0.17 0.03
 14.01.13 21:00 0.10 0.22 0.14 0.02
 -------- 22:00 0.12 0.21 0.14 0.02
 -------- 23:00 0.11 0.21 0.14 0.01
