 Date Time CO OZ NO2 NO
 02.03.13 12:00 0.15 0.31 0.14 0.03
 -------- 13:00 0.15 0.30 0.15 0.03
 -------- 14:00 0.14 0.34 0.14 0.02
 -------- 15:00 0.17 0.30 0.17 0.03
 -------- 16:00 0.16 0.32 0.16 0.03
 02.03.13 17:00 0.15 0.34 0.15 0.02
 -------- 18:00 0.15 0.33 0.16 0.02
 -------- 19:00 0.15 0.31 0.18 0.02
 -------- 20:00 0.15 0.29 0.18 0.02
 -------- 21:00 0.17 0.21 0.21 0.02
 02.03.13 22:00 0.13 0.15 0.24 0.02
 -------- 23:00 0.19 0.13 0.25 0.03
 -------- 00:00 0.13 0.20 0.21 0.01
 -------- 01:00 0.21 0.08 0.28 0.14
 -------- 02:00 0.31 0.06 0.30 0.25
 03.03.13 03:00 0.31 0.06 0.30 0.33
 -------- 04:00 0.21 0.06 0.29 0.16
 -------- 05:00 0.25 0.06 0.30 0.23
 -------- 06:00 0.23 0.06 0.30 0.21
 -------- 07:00 0.21 0.06 0.30 0.18
 03.03.13 08:00 0.21 0.06 0.31 0.20
 -------- 09:00 0.20 0.07 0.28 0.12
 -------- 10:00 0.15 0.16 0.24 0.07
 -------- 11:00 0.23 0.12 0.28 0.13
 -------- 12:00 0.20 0.14 0.27 0.11
 03.03.13 13:00 0.19 0.18 0.24 0.09
 -------- 14:00 0.16 0.23 0.22 0.07
 -------- 15:00 0.14 0.28 0.20 0.07
 -------- 16:00 0.20 0.17 0.24 0.09
 -------- 17:00 0.17 0.19 0.23 0.07
 03.03.13 18:00 0.16 0.21 0.22 0.06
 -------- 19:00 0.15 0.22 0.21 0.06
 -------- 20:00 0.15 0.24 0.21 0.05
 -------- 21:00 0.14 0.24 0.20 0.04
 -------- 22:00 0.15 0.22 0.21 0.05
 03.03.13 23:00 0.14 0.23 0.21 0.05
 -------- 00:00 0.12 0.24 0.20 0.04
 -------- 01:00 0.11 0.25 0.20 0.04
 -------- 02:00 0.10 0.32 0.16 0.02
 -------- 03:00 0.10 0.31 0.16 0.02
 04.03.13 04:00 0.10 0.22 0.21 0.04
 -------- 05:00 0.11 0.19 0.21 0.04
 -------- 06:00 0.13 0.13 0.24 0.07
 -------- 07:00 0.16 0.14 0.24 0.09
 -------- 08:00 0.21 0.12 0.25 0.09
 04.03.13 09:00 0.24 0.10 0.29 0.14
 -------- 10:00 0.21 0.13 0.28 0.15
 -------- 11:00 0.21 0.14 0.27 0.16
