 Date Time CO OZ NO2 NO
 11.01.13 12:00 0.25 ---- 0.27 0.22
 -------- 13:00 0.24 ---- 0.25 0.20
 -------- 14:00 0.25 ---- 0.25 0.21
 -------- 15:00 0.27 ---- 0.26 0.23
 -------- 16:00 0.25 ---- 0.25 0.20
 11.01.13 17:00 0.26 ---- 0.24 0.18
 -------- 18:00 0.25 ---- 0.24 0.18
 -------- 19:00 0.24 ---- 0.24 0.15
 -------- 20:00 0.23 ---- 0.23 0.16
 -------- 21:00 0.22 ---- 0.22 0.16
 11.01.13 22:00 0.23 ---- 0.22 0.17
 -------- 23:00 0.18 ---- 0.21 0.12
 -------- 00:00 0.17 ---- 0.20 0.12
 -------- 01:00 0.16 ---- 0.20 0.11
 -------- 02:00 0.13 ---- 0.20 0.08
 12.01.13 03:00 0.13 ---- 0.20 0.08
 -------- 04:00 0.12 ---- 0.19 0.06
 -------- 05:00 0.12 ---- 0.20 0.07
 -------- 06:00 0.14 ---- 0.21 0.11
 -------- 07:00 0.16 ---- 0.21 0.14
 12.01.13 08:00 0.22 ---- 0.23 0.20
 -------- 09:00 0.24 ---- 0.23 0.21
 -------- 10:00 0.25 ---- 0.22 0.17
 -------- 11:00 0.29 ---- 0.22 0.19
 -------- 12:00 0.33 ---- 0.24 0.22
 12.01.13 13:00 0.41 ---- 0.25 0.29
 -------- 14:00 0.40 ---- 0.26 0.27
 -------- 15:00 0.42 ---- 0.26 0.30
 -------- 16:00 0.37 ---- 0.26 0.24
 -------- 17:00 0.39 ---- 0.27 0.29
 12.01.13 18:00 0.43 ---- 0.26 0.34
 -------- 19:00 0.42 ---- 0.26 0.34
 -------- 20:00 0.43 ---- 0.25 0.33
 -------- 21:00 0.42 ---- 0.25 0.35
 -------- 22:00 0.45 ---- 0.26 0.38
 12.01.13 23:00 0.42 ---- 0.25 0.36
 -------- 00:00 0.42 ---- 0.25 0.37
 -------- 01:00 0.43 ---- 0.26 0.42
 -------- 02:00 0.34 ---- 0.23 0.25
 -------- 03:00 0.31 ---- 0.22 0.25
 13.01.13 04:00 0.17 ---- 0.21 0.13
 -------- 05:00 0.13 ---- 0.20 0.09
 -------- 06:00 0.10 ---- 0.19 0.07
 -------- 07:00 0.09 ---- 0.18 0.04
 -------- 08:00 0.09 ---- 0.18 0.04
 13.01.13 09:00 0.10 ---- 0.17 0.03
 -------- 10:00 0.13 ---- 0.17 0.03
 -------- 11:00 0.14 ---- 0.16 0.04
