 Date Time CO NO2 CHX NO
 24.12.12 00:00 0.12 0.44 1.72 0.15
 -------- 01:00 0.14 0.45 1.75 0.18
 -------- 02:00 0.16 0.45 1.83 0.20
 -------- 03:00 0.20 0.47 1.96 0.27
 -------- 04:00 0.18 0.47 1.88 0.26
 24.12.12 05:00 0.17 0.49 1.87 0.29
 -------- 06:00 0.11 0.48 1.70 0.19
 -------- 07:00 0.12 0.49 1.75 0.23
 -------- 08:00 0.16 0.54 1.89 0.30
 -------- 09:00 0.19 0.57 1.86 0.37
 24.12.12 10:00 0.19 0.58 1.88 0.35
 -------- 11:00 0.25 0.61 2.04 0.42
 -------- 12:00 0.24 0.59 2.02 0.37
 -------- 13:00 0.15 0.53 1.74 0.33
 -------- 14:00 0.20 0.52 1.69 0.25
 24.12.12 15:00 0.20 0.52 1.68 0.25
 -------- 16:00 0.12 0.52 1.68 0.24
 -------- 17:00 0.14 0.53 1.73 0.28
 -------- 18:00 0.14 0.49 1.82 0.27
 -------- 19:00 0.13 0.47 1.80 0.23
 24.12.12 20:00 0.13 0.47 1.78 0.26
 -------- 21:00 0.12 0.46 1.73 0.23
 -------- 22:00 0.10 0.44 1.69 0.22
 -------- 23:00 0.10 0.43 1.67 0.18
 -------- 00:00 0.07 0.43 1.62 0.16
 25.12.12 01:00 0.07 0.41 1.56 0.09
 -------- 02:00 0.06 0.38 1.53 0.09
 -------- 03:00 0.06 0.37 1.51 0.08
 -------- 04:00 0.05 0.34 1.49 0.06
 -------- 05:00 0.05 0.35 1.48 0.08
 25.12.12 06:00 0.06 0.35 1.50 0.08
 -------- 07:00 0.07 0.38 1.52 0.13
 -------- 08:00 0.07 0.38 1.53 0.14
 -------- 09:00 0.06 0.37 1.53 0.12
 -------- 10:00 0.06 0.35 1.52 0.11
 25.12.12 11:00 0.08 0.35 1.52 0.11
 -------- 12:00 0.09 0.36 1.56 0.11
 -------- 13:00 0.09 0.36 1.58 0.13
 -------- 14:00 0.08 0.37 1.57 0.11
 -------- 15:00 0.06 0.33 1.59 0.08
 25.12.12 16:00 0.06 0.31 1.56 0.06
 -------- 17:00 0.06 0.32 1.58 0.06
 -------- 18:00 0.08 0.36 1.58 0.10
 -------- 19:00 0.10 0.36 1.56 0.10
 -------- 20:00 0.10 0.35 1.55 0.10
 25.12.12 21:00 0.09 0.35 1.53 0.11
 -------- 22:00 0.09 0.35 1.52 0.12
 -------- 23:00 0.09 0.35 1.51 0.11
