 Date Time CO NO2 CHX NO
 18.02.13 00:00 0.05 0.15 ---- 0.00
 -------- 01:00 0.05 0.11 ---- 0.00
 -------- 02:00 0.05 0.13 ---- 0.00
 -------- 03:00 0.05 0.12 ---- 0.00
 -------- 04:00 0.05 0.15 ---- 0.00
 18.02.13 05:00 0.04 0.15 ---- 0.00
 -------- 06:00 0.04 0.15 ---- 0.01
 -------- 07:00 0.05 0.16 ---- 0.01
 -------- 08:00 0.06 0.18 ---- 0.01
 -------- 09:00 0.05 0.20 ---- 0.01
 18.02.13 10:00 0.05 0.24 ---- 0.02
 -------- 11:00 0.04 0.21 ---- 0.02
 -------- 12:00 0.05 0.20 1.43 0.02
 -------- 13:00 0.07 0.28 1.50 0.03
 -------- 14:00 0.08 0.32 1.58 0.05
 18.02.13 15:00 0.08 0.31 1.63 0.04
 -------- 16:00 0.08 0.26 1.59 0.02
 -------- 17:00 0.09 0.32 1.57 0.03
 -------- 18:00 0.09 0.33 1.55 0.02
 -------- 19:00 0.09 0.34 1.58 0.01
 18.02.13 20:00 0.09 0.35 1.57 0.02
 -------- 21:00 0.09 0.31 1.52 0.01
 -------- 22:00 0.09 0.32 1.59 0.02
 -------- 23:00 0.10 0.35 1.62 0.02
 -------- 00:00 0.08 0.36 1.59 0.01
 19.02.13 01:00 0.09 0.36 1.67 0.01
 -------- 02:00 0.08 0.35 1.63 0.02
 -------- 03:00 0.09 0.38 1.59 0.04
 -------- 04:00 0.07 0.29 1.48 0.01
 -------- 05:00 0.07 0.25 1.46 0.00
 19.02.13 06:00 0.06 0.21 1.47 0.00
 -------- 07:00 0.06 0.23 1.49 0.01
 -------- 08:00 0.08 0.29 1.53 0.01
 -------- 09:00 0.09 0.32 1.53 0.02
 -------- 10:00 0.09 0.30 1.53 0.03
 19.02.13 11:00 0.09 0.29 1.53 0.05
 -------- 12:00 0.11 0.30 1.55 0.06
 -------- 13:00 0.09 0.31 1.51 0.07
 -------- 14:00 0.09 0.29 1.49 0.04
 -------- 15:00 0.10 0.31 1.51 0.05
 19.02.13 16:00 0.09 0.31 1.49 0.04
 -------- 17:00 0.09 0.27 1.48 0.02
 -------- 18:00 0.11 0.35 1.51 0.02
 -------- 19:00 0.11 0.40 1.50 0.02
 -------- 20:00 0.09 0.32 1.48 0.01
