 Date Time CO NO2 CHX NO
 01.11.12 00:00 0.01 0.12 1.42 0.01
 -------- 01:00 0.02 0.12 1.42 0.01
 -------- 02:00 0.02 0.12 1.43 0.01
 -------- 03:00 0.02 0.10 1.42 0.01
 -------- 04:00 0.02 0.10 1.41 0.00
 01.11.12 05:00 0.02 0.10 1.41 0.00
 -------- 06:00 0.02 0.12 1.43 0.00
 -------- 07:00 0.03 0.16 1.45 0.01
 -------- 08:00 0.04 0.17 1.47 0.01
 -------- 09:00 0.04 0.20 1.47 0.02
 01.11.12 10:00 0.07 0.24 1.51 0.04
 -------- 11:00 0.06 0.24 1.49 0.05
 -------- 12:00 0.07 0.26 1.51 0.07
 -------- 13:00 0.06 0.26 1.52 0.07
 -------- 14:00 0.07 0.29 1.54 0.07
 01.11.12 15:00 0.06 0.29 1.49 0.07
 -------- 16:00 0.07 0.29 1.52 0.06
 -------- 17:00 0.07 0.30 1.50 0.05
 -------- 18:00 0.08 0.28 1.50 0.03
 -------- 19:00 0.08 0.29 1.51 0.04
 01.11.12 20:00 0.08 0.26 1.52 0.03
 -------- 21:00 0.09 0.26 1.53 0.04
 -------- 22:00 0.06 0.23 1.57 0.02
 -------- 23:00 0.07 0.24 1.59 0.03
 -------- 00:00 0.06 0.24 1.55 0.05
 02.11.12 01:00 0.06 0.21 1.53 0.03
 -------- 02:00 0.05 0.18 1.46 0.02
 -------- 03:00 0.04 0.14 1.46 0.01
 -------- 04:00 0.04 0.18 1.50 0.02
 -------- 05:00 0.04 0.20 1.51 0.02
 02.11.12 06:00 0.05 0.23 1.51 0.06
 -------- 07:00 0.06 0.26 1.48 0.06
 -------- 08:00 0.07 0.27 1.51 0.09
 -------- 09:00 0.08 0.29 1.52 0.11
 -------- 10:00 0.07 0.27 1.50 0.10
 02.11.12 11:00 0.07 0.29 1.52 0.12
 -------- 12:00 0.07 0.28 1.52 0.12
 -------- 13:00 0.07 0.28 1.52 0.10
 -------- 14:00 0.08 0.29 1.51 0.11
 -------- 15:00 0.08 0.29 1.52 0.10
 02.11.12 16:00 0.07 0.27 1.50 0.08
 -------- 17:00 0.07 0.29 1.50 0.08
 -------- 18:00 0.06 0.28 1.48 0.07
 -------- 19:00 0.06 0.26 1.46 0.05
 -------- 20:00 0.07 0.24 1.46 0.04
 02.11.12 21:00 0.10 0.25 1.49 0.06
 -------- 22:00 0.07 0.24 1.46 0.05
 -------- 23:00 0.05 0.25 1.46 0.04
