 Date Time CO NO2 CHX NO
 25.09.12 12:00 0.07 0.13 1.40 0.02
 -------- 13:00 0.08 0.14 1.40 0.02
 -------- 14:00 0.09 0.16 1.41 0.02
 -------- 15:00 0.07 0.16 1.40 0.02
 -------- 16:00 0.08 0.19 1.41 0.02
 25.09.12 17:00 0.07 0.19 1.40 0.02
 -------- 18:00 0.08 0.20 1.42 0.02
 -------- 19:00 0.08 0.20 1.42 0.02
 -------- 20:00 0.08 0.20 1.42 0.02
 -------- 21:00 0.07 0.18 1.41 0.02
 25.09.12 22:00 0.07 0.15 1.39 0.01
 -------- 23:00 0.07 0.15 1.38 0.02
 -------- 00:00 0.04 0.15 1.40 0.02
 -------- 01:00 0.03 0.12 1.39 0.01
 -------- 02:00 0.02 0.11 1.39 0.01
 26.09.12 03:00 0.01 0.09 1.39 0.01
 -------- 04:00 0.03 0.13 1.41 0.01
 -------- 05:00 0.03 0.17 1.44 0.02
 -------- 06:00 0.03 0.17 1.44 0.03
 -------- 07:00 0.05 0.17 1.42 0.04
 26.09.12 08:00 0.04 0.14 1.42 0.03
 -------- 09:00 0.07 0.17 1.44 0.07
 -------- 10:00 0.06 0.17 1.45 0.07
 -------- 11:00 0.06 0.14 1.44 0.05
 -------- 12:00 0.04 0.14 1.41 0.02
 26.09.12 13:00 0.05 0.14 1.39 0.01
 -------- 14:00 0.05 0.16 1.40 0.02
 -------- 15:00 0.05 0.16 1.42 0.02
 -------- 16:00 0.05 0.15 1.40 0.02
 -------- 17:00 0.05 0.15 1.40 0.01
 26.09.12 18:00 0.07 0.18 1.40 0.01
 -------- 19:00 0.07 0.24 1.46 0.02
 -------- 20:00 0.06 0.24 1.50 0.02
 -------- 21:00 0.07 0.25 1.60 0.04
 -------- 22:00 0.05 0.23 1.55 0.02
 26.09.12 23:00 0.06 0.25 1.54 0.04
 -------- 00:00 0.07 0.28 1.60 0.07
 -------- 01:00 0.10 0.28 1.71 0.09
 -------- 02:00 0.09 0.28 1.63 0.09
 -------- 03:00 0.08 0.25 1.63 0.09
 27.09.12 04:00 0.07 0.22 1.73 0.10
 -------- 05:00 0.15 0.24 1.83 0.26
 -------- 06:00 0.18 0.28 2.02 0.34
 -------- 07:00 0.19 0.30 2.29 0.38
 -------- 08:00 0.21 0.30 2.23 0.36
 27.09.12 09:00 0.16 0.30 1.89 0.28
 -------- 10:00 0.16 0.32 1.75 0.23
 -------- 11:00 0.12 0.33 1.69 0.15
