 Date Time CO NO2 CHX NO
 23.01.13 00:00 0.06 0.36 1.46 0.05
 -------- 01:00 0.08 0.38 1.48 0.07
 -------- 02:00 0.07 0.35 1.44 0.06
 -------- 03:00 0.06 0.30 1.43 0.02
 -------- 04:00 0.04 0.25 1.44 0.01
 23.01.13 05:00 0.05 0.31 1.44 0.02
 -------- 06:00 0.05 0.31 1.41 0.02
 -------- 07:00 0.06 0.32 1.42 0.03
 -------- 08:00 0.08 0.36 1.47 0.06
 -------- 09:00 0.12 0.39 1.54 0.12
 23.01.13 10:00 0.13 0.38 1.55 0.15
 -------- 11:00 0.13 0.36 1.53 0.15
 -------- 12:00 0.15 0.33 1.53 0.14
 -------- 13:00 0.15 0.30 1.53 0.12
 -------- 14:00 0.14 0.32 1.56 0.13
 23.01.13 15:00 0.10 0.29 1.51 0.08
 -------- 16:00 0.09 0.31 1.46 0.06
 -------- 17:00 0.11 0.35 1.46 0.05
 -------- 18:00 0.13 0.41 1.51 0.10
 -------- 19:00 0.14 0.42 1.55 0.12
 23.01.13 20:00 0.14 0.42 1.58 0.14
 -------- 21:00 0.11 0.36 1.55 0.14
 -------- 22:00 0.04 0.25 1.42 0.01
 -------- 23:00 0.05 0.32 1.43 0.02
 -------- 00:00 0.08 0.41 1.54 0.13
 24.01.13 01:00 0.13 0.46 1.67 0.25
 -------- 02:00 0.12 0.44 1.65 0.21
 -------- 03:00 0.09 0.42 1.55 0.16
 -------- 04:00 0.09 0.40 1.61 0.13
 -------- 05:00 0.07 0.39 1.63 0.10
 24.01.13 06:00 0.08 0.39 1.54 0.10
 -------- 07:00 0.10 0.42 1.55 0.16
 -------- 08:00 0.13 0.43 1.58 0.17
 -------- 09:00 0.18 0.43 1.66 0.19
 -------- 10:00 0.14 0.43 1.63 0.19
 24.01.13 11:00 0.11 0.39 1.53 0.12
 -------- 12:00 0.09 0.36 1.51 0.08
 -------- 13:00 0.08 0.35 1.49 0.06
 -------- 14:00 0.06 0.28 1.44 0.03
 -------- 15:00 0.06 0.29 1.44 0.05
 24.01.13 16:00 0.06 0.28 1.41 0.03
 -------- 17:00 0.06 0.25 1.39 0.02
 -------- 18:00 0.05 0.21 1.39 0.01
 -------- 19:00 0.05 0.19 1.38 0.01
 -------- 20:00 0.06 0.26 1.41 0.02
 24.01.13 21:00 0.07 0.34 1.43 0.03
 -------- 22:00 0.05 0.31 1.42 0.02
 -------- 23:00 0.04 0.29 1.40 0.02
