 Date Time CO NO2 CHX NO
 27.11.12 12:00 0.08 0.17 1.54 0.12
 -------- 13:00 0.07 0.17 1.50 0.09
 -------- 14:00 0.06 0.17 1.55 0.07
 -------- 15:00 0.06 0.17 1.50 0.07
 -------- 16:00 0.05 0.17 1.49 0.05
 27.11.12 17:00 0.06 0.17 1.45 0.05
 -------- 18:00 0.05 0.17 1.41 0.03
 -------- 19:00 0.05 0.18 1.42 0.03
 -------- 20:00 0.05 0.19 1.43 0.03
 -------- 21:00 0.05 0.20 1.42 0.03
 27.11.12 22:00 0.07 0.20 1.45 0.05
 -------- 23:00 0.06 0.22 1.46 0.08
 -------- 00:00 0.05 0.20 1.43 0.05
 -------- 01:00 0.07 0.20 1.43 0.04
 -------- 02:00 0.06 0.19 1.44 0.05
 28.11.12 03:00 0.05 0.19 1.43 0.04
 -------- 04:00 0.05 0.18 1.42 0.02
 -------- 05:00 0.06 0.19 1.47 0.04
 -------- 06:00 0.08 0.21 1.53 0.12
 -------- 07:00 0.10 0.22 1.71 0.16
 28.11.12 08:00 0.12 0.22 1.74 0.16
 -------- 09:00 0.13 0.21 1.64 0.17
 -------- 10:00 0.11 0.21 1.57 0.15
 -------- 11:00 0.12 0.22 1.57 0.17
 -------- 12:00 0.10 0.19 1.52 0.13
 28.11.12 13:00 0.11 0.19 1.65 0.14
 -------- 14:00 0.12 0.20 1.57 0.16
 -------- 15:00 0.10 0.20 1.50 0.13
 -------- 16:00 0.11 0.23 1.50 0.15
 -------- 17:00 0.12 0.22 1.51 0.13
 28.11.12 18:00 0.12 0.23 1.58 0.13
 -------- 19:00 0.11 0.22 1.54 0.09
 -------- 20:00 0.08 0.20 1.51 0.05
 -------- 21:00 0.07 0.19 1.48 0.03
 -------- 22:00 0.06 0.18 1.45 0.03
 28.11.12 23:00 0.06 0.18 1.48 0.04
 -------- 00:00 0.05 0.19 1.52 0.04
 -------- 01:00 0.05 0.18 1.50 0.03
 -------- 02:00 0.04 0.18 1.51 0.02
 -------- 03:00 0.05 0.17 1.50 0.02
 29.11.12 04:00 0.04 0.16 1.51 0.02
 -------- 05:00 0.04 0.16 1.56 0.02
 -------- 06:00 0.04 0.16 1.50 0.02
 -------- 07:00 0.05 0.17 1.50 0.02
 -------- 08:00 0.07 0.19 1.53 0.03
 29.11.12 09:00 0.07 0.20 1.52 0.04
 -------- 10:00 0.08 0.21 1.51 0.04
 -------- 11:00 0.11 0.21 1.52 0.04
