 Date Time CO NO2 CHX NO
 02.01.13 12:00 0.05 0.18 1.41 0.01
 -------- 13:00 0.05 0.18 1.42 0.01
 -------- 14:00 0.04 0.21 1.43 0.02
 -------- 15:00 0.05 0.22 1.44 0.02
 -------- 16:00 0.05 0.25 1.46 0.02
 02.01.13 17:00 0.05 0.26 1.46 0.01
 -------- 18:00 0.05 0.28 1.49 0.01
 -------- 19:00 0.07 0.27 1.49 0.01
 -------- 20:00 0.03 0.19 1.43 0.01
 -------- 21:00 0.03 0.20 1.43 0.01
 02.01.13 22:00 0.03 0.20 1.42 0.01
 -------- 23:00 0.04 0.22 1.44 0.01
 -------- 00:00 0.04 0.25 1.45 0.01
 -------- 01:00 0.07 0.23 1.42 0.01
 -------- 02:00 0.06 0.17 1.40 0.01
 03.01.13 03:00 0.06 0.16 1.40 0.00
 -------- 04:00 0.05 0.12 1.38 0.00
 -------- 05:00 0.05 0.12 1.39 0.00
 -------- 06:00 0.07 0.12 1.43 0.01
 -------- 07:00 0.08 0.14 1.48 0.02
 03.01.13 08:00 0.08 0.17 1.47 0.02
 -------- 09:00 0.07 0.18 1.44 0.01
 -------- 10:00 0.08 0.23 1.47 0.01
 -------- 11:00 0.08 0.23 1.45 0.01
 -------- 12:00 0.08 0.21 1.46 0.01
 03.01.13 13:00 0.09 0.26 1.49 0.02
 -------- 14:00 0.10 0.29 1.51 0.03
 -------- 15:00 0.09 0.23 1.47 0.02
 -------- 16:00 0.09 0.18 1.45 0.01
 -------- 17:00 0.08 0.17 1.43 0.01
 03.01.13 18:00 0.07 0.16 1.43 0.01
 -------- 19:00 0.08 0.21 1.44 0.01
 -------- 20:00 0.08 0.24 1.44 0.01
 -------- 21:00 0.10 0.26 1.48 0.02
 -------- 22:00 0.09 0.18 1.41 0.01
 03.01.13 23:00 0.09 0.18 1.41 0.01
 -------- 00:00 0.08 0.21 1.42 0.01
 -------- 01:00 0.07 0.21 1.42 0.01
 -------- 02:00 0.07 0.22 1.41 0.01
 -------- 03:00 0.06 0.16 1.37 0.01
 04.01.13 04:00 0.04 0.13 1.37 0.01
 -------- 05:00 0.04 0.12 1.37 0.01
 -------- 06:00 0.04 0.12 1.36 0.01
 -------- 07:00 0.04 0.14 1.36 0.01
 -------- 08:00 0.04 0.16 1.36 0.01
 04.01.13 09:00 0.05 0.15 1.38 0.01
 -------- 10:00 0.05 0.18 1.39 0.01
 -------- 11:00 0.06 0.20 1.40 0.02
