 Date Time CO NO2 CHX NO
 08.05.13 12:00 0.05 0.16 1.41 0.01
 -------- 13:00 0.03 0.10 1.36 0.01
 -------- 14:00 0.03 0.08 1.36 0.00
 -------- 15:00 0.03 0.08 1.36 0.00
 -------- 16:00 0.03 0.08 1.35 0.01
 08.05.13 17:00 0.03 0.08 1.37 0.00
 -------- 18:00 0.03 0.09 1.34 0.00
 -------- 19:00 0.03 0.10 1.36 0.00
 -------- 20:00 0.03 0.12 1.39 0.00
 -------- 21:00 0.04 0.20 1.40 0.00
 08.05.13 22:00 0.06 0.35 1.49 0.00
 -------- 23:00 0.13 0.62 1.67 0.06
 -------- 00:00 0.15 0.59 1.82 0.10
 -------- 01:00 0.21 0.61 1.89 0.17
 -------- 02:00 0.11 0.55 1.70 0.05
 09.05.13 03:00 0.07 0.47 1.59 0.01
 -------- 04:00 0.05 0.37 1.57 0.00
 -------- 05:00 0.05 0.34 1.57 0.00
 -------- 06:00 0.05 0.35 1.59 0.01
 -------- 07:00 0.04 0.36 1.57 0.03
 09.05.13 08:00 0.05 0.38 1.56 0.03
 -------- 09:00 0.05 0.35 1.51 0.03
 -------- 10:00 0.04 0.29 1.49 0.02
 -------- 11:00 0.04 0.25 1.45 0.02
 -------- 12:00 0.05 0.20 1.43 0.01
 09.05.13 13:00 0.03 0.18 1.43 0.01
 -------- 14:00 0.04 0.12 1.42 0.01
 -------- 15:00 0.03 0.14 1.44 0.00
 -------- 16:00 0.02 0.12 1.40 0.00
 -------- 17:00 0.02 0.08 1.37 0.00
 09.05.13 18:00 0.02 0.07 1.38 0.00
 -------- 19:00 0.02 0.08 1.40 0.00
 -------- 20:00 0.03 0.10 1.41 0.00
 -------- 21:00 0.12 0.21 1.72 0.00
 -------- 22:00 0.08 0.37 1.69 0.00
 09.05.13 23:00 0.34 0.66 2.24 0.12
 -------- 00:00 0.28 0.67 2.13 0.24
 -------- 01:00 0.45 0.72 2.23 0.43
 -------- 02:00 0.46 0.70 2.30 0.45
 -------- 03:00 0.30 0.64 1.98 0.22
 10.05.13 04:00 0.08 0.42 1.64 0.01
 -------- 05:00 0.06 0.32 1.58 0.00
 -------- 06:00 0.05 0.31 1.56 0.00
 -------- 07:00 0.03 0.26 1.52 0.01
 -------- 08:00 0.03 0.24 1.50 0.01
 10.05.13 09:00 0.03 0.23 1.48 0.01
 -------- 10:00 0.03 0.19 1.46 0.01
 -------- 11:00 0.02 0.14 1.41 0.01
