 Date Time CO NO2 CHX NO
 22.12.12 12:00 0.16 0.39 1.60 0.14
 -------- 13:00 0.16 0.40 1.60 0.15
 -------- 14:00 0.13 0.38 1.57 0.11
 -------- 15:00 0.10 0.35 1.52 0.06
 -------- 16:00 0.10 0.33 1.50 0.03
 22.12.12 17:00 0.09 0.34 1.49 0.02
 -------- 18:00 0.10 0.37 1.52 0.03
 -------- 19:00 0.12 0.38 1.56 0.05
 -------- 20:00 0.11 0.37 1.52 0.03
 -------- 21:00 0.10 0.38 1.52 0.04
 22.12.12 22:00 0.09 0.36 1.50 0.03
 -------- 23:00 0.09 0.35 1.51 0.03
 -------- 00:00 0.08 0.34 1.53 0.03
 -------- 01:00 0.10 0.33 1.55 0.03
 -------- 02:00 0.11 0.32 1.55 0.03
 23.12.12 03:00 0.10 0.30 1.54 0.02
 -------- 04:00 0.09 0.30 1.51 0.03
 -------- 05:00 0.09 0.28 1.53 0.02
 -------- 06:00 0.08 0.30 1.56 0.02
 -------- 07:00 0.07 0.29 1.55 0.01
 23.12.12 08:00 0.09 0.32 1.59 0.02
 -------- 09:00 0.10 0.35 1.67 0.04
 -------- 10:00 0.12 0.34 1.63 0.05
 -------- 11:00 0.13 0.34 1.60 0.09
 -------- 12:00 0.12 0.33 1.61 0.10
 23.12.12 13:00 0.16 0.36 1.66 0.13
 -------- 14:00 0.22 0.41 1.74 0.19
 -------- 15:00 0.17 0.41 1.68 0.16
 -------- 16:00 0.13 0.41 1.62 0.11
 -------- 17:00 0.11 0.41 1.55 0.06
 23.12.12 18:00 0.16 0.46 1.65 0.14
 -------- 19:00 0.12 0.41 1.64 0.06
 -------- 20:00 0.14 0.40 1.59 0.06
 -------- 21:00 0.11 0.41 1.58 0.06
 -------- 22:00 0.13 0.42 1.63 0.08
 23.12.12 23:00 0.15 0.44 1.66 0.12
 -------- 00:00 0.13 0.44 1.71 0.14
 -------- 01:00 0.14 0.45 1.75 0.18
 -------- 02:00 0.16 0.45 1.83 0.20
 -------- 03:00 0.20 0.47 1.96 0.27
 24.12.12 04:00 0.18 0.47 1.88 0.26
 -------- 05:00 0.17 0.49 1.87 0.29
 -------- 06:00 0.11 0.48 1.70 0.19
 -------- 07:00 0.12 0.49 1.75 0.23
 -------- 08:00 0.16 0.54 1.89 0.30
 24.12.12 09:00 0.19 0.57 1.86 0.37
 -------- 10:00 0.19 0.58 1.88 0.35
 -------- 11:00 0.25 0.61 2.04 0.42
