 Date Time CO NO2 CHX NO
 26.11.12 00:00 0.07 0.26 1.46 0.10
 -------- 01:00 0.07 0.25 1.45 0.06
 -------- 02:00 0.05 0.22 1.45 0.03
 -------- 03:00 0.05 0.22 1.44 0.05
 -------- 04:00 0.05 0.21 1.43 0.03
 26.11.12 05:00 0.05 0.21 1.45 0.04
 -------- 06:00 0.06 0.20 1.47 0.04
 -------- 07:00 0.07 0.21 1.48 0.06
 -------- 08:00 0.10 0.21 1.50 0.07
 -------- 09:00 0.12 0.21 1.53 0.10
 26.11.12 10:00 0.09 0.20 1.51 0.09
 -------- 11:00 0.08 0.20 1.53 0.10
 -------- 12:00 0.09 0.19 1.57 0.10
 -------- 13:00 0.09 0.19 1.52 0.10
 -------- 14:00 0.09 0.18 1.51 0.08
 26.11.12 15:00 0.08 0.18 1.52 0.11
 -------- 16:00 0.10 0.19 1.54 0.13
 -------- 17:00 0.08 0.17 1.49 0.09
 -------- 18:00 0.08 0.16 1.50 0.09
 -------- 19:00 0.08 0.16 1.51 0.09
 26.11.12 20:00 0.08 0.15 1.50 0.08
 -------- 21:00 0.06 0.14 1.46 0.07
 -------- 22:00 0.06 0.15 1.48 0.09
 -------- 23:00 0.04 0.14 1.44 0.06
 -------- 00:00 0.03 0.14 1.44 0.05
 27.11.12 01:00 0.05 0.13 1.44 0.02
 -------- 02:00 0.05 0.13 1.88 0.03
 -------- 03:00 0.04 0.12 1.54 0.02
 -------- 04:00 0.04 0.12 1.48 0.02
 -------- 05:00 0.04 0.12 1.44 0.02
 27.11.12 06:00 0.04 0.12 1.41 0.02
 -------- 07:00 0.05 0.17 1.42 0.02
 -------- 08:00 0.08 0.17 1.50 0.10
 -------- 09:00 0.09 0.18 1.50 0.13
 -------- 10:00 0.08 0.18 1.49 0.12
 27.11.12 11:00 0.09 0.15 1.48 0.10
 -------- 12:00 0.08 0.17 1.53 0.12
 -------- 13:00 0.07 0.17 1.50 0.09
 -------- 14:00 0.06 0.17 1.55 0.07
 -------- 15:00 0.06 0.17 1.50 0.07
 27.11.12 16:00 0.05 0.17 1.49 0.05
 -------- 17:00 0.06 0.17 1.45 0.05
 -------- 18:00 0.05 0.17 1.41 0.03
 -------- 19:00 0.05 0.18 1.42 0.03
 -------- 20:00 0.05 0.19 1.43 0.03
 27.11.12 21:00 0.05 0.20 1.42 0.03
 -------- 22:00 0.07 0.20 1.45 0.05
 -------- 23:00 0.06 0.21 1.45 0.06
