 Date Time CO NO2 CHX NO
 08.10.12 12:00 0.05 0.26 1.40 0.02
 -------- 13:00 0.06 0.24 1.39 0.01
 -------- 14:00 0.06 0.21 1.37 0.01
 -------- 15:00 0.06 0.18 1.38 0.01
 -------- 16:00 0.07 0.18 1.37 0.01
 08.10.12 17:00 0.06 0.17 1.37 0.01
 -------- 18:00 0.07 0.17 1.38 0.01
 -------- 19:00 0.07 0.17 1.40 0.01
 -------- 20:00 0.08 0.24 1.43 0.01
 -------- 21:00 0.07 0.24 1.46 0.01
 08.10.12 22:00 0.06 0.23 1.43 0.01
 -------- 23:00 0.05 0.23 1.41 0.01
 -------- 00:00 0.04 0.23 1.39 0.01
 -------- 01:00 0.03 0.23 1.40 0.01
 -------- 02:00 0.03 0.20 1.43 0.01
 09.10.12 03:00 0.02 0.15 1.56 0.01
 -------- 04:00 0.02 0.15 1.51 0.01
 -------- 05:00 0.02 0.13 1.46 0.00
 -------- 06:00 0.05 0.12 1.43 0.00
 -------- 07:00 0.08 0.17 1.45 0.00
 09.10.12 08:00 0.10 0.19 1.46 0.01
 -------- 09:00 0.10 0.20 1.45 0.01
 -------- 10:00 0.09 0.20 1.46 0.02
 -------- 11:00 0.10 0.21 1.47 0.02
 -------- 12:00 0.09 0.24 1.48 0.03
 09.10.12 13:00 0.10 0.25 1.47 0.03
 -------- 14:00 0.12 0.26 1.47 0.03
 -------- 15:00 0.09 0.26 1.46 0.03
 -------- 16:00 0.08 0.27 1.48 0.03
 -------- 17:00 0.05 0.25 1.50 0.02
 09.10.12 18:00 0.04 0.19 1.42 0.01
 -------- 19:00 0.05 0.18 1.41 0.01
 -------- 20:00 0.03 0.15 1.38 0.01
 -------- 21:00 0.03 0.16 1.38 0.01
 -------- 22:00 0.03 0.12 1.36 0.01
 09.10.12 23:00 0.03 0.12 1.36 0.01
 -------- 00:00 0.03 0.14 1.37 0.01
 -------- 01:00 0.02 0.12 1.36 0.00
 -------- 02:00 0.02 0.12 1.38 0.00
 -------- 03:00 0.01 0.10 1.37 0.00
 10.10.12 04:00 0.01 0.08 1.37 0.00
 -------- 05:00 0.02 0.14 1.38 0.00
 -------- 06:00 0.02 0.17 1.39 0.01
 -------- 07:00 0.02 0.21 1.42 0.01
 -------- 08:00 0.05 0.24 1.44 0.03
 10.10.12 09:00 0.09 0.27 1.49 0.05
 -------- 10:00 0.11 0.27 1.54 0.09
 -------- 11:00 0.09 0.26 1.52 0.11
