 Date Time CO NO2 CHX NO
 23.11.12 12:00 0.09 0.26 1.42 0.07
 -------- 13:00 0.07 0.26 1.44 0.07
 -------- 14:00 0.08 0.28 1.46 0.09
 -------- 15:00 0.09 0.31 1.49 0.09
 -------- 16:00 0.10 0.34 1.50 0.09
 23.11.12 17:00 0.10 0.34 1.49 0.09
 -------- 18:00 0.10 0.35 1.58 0.10
 -------- 19:00 0.11 0.35 1.55 0.10
 -------- 20:00 0.09 0.33 1.45 0.06
 -------- 21:00 0.09 0.32 1.45 0.05
 23.11.12 22:00 0.11 0.32 1.48 0.06
 -------- 23:00 0.09 0.29 1.42 0.04
 -------- 00:00 0.06 0.26 1.41 0.02
 -------- 01:00 0.08 0.24 1.42 0.02
 -------- 02:00 0.08 0.21 1.42 0.02
 24.11.12 03:00 0.09 0.22 1.45 0.02
 -------- 04:00 0.07 0.21 1.48 0.02
 -------- 05:00 0.07 0.21 1.46 0.02
 -------- 06:00 0.06 0.20 1.48 0.01
 -------- 07:00 0.07 0.22 1.47 0.02
 24.11.12 08:00 0.08 0.23 1.47 0.04
 -------- 09:00 0.09 0.24 1.50 0.07
 -------- 10:00 0.10 0.24 1.56 0.11
 -------- 11:00 0.11 0.24 1.48 0.12
 -------- 12:00 0.12 0.24 1.50 0.10
 24.11.12 13:00 0.11 0.24 1.49 0.10
 -------- 14:00 0.11 0.25 1.51 0.11
 -------- 15:00 0.11 0.28 1.54 0.12
 -------- 16:00 0.12 0.28 1.56 0.12
 -------- 17:00 0.12 0.29 1.57 0.16
 24.11.12 18:00 0.15 0.28 1.60 0.17
 -------- 19:00 0.17 0.29 1.60 0.19
 -------- 20:00 0.16 0.29 1.62 0.20
 -------- 21:00 0.16 0.31 1.63 0.29
 -------- 22:00 0.17 0.32 1.59 0.27
 24.11.12 23:00 0.16 0.31 1.64 0.24
 -------- 00:00 0.11 0.30 1.59 0.22
 -------- 01:00 0.10 0.29 1.51 0.20
 -------- 02:00 0.08 0.29 1.48 0.17
 -------- 03:00 0.08 0.26 1.48 0.12
 25.11.12 04:00 0.08 0.26 1.48 0.10
 -------- 05:00 0.07 0.26 1.46 0.09
 -------- 06:00 0.07 0.26 1.46 0.10
 -------- 07:00 0.08 0.24 1.48 0.09
 -------- 08:00 0.08 0.26 1.49 0.11
 25.11.12 09:00 0.09 0.26 1.49 0.10
 -------- 10:00 0.09 0.27 1.49 0.15
 -------- 11:00 0.08 0.26 1.49 0.14
