 Date Time CO NO2 CHX NO
 30.12.12 00:00 0.07 0.12 1.37 0.01
 -------- 01:00 0.08 0.14 1.37 0.01
 -------- 02:00 0.09 0.13 1.37 0.01
 -------- 03:00 0.08 0.11 1.35 0.01
 -------- 04:00 0.08 0.10 1.35 0.00
 30.12.12 05:00 0.08 0.09 1.35 0.00
 -------- 06:00 0.08 0.09 1.36 0.00
 -------- 07:00 0.08 0.11 1.36 0.00
 -------- 08:00 0.09 0.12 1.36 0.01
 -------- 09:00 0.11 0.17 1.39 0.01
 30.12.12 10:00 0.10 0.18 1.38 0.01
 -------- 11:00 0.10 0.16 1.39 0.02
 -------- 12:00 0.10 0.15 1.38 0.01
 -------- 13:00 0.11 0.17 1.40 0.02
 -------- 14:00 0.12 0.20 1.42 0.03
 30.12.12 15:00 0.12 0.21 1.42 0.03
 -------- 16:00 0.13 0.25 1.44 0.03
 -------- 17:00 0.12 0.26 1.42 0.02
 -------- 18:00 0.11 0.28 1.43 0.03
 -------- 19:00 0.13 0.29 1.46 0.05
 30.12.12 20:00 0.11 0.29 1.47 0.06
 -------- 21:00 0.12 0.29 1.55 0.05
 -------- 22:00 0.12 0.29 1.64 0.07
 -------- 23:00 0.14 0.29 1.65 0.11
 -------- 00:00 0.13 0.32 1.61 0.21
 31.12.12 01:00 0.15 0.34 1.72 0.29
 -------- 02:00 0.16 0.36 1.76 0.34
 -------- 03:00 0.16 0.36 1.74 0.32
 -------- 04:00 0.16 0.36 1.64 0.32
 -------- 05:00 0.12 0.32 1.54 0.17
 31.12.12 06:00 0.10 0.28 1.50 0.15
 -------- 07:00 0.10 0.27 1.47 0.12
 -------- 08:00 0.09 0.25 1.47 0.07
 -------- 09:00 0.10 0.25 1.47 0.07
 -------- 10:00 0.13 0.27 1.48 0.11
 31.12.12 11:00 0.12 0.27 1.43 0.11
 -------- 12:00 0.13 0.26 1.43 0.10
 -------- 13:00 0.13 0.26 1.43 0.12
 -------- 14:00 0.13 0.26 1.45 0.11
 -------- 15:00 0.14 0.27 1.49 0.09
 31.12.12 16:00 0.15 0.28 1.54 0.08
 -------- 17:00 0.14 0.29 1.52 0.06
 -------- 18:00 0.12 0.27 1.49 0.03
 -------- 19:00 0.11 0.25 1.50 0.02
 -------- 20:00 0.10 0.27 1.50 0.02
 31.12.12 21:00 0.10 0.26 1.49 0.03
 -------- 22:00 0.10 0.23 1.49 0.02
 -------- 23:00 0.09 0.24 1.48 0.02
