 Date Time CO NO2 CHX NO
 16.10.12 00:00 0.02 0.14 1.42 0.07
 -------- 01:00 ---- 0.10 1.38 0.03
 -------- 02:00 ---- 0.11 1.40 0.03
 -------- 03:00 ---- 0.10 1.40 0.03
 -------- 04:00 0.02 0.12 1.42 0.04
 16.10.12 05:00 0.02 0.12 1.42 0.04
 -------- 06:00 0.04 0.12 1.42 0.07
 -------- 07:00 0.06 0.13 1.42 0.07
 -------- 08:00 0.10 0.14 1.45 0.09
 -------- 09:00 0.08 0.14 1.46 0.08
 16.10.12 10:00 0.09 0.15 1.46 0.11
 -------- 11:00 0.09 0.15 1.47 0.13
 -------- 12:00 0.07 0.14 1.46 0.13
 -------- 13:00 0.07 0.14 1.45 0.14
 -------- 14:00 0.07 0.13 1.48 0.13
 16.10.12 15:00 0.06 0.13 1.52 0.12
 -------- 16:00 0.05 0.13 1.42 0.11
 -------- 17:00 0.07 0.13 1.45 0.12
 -------- 18:00 0.07 0.13 1.45 0.10
 -------- 19:00 0.03 0.13 1.45 0.09
 16.10.12 20:00 0.03 0.12 1.45 0.08
 -------- 21:00 0.03 0.11 1.44 0.07
 -------- 22:00 0.03 0.10 1.43 0.09
 -------- 23:00 0.03 0.10 1.43 0.07
 -------- 00:00 0.02 0.09 1.43 0.07
 17.10.12 01:00 0.02 0.08 1.42 0.06
 -------- 02:00 0.04 0.07 1.43 0.05
 -------- 03:00 0.10 0.07 1.44 0.05
 -------- 04:00 0.06 0.07 1.44 0.06
 -------- 05:00 0.06 0.07 1.48 0.07
 17.10.12 06:00 0.05 0.07 1.52 0.13
 -------- 07:00 0.07 0.07 1.54 0.17
 -------- 08:00 0.10 0.07 1.57 0.17
 -------- 09:00 0.11 0.07 1.54 0.20
 -------- 10:00 0.10 0.07 1.54 0.18
 17.10.12 11:00 0.05 0.08 1.53 0.14
 -------- 13:00 0.06 0.07 1.54 0.14
 -------- 14:00 0.05 0.09 1.49 0.13
 -------- 15:00 0.05 0.12 1.50 0.09
 -------- 16:00 0.05 0.16 1.50 0.10
 17.10.12 17:00 0.04 0.17 1.46 0.08
 -------- 18:00 0.04 0.15 1.47 0.07
 -------- 19:00 0.07 0.13 1.47 0.08
 -------- 20:00 0.07 0.12 1.46 0.07
 -------- 21:00 0.07 0.12 1.47 0.08
 17.10.12 22:00 0.09 0.13 1.52 0.07
 -------- 23:00 0.08 0.13 1.48 0.08
