 Date Time CO SO2 H2S NO2 CHX NO
 25.09.12 12:00 0.12 ---- ---- 0.09 1.46 0.13
 -------- 13:00 0.11 ---- ---- 0.09 1.44 0.10
 -------- 14:00 0.08 ---- ---- 0.05 1.43 0.07
 -------- 15:00 0.11 ---- ---- 0.12 1.44 0.11
 -------- 16:00 0.11 ---- ---- 0.12 1.45 0.10
 25.09.12 17:00 0.11 ---- ---- 0.14 1.45 0.10
 -------- 18:00 0.15 ---- ---- 0.14 1.50 0.14
 -------- 19:00 0.14 ---- ---- 0.16 1.51 0.14
 -------- 20:00 0.05 ---- ---- 0.13 1.46 0.08
 -------- 21:00 0.05 ---- ---- 0.14 1.47 0.07
 25.09.12 22:00 0.07 ---- ---- 0.15 1.48 0.11
 -------- 23:00 0.06 ---- ---- 0.14 1.46 0.10
 -------- 00:00 0.03 ---- ---- 0.10 1.44 0.05
 -------- 01:00 0.02 ---- ---- 0.07 1.41 0.03
 -------- 02:00 0.02 ---- ---- 0.09 1.49 0.04
 26.09.12 03:00 0.02 ---- ---- 0.10 1.49 0.05
 -------- 04:00 0.03 ---- ---- 0.10 1.47 0.06
 -------- 05:00 0.05 ---- ---- 0.11 1.51 0.11
 -------- 06:00 0.09 ---- ---- 0.10 1.54 0.15
 -------- 07:00 0.17 ---- ---- 0.12 1.60 0.30
 26.09.12 08:00 0.14 ---- ---- 0.11 1.55 0.24
 -------- 09:00 0.13 ---- ---- 0.11 1.51 0.25
 -------- 10:00 0.13 ---- ---- 0.11 1.53 0.23
 -------- 11:00 0.07 ---- ---- 0.12 1.51 0.18
 -------- 12:00 0.06 ---- ---- 0.12 1.46 0.16
 26.09.12 13:00 0.03 ---- ---- 0.10 1.43 0.09
 -------- 14:00 0.10 ---- ---- 0.15 1.50 0.16
 -------- 15:00 0.12 ---- ---- 0.15 1.51 0.20
 -------- 16:00 0.07 ---- ---- 0.14 1.46 0.14
 -------- 17:00 0.05 ---- ---- 0.14 1.46 0.13
 26.09.12 18:00 0.10 ---- ---- 0.18 1.52 0.12
 -------- 19:00 0.22 ---- ---- 0.21 1.66 0.23
 -------- 20:00 0.24 ---- ---- 0.23 1.79 0.25
 -------- 21:00 0.17 ---- ---- 0.20 1.62 0.18
 -------- 22:00 0.16 ---- ---- 0.19 1.64 0.19
 26.09.12 23:00 0.31 ---- ---- 0.17 1.97 0.47
 -------- 00:00 0.47 ---- ---- 0.18 2.03 0.86
 -------- 01:00 0.52 ---- ---- 0.27 1.97 1.48
 -------- 02:00 0.38 ---- ---- 0.17 1.99 0.84
 -------- 03:00 0.41 ---- ---- 0.15 2.19 1.05
 27.09.12 04:00 0.46 ---- ---- 0.16 2.32 1.36
 -------- 05:00 0.49 ---- ---- 0.13 2.47 1.18
 -------- 06:00 0.43 ---- ---- 0.13 2.38 0.86
 -------- 07:00 0.51 ---- ---- 0.15 2.31 0.95
 -------- 08:00 0.40 ---- ---- 0.17 2.04 0.70
 27.09.12 09:00 0.21 ---- ---- 0.21 1.86 0.41
 -------- 10:00 0.13 ---- ---- 0.17 1.72 0.25
 -------- 11:00 0.11 ---- ---- 0.15 1.62 0.18
