 Date Time CO NO2 CHX NO
 05.02.13 12:00 0.21 0.18 1.64 0.47
 -------- 13:00 0.13 0.10 1.62 0.36
 -------- 14:00 0.13 0.12 1.62 0.34
 -------- 15:00 0.10 0.11 1.57 0.25
 -------- 16:00 0.10 0.13 1.57 0.24
 05.02.13 17:00 0.10 0.12 1.48 0.18
 -------- 18:00 0.08 0.12 1.46 0.15
 -------- 19:00 0.09 0.09 1.46 0.14
 -------- 20:00 0.08 0.09 1.49 0.15
 -------- 21:00 0.11 0.15 1.60 0.23
 05.02.13 22:00 0.11 0.14 1.52 0.29
 -------- 23:00 0.10 0.12 1.53 0.27
 -------- 00:00 0.08 0.08 1.49 0.23
 -------- 01:00 0.06 0.04 1.44 0.15
 -------- 02:00 0.05 0.03 1.45 0.16
 06.02.13 03:00 0.04 0.01 1.41 0.14
 -------- 04:00 0.04 0.02 1.41 0.16
 -------- 05:00 0.09 0.09 1.42 0.30
 -------- 06:00 0.12 0.11 1.49 0.31
 -------- 07:00 0.19 0.15 1.58 0.43
 06.02.13 08:00 0.19 0.17 1.61 0.42
 -------- 09:00 0.17 0.16 1.51 0.37
 -------- 10:00 0.16 0.17 1.52 0.42
 -------- 11:00 0.13 0.15 1.50 0.40
 -------- 12:00 0.17 0.18 1.57 0.45
 06.02.13 13:00 0.11 0.16 1.52 0.32
 -------- 14:00 0.09 0.13 1.64 0.20
 -------- 15:00 0.05 0.06 1.46 0.12
 -------- 16:00 0.07 0.13 1.43 0.15
 -------- 17:00 0.13 0.17 1.59 0.27
 06.02.13 18:00 0.14 0.19 1.63 0.28
 -------- 19:00 0.19 0.16 1.69 0.35
 -------- 20:00 0.17 0.14 1.63 0.22
 -------- 21:00 0.09 0.13 1.56 0.26
 -------- 22:00 0.09 0.14 1.65 0.25
 06.02.13 23:00 0.10 0.14 1.63 0.24
 -------- 00:00 0.05 0.10 1.49 0.13
 -------- 01:00 0.03 0.04 1.46 0.10
 -------- 02:00 0.02 0.01 1.43 0.10
 -------- 03:00 0.02 ---- 1.40 0.11
 07.02.13 04:00 0.02 0.07 1.43 0.10
 -------- 05:00 0.02 0.03 1.43 0.10
 -------- 06:00 0.04 0.02 1.45 0.12
 -------- 07:00 0.07 0.01 1.49 0.12
 -------- 08:00 0.07 0.03 1.46 0.13
 07.02.13 09:00 0.06 0.05 1.47 0.13
 -------- 10:00 0.08 0.07 1.47 0.16
 -------- 11:00 0.09 0.06 1.46 0.18
