 Date Time CO NO2 CHX NO
 27.01.13 00:00 0.05 0.11 1.67 0.17
 -------- 01:00 0.03 0.11 1.80 0.17
 -------- 02:00 0.03 0.10 1.67 0.18
 -------- 03:00 0.02 0.10 1.74 0.17
 -------- 04:00 0.02 0.12 1.68 0.18
 27.01.13 05:00 0.02 0.12 2.38 0.17
 -------- 06:00 0.04 0.13 1.99 0.21
 -------- 07:00 0.13 0.13 2.07 0.24
 -------- 08:00 0.23 0.15 1.94 0.38
 -------- 09:00 0.21 0.18 1.85 0.45
 27.01.13 10:00 0.39 0.18 2.45 0.60
 -------- 11:00 0.27 0.17 1.95 0.50
 -------- 12:00 0.22 0.14 1.84 0.41
 -------- 13:00 0.18 0.11 1.72 0.36
 -------- 14:00 0.19 0.11 1.77 0.36
 27.01.13 15:00 0.21 0.10 1.79 0.30
 -------- 16:00 0.23 0.16 1.77 0.42
 -------- 17:00 0.19 0.17 1.85 0.34
 -------- 18:00 0.26 0.18 1.92 0.29
 -------- 19:00 0.13 0.17 1.81 0.21
 27.01.13 20:00 0.09 0.17 1.75 0.14
 -------- 21:00 0.03 0.12 1.62 0.07
 -------- 22:00 0.04 0.12 1.61 0.08
 -------- 23:00 0.04 0.09 1.58 0.11
 -------- 00:00 0.05 0.13 1.66 0.15
 28.01.13 01:00 0.03 0.13 1.62 0.08
 -------- 02:00 0.03 0.13 1.67 0.07
 -------- 03:00 ---- 0.12 1.65 0.06
 -------- 04:00 ---- 0.08 1.60 0.05
 -------- 05:00 ---- 0.08 1.59 0.05
 28.01.13 06:00 0.06 0.11 1.68 0.08
 -------- 07:00 0.15 0.16 1.77 0.12
 -------- 08:00 0.19 0.15 1.74 0.13
 -------- 09:00 0.10 0.15 1.69 0.12
 -------- 10:00 0.11 0.14 1.70 0.15
 28.01.13 11:00 0.09 0.13 1.71 0.15
 -------- 12:00 0.17 0.12 1.66 0.14
 -------- 13:00 0.07 0.10 1.63 0.14
 -------- 14:00 0.25 0.11 1.75 0.14
 -------- 15:00 0.12 0.13 1.70 0.14
 28.01.13 16:00 0.10 0.09 1.63 0.12
 -------- 17:00 0.09 0.09 1.61 0.10
 -------- 18:00 0.05 0.08 1.58 0.08
 -------- 19:00 0.04 0.07 1.58 0.07
