 Date Time CO SO2 H2S NO2 CHX NO
 21.03.13 12:00 0.08 0.01 0.12 0.20 1.65 0.14
 -------- 13:00 0.07 0.01 0.12 0.18 1.63 0.09
 -------- 14:00 0.07 0.01 0.12 0.18 1.60 0.09
 -------- 15:00 0.07 0.01 0.12 0.16 1.54 0.06
 -------- 16:00 0.17 0.01 0.12 0.17 2.23 0.09
 21.03.13 17:00 0.05 0.01 0.17 0.16 1.55 0.05
 -------- 18:00 0.06 0.01 0.12 0.20 1.58 0.05
 -------- 19:00 0.09 0.01 0.12 0.21 1.54 0.04
 -------- 20:00 0.09 0.01 0.12 0.21 1.51 0.03
 -------- 21:00 0.09 0.00 0.12 0.17 1.52 0.01
 21.03.13 22:00 0.07 0.00 0.12 0.17 1.46 0.01
 -------- 23:00 0.06 0.01 0.12 0.18 1.46 0.01
 -------- 00:00 0.06 0.01 0.12 0.15 1.46 0.01
 -------- 01:00 0.05 0.01 0.12 0.14 1.45 0.00
 -------- 02:00 0.07 0.01 0.12 0.27 1.49 0.05
 22.03.13 03:00 0.07 0.01 0.12 0.27 1.51 0.03
 -------- 04:00 0.07 0.01 0.21 0.25 1.51 0.02
 -------- 05:00 0.07 0.01 0.19 0.26 1.52 0.02
 -------- 06:00 0.15 0.01 0.12 0.30 1.62 0.04
 -------- 07:00 0.17 0.01 0.21 0.30 1.77 0.07
 22.03.13 08:00 0.19 0.01 0.12 0.29 1.76 0.15
 -------- 09:00 0.25 0.01 0.17 0.31 1.75 0.25
 -------- 10:00 0.27 0.01 0.17 0.33 1.83 0.36
 -------- 11:00 0.23 0.01 0.17 0.31 1.68 0.31
 -------- 12:00 0.19 0.01 0.12 0.26 1.63 0.19
 22.03.13 13:00 0.17 0.01 0.12 0.22 1.68 0.14
 -------- 14:00 0.13 0.01 0.17 0.20 1.60 0.12
 -------- 15:00 0.17 0.01 0.21 0.19 2.09 0.08
 -------- 16:00 0.08 0.01 0.12 0.14 1.51 0.05
 -------- 17:00 0.07 0.00 0.12 0.15 1.49 0.04
 22.03.13 18:00 0.07 0.00 0.12 0.18 1.48 0.04
 -------- 19:00 0.11 0.00 0.12 0.20 1.51 0.03
 -------- 20:00 0.10 0.00 0.12 0.23 1.54 0.02
 -------- 21:00 0.14 0.00 0.12 0.17 1.54 0.02
 -------- 22:00 0.12 0.00 0.12 0.17 1.57 0.02
 22.03.13 23:00 0.07 0.00 0.12 0.16 1.45 0.01
 -------- 00:00 0.07 0.00 0.12 0.11 1.46 0.01
 -------- 01:00 0.07 0.00 0.12 0.11 1.51 0.00
 -------- 02:00 0.06 0.01 0.12 0.11 1.44 0.00
 -------- 03:00 0.06 0.01 0.12 0.12 1.44 0.00
 23.03.13 04:00 0.06 0.01 0.12 0.10 1.44 0.01
 -------- 05:00 0.07 0.02 0.12 0.11 1.46 0.01
 -------- 06:00 0.08 0.04 0.12 0.15 1.50 0.01
 -------- 07:00 0.06 0.03 0.12 0.18 1.49 0.02
 -------- 08:00 0.09 0.07 0.21 0.22 1.59 0.06
 23.03.13 09:00 0.09 0.06 0.12 0.20 1.55 0.07
 -------- 10:00 0.10 0.05 0.17 0.18 1.55 0.07
 -------- 11:00 0.09 0.06 0.17 0.21 1.54 0.13
