 Date Time CO NO2 CHX NO
 07.11.12 12:00 0.07 ---- 1.48 ----
 -------- 13:00 0.06 ---- 1.51 ----
 -------- 14:00 0.11 ---- 1.60 ----
 -------- 15:00 0.09 ---- 1.51 ----
 -------- 16:00 0.08 ---- 1.54 ----
 07.11.12 17:00 0.10 ---- 1.54 ----
 -------- 18:00 0.12 0.02 1.56 0.05
 -------- 19:00 0.13 0.09 1.52 0.19
 -------- 20:00 0.08 0.07 1.50 0.13
 -------- 21:00 0.08 0.05 1.50 0.11
 07.11.12 22:00 0.05 0.05 1.45 0.12
 -------- 23:00 0.05 0.04 1.42 0.10
 -------- 00:00 0.05 0.03 1.43 0.10
 -------- 01:00 0.03 0.02 1.43 0.08
 -------- 02:00 0.03 0.02 1.39 0.08
 08.11.12 03:00 0.02 ---- 1.41 0.06
 -------- 04:00 0.03 ---- 1.39 0.07
 -------- 05:00 0.08 0.03 1.47 0.12
 -------- 06:00 0.07 0.02 1.44 0.07
 -------- 07:00 0.07 0.03 1.43 0.06
 08.11.12 08:00 0.10 0.06 1.47 0.10
 -------- 09:00 0.14 0.09 1.52 0.18
 -------- 10:00 0.18 0.09 1.57 0.21
 -------- 11:00 0.17 0.08 1.55 0.22
 -------- 12:00 0.16 0.08 1.78 0.22
 08.11.12 13:00 0.12 0.07 1.46 0.17
 -------- 14:00 0.13 0.09 2.00 0.19
 -------- 15:00 0.10 0.09 2.23 0.16
 -------- 16:00 0.07 0.06 1.94 0.10
 -------- 17:00 0.07 0.06 1.60 0.08
 08.11.12 18:00 0.11 0.11 1.58 0.13
 -------- 19:00 0.11 0.11 1.49 0.14
 -------- 20:00 0.08 0.08 1.48 0.13
 -------- 21:00 0.03 0.07 1.44 0.08
 -------- 22:00 0.02 0.05 1.41 0.06
 08.11.12 23:00 0.03 0.06 1.42 0.09
 -------- 00:00 0.02 0.04 1.58 0.08
 -------- 01:00 0.02 0.05 1.43 0.08
 -------- 02:00 0.03 0.06 1.47 0.10
 -------- 03:00 0.03 0.06 1.56 0.15
 09.11.12 04:00 0.03 0.05 1.57 0.18
 -------- 05:00 0.05 0.06 1.66 0.18
 -------- 06:00 0.17 0.07 1.95 0.27
 -------- 07:00 0.12 0.06 1.63 0.15
 -------- 08:00 0.17 0.04 1.67 0.13
 09.11.12 09:00 0.16 0.03 1.66 0.11
 -------- 10:00 0.12 0.03 1.50 0.13
 -------- 11:00 0.17 0.06 1.57 0.25
