 Date Time CO NO2 CHX NO
 13.10.12 12:00 0.13 0.16 1.51 0.13
 -------- 13:00 0.13 0.13 1.49 0.09
 -------- 14:00 0.11 0.11 1.46 0.08
 -------- 15:00 0.12 0.11 1.46 0.09
 -------- 16:00 0.12 0.13 1.48 0.09
 13.10.12 17:00 0.12 0.15 1.46 0.13
 -------- 18:00 0.11 0.15 1.46 0.09
 -------- 19:00 0.10 0.18 1.48 0.11
 -------- 20:00 0.10 0.20 1.55 0.12
 -------- 21:00 0.19 0.23 1.67 0.30
 13.10.12 22:00 0.17 0.21 1.85 0.22
 -------- 23:00 0.13 0.21 1.78 0.19
 -------- 00:00 0.13 0.20 1.83 0.21
 -------- 01:00 0.13 0.18 1.87 0.18
 -------- 02:00 0.08 0.16 1.62 0.11
 14.10.12 03:00 0.10 0.16 1.70 0.18
 -------- 04:00 0.19 0.14 1.72 0.45
 -------- 05:00 0.17 0.11 1.63 0.32
 -------- 06:00 0.21 0.11 1.66 0.39
 -------- 07:00 0.47 0.11 1.84 0.56
 14.10.12 08:00 0.20 0.10 1.78 0.31
 -------- 09:00 0.19 0.11 1.80 0.28
 -------- 10:00 0.27 0.16 1.90 0.44
 -------- 11:00 0.27 0.13 1.65 0.33
 -------- 12:00 0.15 0.09 1.55 0.19
 14.10.12 13:00 0.21 0.12 1.57 0.23
 -------- 14:00 0.23 0.15 1.63 0.30
 -------- 15:00 0.12 0.13 1.51 0.12
 -------- 16:00 0.07 0.13 1.47 0.07
 -------- 17:00 0.08 0.14 1.47 0.06
 14.10.12 18:00 0.09 0.16 1.49 0.06
 -------- 19:00 0.12 0.17 1.53 0.10
 -------- 20:00 0.10 0.17 1.55 0.09
 -------- 21:00 0.09 0.16 1.54 0.07
 -------- 22:00 0.05 0.16 1.50 0.04
 14.10.12 23:00 0.05 0.16 1.51 0.05
 -------- 00:00 0.05 0.16 1.52 0.05
 -------- 01:00 0.05 0.17 1.52 0.10
 -------- 02:00 0.04 0.15 1.52 0.05
 -------- 03:00 0.03 0.12 1.51 0.05
 15.10.12 04:00 0.04 0.12 1.56 0.08
 -------- 05:00 0.07 0.13 1.57 0.15
 -------- 06:00 0.13 0.13 1.63 0.20
 -------- 07:00 0.18 0.16 1.63 0.30
 -------- 08:00 0.15 0.15 1.60 0.20
 15.10.12 09:00 0.19 0.15 1.65 0.24
 -------- 10:00 0.18 0.17 1.64 0.25
 -------- 11:00 0.13 0.17 1.59 0.22
