 Date Time CO SO2 H2S NO2 CHX NO
 18.09.12 12:00 0.04 ---- ---- 0.13 1.52 0.15
 -------- 13:00 0.05 ---- ---- 0.16 1.53 0.18
 -------- 14:00 0.14 ---- ---- 0.20 1.61 0.26
 -------- 15:00 0.11 ---- ---- 0.20 1.58 0.20
 -------- 16:00 0.17 ---- ---- 0.25 1.59 0.35
 18.09.12 17:00 0.15 ---- ---- 0.24 1.65 0.33
 -------- 18:00 0.25 ---- ---- 0.25 1.67 0.44
 -------- 19:00 0.35 ---- ---- 0.28 1.79 0.62
 -------- 20:00 0.28 ---- ---- 0.26 1.69 0.42
 -------- 21:00 0.31 ---- ---- 0.25 1.75 0.43
 18.09.12 22:00 0.29 ---- ---- 0.26 1.76 0.56
 -------- 23:00 0.23 ---- ---- 0.22 1.74 0.39
 -------- 00:00 0.31 ---- ---- 0.20 1.92 0.58
 -------- 01:00 0.29 ---- ---- 0.18 1.96 0.54
 -------- 02:00 0.15 ---- ---- 0.20 1.78 0.21
 19.09.12 03:00 0.11 ---- ---- 0.20 1.80 0.27
 -------- 04:00 0.16 ---- ---- 0.18 1.80 0.33
 -------- 05:00 0.17 ---- ---- 0.21 1.72 0.50
 -------- 06:00 0.15 ---- ---- 0.19 1.82 0.35
 -------- 07:00 0.15 ---- ---- 0.19 1.75 0.30
 19.09.12 08:00 0.24 ---- ---- 0.20 1.91 0.38
 -------- 09:00 0.09 ---- ---- 0.17 1.64 0.11
 -------- 10:00 0.07 ---- ---- 0.15 1.58 0.12
 -------- 11:00 0.09 ---- ---- 0.14 1.51 0.14
 -------- 12:00 0.15 ---- ---- 0.19 1.56 0.21
 19.09.12 13:00 0.10 ---- ---- 0.20 1.49 0.17
 -------- 14:00 0.11 ---- ---- 0.20 1.47 0.15
 -------- 15:00 0.09 ---- ---- 0.18 1.46 0.15
 -------- 16:00 0.10 ---- ---- 0.18 1.45 0.12
 -------- 17:00 0.11 ---- ---- 0.21 1.48 0.13
 19.09.12 18:00 0.11 ---- ---- 0.25 1.52 0.13
 -------- 19:00 0.08 ---- ---- 0.23 1.45 0.06
 -------- 20:00 0.06 ---- ---- 0.24 1.54 0.05
 -------- 21:00 0.09 ---- ---- 0.26 1.61 0.06
 -------- 22:00 0.07 ---- ---- 0.26 1.52 0.08
 19.09.12 23:00 0.04 ---- ---- 0.20 1.45 0.04
 -------- 00:00 0.02 ---- ---- 0.18 1.45 0.04
 -------- 01:00 0.02 ---- ---- 0.15 1.44 0.03
 -------- 02:00 ---- ---- ---- 0.11 1.42 0.03
 -------- 03:00 0.02 ---- ---- 0.13 1.49 0.03
 20.09.12 04:00 0.02 ---- ---- 0.13 1.46 0.04
 -------- 05:00 0.04 ---- ---- 0.14 1.46 0.05
 -------- 06:00 0.07 ---- ---- 0.17 1.48 0.10
 -------- 07:00 0.14 ---- ---- 0.17 1.53 0.12
 -------- 08:00 0.14 ---- ---- 0.16 1.54 0.08
 20.09.12 09:00 0.16 ---- ---- 0.17 1.69 0.11
