 Date Time CO NO2 CHX NO
 18.11.12 12:00 0.15 0.09 1.37 0.26
 -------- 13:00 0.17 0.08 1.39 0.25
 -------- 14:00 0.11 0.07 1.32 0.24
 -------- 15:00 0.14 0.08 1.36 0.30
 -------- 16:00 0.14 0.08 1.36 0.27
 18.11.12 17:00 0.13 0.07 1.34 0.23
 -------- 18:00 0.16 0.07 1.39 0.31
 -------- 19:00 0.11 0.06 1.35 0.21
 -------- 20:00 0.10 0.04 1.34 0.16
 -------- 21:00 0.07 0.04 1.32 0.15
 18.11.12 22:00 0.05 0.04 1.26 0.13
 -------- 23:00 0.03 0.03 1.24 0.12
 -------- 00:00 0.02 0.01 1.26 0.11
 -------- 01:00 ---- 0.01 1.26 0.09
 -------- 02:00 ---- ---- 1.28 0.07
 19.11.12 03:00 ---- ---- 1.25 0.07
 -------- 04:00 0.02 ---- 1.25 0.08
 -------- 05:00 0.05 0.01 1.29 0.12
 -------- 06:00 0.07 0.03 1.29 0.19
 -------- 07:00 0.13 0.03 1.32 0.23
 19.11.12 08:00 0.14 0.04 1.34 0.24
 -------- 09:00 0.17 0.06 1.36 0.30
 -------- 10:00 0.19 0.09 1.43 0.37
 -------- 11:00 0.21 0.06 1.51 0.32
 -------- 12:00 0.17 0.07 1.44 0.35
 19.11.12 13:00 0.14 0.06 1.44 0.30
 -------- 14:00 0.17 0.08 1.45 0.34
 -------- 15:00 0.16 0.07 1.44 0.36
 -------- 16:00 0.18 0.06 1.47 0.33
 -------- 17:00 0.19 0.06 1.48 0.29
 19.11.12 18:00 0.17 0.07 1.51 0.30
 -------- 19:00 0.15 0.05 1.45 0.25
 -------- 20:00 0.13 0.05 1.41 0.21
 -------- 21:00 0.09 0.03 1.37 0.17
 -------- 22:00 0.09 0.02 1.37 0.15
 19.11.12 23:00 0.06 0.01 1.38 0.14
 -------- 00:00 0.06 0.01 1.37 0.14
 -------- 01:00 0.04 0.01 1.36 0.10
 -------- 02:00 0.03 ---- 1.29 0.09
 -------- 03:00 0.04 ---- 1.29 0.09
 20.11.12 04:00 0.04 ---- 1.28 0.07
 -------- 05:00 0.05 ---- 1.30 0.09
 -------- 06:00 0.08 0.01 1.33 0.14
 -------- 07:00 0.13 0.01 1.62 0.15
 -------- 08:00 0.13 0.02 1.50 0.20
 20.11.12 09:00 0.14 0.02 1.53 0.24
 -------- 10:00 0.19 0.04 1.60 0.34
 -------- 11:00 0.15 0.04 1.64 0.30
