 Date Time CO SO2 H2S NO2 CHX NO
 20.03.13 00:00 0.06 0.00 0.12 0.19 1.54 0.00
 -------- 01:00 0.04 0.00 0.21 0.24 1.57 0.01
 -------- 02:00 0.05 0.00 0.17 0.24 1.76 0.10
 -------- 03:00 0.12 0.01 0.12 0.33 2.25 0.32
 -------- 04:00 0.12 0.01 0.12 0.32 1.91 0.25
 20.03.13 05:00 0.20 0.01 0.25 0.34 2.96 0.44
 -------- 06:00 0.29 0.01 0.25 0.36 2.70 0.59
 -------- 07:00 0.23 0.02 0.25 0.34 2.21 0.39
 -------- 08:00 0.13 0.01 0.29 0.29 1.85 0.14
 -------- 09:00 0.18 0.01 0.33 0.29 2.05 0.21
 20.03.13 10:00 0.10 0.03 0.25 0.25 1.79 0.12
 -------- 11:00 0.05 0.02 0.17 0.19 1.68 0.06
 -------- 12:00 0.07 0.01 0.12 0.16 1.66 0.09
 -------- 13:00 0.04 0.01 0.12 0.11 1.62 0.03
 -------- 14:00 0.09 0.01 0.17 0.15 1.60 0.04
 20.03.13 15:00 0.16 0.02 0.25 0.17 1.72 0.06
 -------- 16:00 0.07 0.06 0.38 0.21 1.61 0.07
 -------- 17:00 0.02 0.04 0.29 0.17 1.53 0.04
 -------- 18:00 0.02 0.01 0.21 0.12 1.49 0.02
 -------- 19:00 0.09 0.01 0.25 0.16 1.48 0.02
 20.03.13 20:00 0.07 0.01 0.21 0.15 1.49 0.01
 -------- 21:00 0.07 0.01 0.17 0.14 1.49 0.01
 -------- 22:00 0.10 0.01 0.17 0.15 1.51 0.01
 -------- 23:00 0.09 0.01 0.21 0.16 1.53 0.01
 -------- 00:00 0.07 0.01 0.25 0.12 1.52 0.00
 21.03.13 01:00 0.06 0.01 0.17 0.16 1.51 0.00
 -------- 02:00 0.06 0.01 0.12 0.16 1.51 0.01
 -------- 03:00 0.06 0.01 0.12 0.17 1.49 0.00
 -------- 04:00 0.06 0.01 0.17 0.20 1.49 0.01
 -------- 05:00 0.07 0.01 0.17 0.18 1.51 0.01
 21.03.13 06:00 0.10 0.01 0.12 0.19 1.52 0.02
 -------- 07:00 0.13 0.01 0.12 0.20 1.60 0.03
 -------- 08:00 0.10 0.01 0.12 0.21 1.66 0.06
 -------- 09:00 0.11 0.01 0.12 0.21 1.76 0.07
 -------- 10:00 0.08 0.01 0.12 0.19 1.58 0.09
 21.03.13 11:00 0.10 0.01 0.12 0.21 1.68 0.14
 -------- 12:00 0.09 0.01 0.17 0.21 1.69 0.15
 -------- 13:00 0.07 0.01 0.12 0.18 1.63 0.09
 -------- 14:00 0.07 0.01 0.12 0.18 1.60 0.09
 -------- 15:00 0.07 0.01 0.12 0.16 1.54 0.06
 21.03.13 16:00 0.17 0.01 0.12 0.17 2.23 0.09
 -------- 17:00 0.05 0.01 0.17 0.16 1.55 0.05
 -------- 18:00 0.06 0.01 0.12 0.20 1.58 0.05
 -------- 19:00 0.09 0.01 0.12 0.21 1.54 0.04
 -------- 20:00 0.09 0.01 0.12 0.21 1.51 0.03
 21.03.13 21:00 0.09 0.00 0.12 0.17 1.52 0.01
 -------- 22:00 0.07 0.00 0.12 0.17 1.46 0.01
 -------- 23:00 0.06 0.01 0.12 0.18 1.46 0.01
