 Date Time CO NO2 CHX NO
 16.11.12 12:00 0.03 0.05 1.40 0.09
 -------- 13:00 0.05 0.06 1.42 0.09
 -------- 14:00 0.05 0.07 1.39 0.11
 -------- 15:00 0.04 0.06 1.37 0.09
 -------- 16:00 0.04 0.06 1.38 0.10
 16.11.12 17:00 0.06 0.08 1.40 0.09
 -------- 18:00 0.06 0.09 1.34 0.10
 -------- 19:00 0.07 0.09 1.32 0.09
 -------- 20:00 0.04 0.07 1.25 0.07
 -------- 21:00 0.04 0.06 1.21 0.08
 16.11.12 22:00 0.04 0.07 1.20 0.08
 -------- 23:00 0.04 0.08 1.18 0.07
 -------- 00:00 0.03 0.07 1.19 0.07
 -------- 01:00 0.02 0.04 1.09 0.05
 -------- 02:00 0.02 0.05 1.15 0.06
 17.11.12 03:00 0.02 0.03 1.14 0.06
 -------- 04:00 0.02 0.01 1.09 0.05
 -------- 05:00 0.03 0.02 1.12 0.07
 -------- 06:00 0.06 0.06 1.19 0.10
 -------- 07:00 0.09 0.07 1.13 0.11
 17.11.12 08:00 0.09 0.10 1.13 0.14
 -------- 09:00 0.13 0.12 1.20 0.17
 -------- 10:00 0.14 0.10 1.23 0.19
 -------- 11:00 0.14 0.10 1.29 0.19
 -------- 12:00 0.12 0.09 1.23 0.16
 17.11.12 13:00 0.12 0.09 1.21 0.18
 -------- 14:00 0.12 0.09 1.21 0.14
 -------- 15:00 0.16 0.10 1.26 0.19
 -------- 16:00 0.11 0.07 1.22 0.12
 -------- 17:00 0.17 0.10 1.27 0.18
 17.11.12 18:00 0.14 0.08 1.25 0.14
 -------- 19:00 0.09 0.06 1.25 0.10
 -------- 20:00 0.07 0.06 1.27 0.12
 -------- 21:00 0.05 0.06 1.97 0.08
 -------- 22:00 0.04 0.04 1.37 0.06
 17.11.12 23:00 0.06 0.05 1.30 0.08
 -------- 00:00 0.06 0.06 1.39 0.10
 -------- 01:00 0.05 0.05 1.31 0.08
 -------- 02:00 0.06 0.06 1.33 0.12
 -------- 03:00 0.05 0.05 1.37 0.09
 18.11.12 04:00 0.13 0.03 1.41 0.09
 -------- 05:00 0.16 0.05 1.40 0.13
 -------- 06:00 0.11 0.05 1.43 0.18
 -------- 07:00 0.14 0.05 1.39 0.19
 -------- 08:00 0.16 0.06 1.39 0.23
 18.11.12 09:00 0.15 0.07 1.36 0.28
 -------- 10:00 0.22 0.08 1.47 0.33
 -------- 11:00 0.22 0.09 1.42 0.35
