 Date Time CO SO2 H2S NO2 CHX NO
 17.09.12 12:00 0.09 ---- ---- 0.14 1.56 0.20
 -------- 13:00 0.07 ---- ---- 0.14 1.49 0.20
 -------- 14:00 0.03 ---- ---- 0.12 1.45 0.13
 -------- 15:00 0.09 ---- ---- 0.14 1.50 0.19
 -------- 16:00 0.06 ---- ---- 0.16 1.47 0.16
 17.09.12 17:00 0.04 ---- ---- 0.15 1.47 0.12
 -------- 18:00 0.04 ---- ---- 0.16 1.45 0.11
 -------- 19:00 0.13 ---- ---- 0.23 1.55 0.12
 -------- 20:00 0.43 ---- ---- 0.25 2.03 0.41
 -------- 21:00 0.97 ---- ---- 0.32 2.68 1.55
 17.09.12 22:00 0.89 ---- ---- 0.31 2.49 1.52
 -------- 23:00 0.91 ---- ---- 0.31 2.39 1.86
 -------- 00:00 0.72 ---- ---- 0.27 2.26 1.45
 -------- 01:00 0.49 ---- ---- 0.22 2.20 1.12
 -------- 02:00 0.29 ---- ---- 0.20 2.05 0.84
 18.09.12 03:00 0.19 ---- ---- 0.19 1.91 0.54
 -------- 04:00 0.13 ---- ---- 0.17 1.95 0.46
 -------- 05:00 0.09 ---- ---- 0.15 1.90 0.38
 -------- 06:00 0.34 ---- ---- 0.18 2.05 0.81
 -------- 07:00 0.51 ---- ---- 0.20 2.22 0.79
 18.09.12 08:00 0.51 ---- ---- 0.19 2.34 0.77
 -------- 09:00 0.43 ---- ---- 0.18 2.27 0.76
 -------- 10:00 0.21 ---- ---- 0.17 1.96 0.49
 -------- 11:00 0.09 ---- ---- 0.16 1.62 0.24
 -------- 12:00 0.05 ---- ---- 0.13 1.54 0.16
 18.09.12 13:00 0.05 ---- ---- 0.16 1.53 0.18
 -------- 14:00 0.14 ---- ---- 0.20 1.61 0.26
 -------- 15:00 0.11 ---- ---- 0.20 1.58 0.20
 -------- 16:00 0.17 ---- ---- 0.25 1.59 0.35
 -------- 17:00 0.15 ---- ---- 0.24 1.65 0.33
 18.09.12 18:00 0.25 ---- ---- 0.25 1.67 0.44
 -------- 19:00 0.35 ---- ---- 0.28 1.79 0.62
 -------- 20:00 0.28 ---- ---- 0.26 1.69 0.42
 -------- 21:00 0.31 ---- ---- 0.25 1.75 0.43
 -------- 22:00 0.29 ---- ---- 0.26 1.76 0.56
 18.09.12 23:00 0.23 ---- ---- 0.22 1.74 0.39
 -------- 00:00 0.31 ---- ---- 0.20 1.92 0.58
 -------- 01:00 0.29 ---- ---- 0.18 1.96 0.54
 -------- 02:00 0.15 ---- ---- 0.20 1.78 0.21
 -------- 03:00 0.11 ---- ---- 0.20 1.80 0.27
 19.09.12 04:00 0.16 ---- ---- 0.18 1.80 0.33
 -------- 05:00 0.17 ---- ---- 0.21 1.72 0.50
 -------- 06:00 0.15 ---- ---- 0.19 1.82 0.35
 -------- 07:00 0.15 ---- ---- 0.19 1.75 0.30
 -------- 08:00 0.24 ---- ---- 0.20 1.91 0.38
 19.09.12 09:00 0.09 ---- ---- 0.17 1.64 0.11
 -------- 10:00 0.07 ---- ---- 0.15 1.58 0.12
 -------- 11:00 0.09 ---- ---- 0.14 1.51 0.14
