 Date Time CO SO2 H2S NO2 CHX NO
 06.02.13 00:00 0.02 0.01 0.12 0.18 1.46 0.04
 -------- 01:00 0.02 0.01 0.12 0.17 1.44 0.04
 -------- 02:00 0.02 0.01 0.12 0.15 1.42 0.02
 -------- 03:00 ---- 0.00 0.12 0.14 1.41 0.02
 -------- 04:00 0.02 0.01 0.12 0.15 1.41 0.02
 06.02.13 05:00 ---- 0.00 ---- 0.18 1.42 0.03
 -------- 06:00 0.02 0.01 0.12 0.19 1.43 0.05
 -------- 07:00 0.04 0.01 0.12 0.19 1.44 0.05
 -------- 08:00 0.08 0.01 0.12 0.22 1.45 0.03
 -------- 09:00 0.09 0.01 0.12 0.19 1.44 0.05
 06.02.13 10:00 0.07 0.01 0.12 0.17 1.43 0.04
 -------- 11:00 0.06 0.01 0.12 0.13 1.42 0.03
 -------- 12:00 0.06 0.01 0.12 0.15 1.42 0.04
 -------- 13:00 0.07 0.01 0.12 0.21 1.51 0.08
 -------- 14:00 0.07 0.01 0.12 0.23 1.57 0.07
 06.02.13 15:00 0.07 0.01 0.12 0.22 1.48 0.06
 -------- 16:00 0.12 0.01 0.12 0.24 1.55 0.06
 -------- 17:00 0.08 0.01 0.12 0.21 1.48 0.05
 -------- 18:00 0.09 0.01 0.12 0.21 1.51 0.06
 -------- 19:00 0.09 0.01 0.21 0.18 1.50 0.05
 06.02.13 20:00 0.06 0.01 0.25 0.15 1.49 0.04
 -------- 21:00 0.07 0.01 0.25 0.16 1.48 0.05
 -------- 22:00 0.06 0.01 0.25 0.16 1.50 0.05
 -------- 23:00 0.06 0.01 0.17 0.19 1.51 0.06
 -------- 00:00 0.06 0.01 0.12 0.20 1.53 0.05
 07.02.13 01:00 0.04 0.01 0.12 0.18 1.49 0.04
 -------- 02:00 0.03 0.01 0.12 0.13 1.49 0.02
 -------- 03:00 0.02 0.01 0.12 0.14 1.47 0.02
 -------- 04:00 0.02 0.01 0.12 0.13 1.44 0.02
 -------- 05:00 0.02 0.01 ---- 0.10 1.47 0.01
 07.02.13 06:00 0.04 0.01 0.12 0.16 1.53 0.05
 -------- 07:00 0.04 0.01 0.12 0.13 1.47 0.03
 -------- 08:00 0.05 0.01 0.12 0.15 1.52 0.04
 -------- 09:00 0.04 0.01 0.12 0.16 1.49 0.05
 -------- 10:00 0.03 0.01 0.12 0.18 1.47 0.07
 07.02.13 11:00 0.05 0.01 0.12 0.16 1.48 0.06
 -------- 12:00 0.04 0.01 0.12 0.17 1.48 0.08
 -------- 13:00 0.03 0.01 0.12 0.17 1.48 0.07
 -------- 14:00 0.03 0.01 0.12 0.16 1.49 0.06
 -------- 15:00 0.03 0.01 0.12 0.16 1.45 0.05
 07.02.13 16:00 0.02 0.01 0.12 0.13 1.44 0.04
 -------- 17:00 0.08 0.01 0.12 0.14 1.46 0.04
 -------- 18:00 0.02 0.01 0.12 0.13 1.43 0.03
 -------- 19:00 0.03 0.01 0.12 0.13 1.44 0.03
 -------- 20:00 0.07 0.01 0.12 0.10 1.45 0.02
 07.02.13 21:00 0.04 0.01 0.12 0.11 1.43 0.02
 -------- 22:00 0.03 0.00 0.12 0.11 1.43 0.02
 -------- 23:00 0.02 0.00 ---- 0.08 1.42 0.02
 -------- 00:00 0.02 0.00 ---- 0.06 1.41 0.01
