 Date Time CO SO2 H2S NO2 CHX NO
 21.11.12 12:00 0.07 0.01 0.50 0.17 1.46 0.09
 -------- 13:00 0.07 0.02 0.50 0.13 1.46 0.05
 -------- 14:00 0.06 0.01 0.46 0.16 1.47 0.07
 -------- 15:00 0.06 0.00 ---- 0.15 1.48 0.07
 -------- 16:00 0.07 0.01 0.12 0.17 1.52 0.08
 21.11.12 17:00 0.06 0.01 0.12 0.16 1.48 0.06
 -------- 18:00 0.05 0.00 ---- 0.13 1.43 0.03
 -------- 19:00 0.06 0.00 0.12 0.17 1.47 0.06
 -------- 20:00 0.05 0.01 0.17 0.17 1.46 0.07
 -------- 21:00 0.02 0.02 0.38 0.12 1.42 0.01
 21.11.12 22:00 ---- 0.02 0.62 0.14 1.42 0.02
 -------- 23:00 0.08 0.02 ---- 0.16 1.46 0.08
 -------- 00:00 0.06 0.03 0.38 0.18 1.48 0.16
 -------- 01:00 0.05 0.01 0.21 0.18 1.47 0.16
 -------- 02:00 0.02 0.01 0.21 0.14 1.43 0.04
 22.11.12 03:00 ---- 0.00 0.29 0.12 1.42 0.01
 -------- 04:00 ---- 0.01 0.42 0.13 1.42 0.02
 -------- 05:00 0.04 0.01 0.29 0.16 1.45 0.09
 -------- 06:00 0.05 0.00 0.17 0.17 1.48 0.17
 -------- 07:00 0.06 0.00 0.12 0.14 1.45 0.06
 22.11.12 08:00 0.11 0.01 0.29 0.17 1.51 0.17
 -------- 09:00 0.09 0.02 0.25 0.17 1.52 0.15
 -------- 10:00 0.11 0.02 0.31 0.17 1.58 0.20
 -------- 11:00 0.13 0.01 0.33 0.19 1.59 0.24
 -------- 12:00 0.12 0.01 0.19 0.20 1.59 0.23
 22.11.12 13:00 0.10 0.03 0.46 0.24 1.61 0.18
 -------- 14:00 0.05 0.03 0.50 0.23 1.48 0.07
 -------- 15:00 0.04 0.04 0.62 0.21 1.45 0.05
 -------- 16:00 0.04 0.02 0.38 0.22 1.41 0.05
 -------- 17:00 0.05 0.03 0.33 0.28 1.43 0.07
 22.11.12 18:00 0.04 0.02 0.44 0.25 1.47 0.05
 -------- 19:00 0.05 0.02 0.21 0.27 1.50 0.05
 -------- 20:00 0.08 0.02 0.12 0.26 1.48 0.05
 -------- 21:00 0.06 0.03 0.54 0.21 1.48 0.04
 -------- 22:00 0.06 0.02 0.38 0.25 1.41 0.07
 22.11.12 23:00 0.07 0.04 0.83 0.24 1.41 0.08
 -------- 00:00 0.06 0.02 0.62 0.23 1.44 0.08
 -------- 01:00 0.04 0.03 0.25 0.19 1.45 0.04
 -------- 02:00 0.04 0.03 0.25 0.18 1.53 0.03
 -------- 03:00 0.04 0.04 0.25 0.19 1.57 0.04
 23.11.12 04:00 0.04 0.02 0.31 0.16 1.42 0.03
 -------- 05:00 0.04 0.03 0.46 0.14 1.43 0.05
 -------- 06:00 0.07 0.02 0.38 0.19 1.43 0.07
 -------- 07:00 0.08 0.01 ---- 0.20 1.45 0.07
 -------- 08:00 0.05 0.01 0.12 0.19 1.42 0.06
 23.11.12 09:00 0.03 0.01 0.12 0.15 1.38 0.05
 -------- 10:00 0.03 0.01 0.12 0.18 1.44 0.09
 -------- 11:00 0.03 0.03 0.50 0.17 1.41 0.09
