 Date Time CO SO2 H2S NO2 NO
 21.09.12 12:00 ---- 0.03 0.38 0.15 0.03
 -------- 13:00 ---- 0.04 0.54 0.14 0.03
 -------- 14:00 ---- 0.02 0.44 0.15 0.02
 -------- 15:00 ---- ---- ---- 0.10 0.01
 -------- 16:00 0.16 0.01 0.12 0.14 0.02
 21.09.12 17:00 ---- 0.03 0.29 0.12 0.01
 -------- 18:00 ---- 0.02 0.25 0.15 0.01
 -------- 19:00 0.05 0.03 0.33 0.33 0.14
 -------- 20:00 0.05 0.01 0.33 0.18 0.02
 -------- 21:00 0.05 0.02 0.29 0.15 0.02
 21.09.12 22:00 0.05 0.01 0.38 0.15 0.02
 -------- 23:00 0.03 0.00 ---- 0.14 0.01
 -------- 00:00 0.02 0.00 0.12 0.13 0.01
 -------- 01:00 0.02 0.01 0.12 0.13 0.01
 -------- 02:00 0.02 0.01 0.25 0.10 0.01
 22.09.12 03:00 0.02 0.00 0.19 0.09 0.00
 -------- 04:00 ---- 0.01 0.25 0.06 0.00
 -------- 05:00 ---- 0.02 0.54 0.03 0.00
 -------- 06:00 ---- 0.01 0.38 0.07 0.00
 -------- 07:00 0.02 0.00 0.12 0.12 0.01
 22.09.12 08:00 0.03 0.03 0.50 0.14 0.02
 -------- 09:00 0.03 0.06 0.79 0.13 0.01
 -------- 10:00 0.04 0.05 0.50 0.13 0.05
 -------- 11:00 0.03 0.05 0.54 0.10 0.04
 -------- 12:00 0.02 0.02 0.12 0.07 0.03
 22.09.12 13:00 0.02 0.03 0.33 0.07 0.02
 -------- 14:00 0.03 0.03 0.17 0.09 0.02
 -------- 15:00 0.02 0.04 0.12 0.10 0.01
 -------- 16:00 0.02 0.03 ---- 0.10 0.01
 -------- 17:00 0.04 0.04 0.19 0.16 0.01
 22.09.12 18:00 0.07 0.03 0.12 0.20 0.02
 -------- 19:00 0.09 0.05 1.42 0.27 0.01
 -------- 20:00 0.11 0.03 1.04 0.24 0.05
 -------- 21:00 0.11 0.02 0.46 0.19 0.06
 -------- 22:00 0.08 0.02 0.54 0.18 0.06
 22.09.12 23:00 0.04 0.02 0.25 0.14 0.04
 -------- 00:00 0.04 0.02 0.17 0.12 0.03
 -------- 01:00 0.14 0.03 0.25 0.12 0.02
 -------- 02:00 ---- 0.02 0.38 0.13 0.02
 -------- 03:00 ---- 0.03 0.38 0.13 0.02
 23.09.12 04:00 ---- 0.03 0.44 0.11 0.01
 -------- 05:00 ---- 0.02 0.29 0.11 0.01
 -------- 06:00 ---- 0.02 0.19 0.11 0.01
 -------- 07:00 0.08 0.01 0.25 0.11 0.03
 -------- 08:00 0.04 0.03 0.50 0.11 0.04
 23.09.12 09:00 0.05 0.02 0.25 0.11 0.03
 -------- 10:00 0.06 0.02 0.25 0.10 0.03
 -------- 11:00 0.03 0.02 0.29 0.11 0.05
