 Date Time CO SO2 H2S NO2 CHX NO
 20.11.12 12:00 0.09 0.01 0.38 0.10 1.52 0.17
 -------- 13:00 0.08 0.02 0.62 0.10 1.51 0.13
 -------- 14:00 0.09 0.02 0.50 0.10 1.50 0.18
 -------- 15:00 0.12 0.03 0.25 0.10 1.52 0.23
 -------- 16:00 0.11 0.01 0.31 0.13 1.50 0.19
 20.11.12 17:00 0.10 0.02 0.67 0.15 1.51 0.15
 -------- 18:00 0.13 0.02 0.62 0.16 1.56 0.18
 -------- 19:00 0.07 0.02 0.19 0.15 1.48 0.07
 -------- 20:00 0.02 0.01 0.50 0.12 1.42 0.02
 -------- 21:00 0.02 0.02 0.54 0.09 1.41 0.01
 20.11.12 22:00 ---- 0.01 0.62 0.09 1.40 0.01
 -------- 23:00 ---- 0.01 0.25 0.06 1.39 0.01
 -------- 00:00 ---- 0.01 0.21 0.03 1.37 0.00
 -------- 01:00 ---- 0.02 0.46 0.02 1.38 0.00
 -------- 02:00 ---- 0.02 0.25 0.02 1.37 0.00
 21.11.12 03:00 ---- 0.02 0.29 0.01 1.37 0.00
 -------- 04:00 ---- 0.02 0.44 0.01 1.37 0.00
 -------- 05:00 ---- ---- 0.21 0.03 1.37 0.01
 -------- 06:00 ---- 0.00 0.25 0.10 1.38 0.02
 -------- 07:00 0.03 0.01 0.50 0.18 1.45 0.07
 21.11.12 08:00 0.08 0.00 ---- 0.18 1.45 0.09
 -------- 09:00 0.11 0.01 0.25 0.21 1.57 0.14
 -------- 10:00 0.11 0.01 0.38 0.20 1.49 0.15
 -------- 11:00 0.09 0.01 ---- 0.20 1.47 0.14
 -------- 12:00 0.07 0.01 0.50 0.18 1.47 0.10
 21.11.12 13:00 0.07 0.02 0.50 0.13 1.46 0.05
 -------- 14:00 0.06 0.01 0.46 0.16 1.47 0.07
 -------- 15:00 0.06 0.00 ---- 0.15 1.48 0.07
 -------- 16:00 0.07 0.01 0.12 0.17 1.52 0.08
 -------- 17:00 0.06 0.01 0.12 0.16 1.48 0.06
 21.11.12 18:00 0.05 0.00 ---- 0.13 1.43 0.03
 -------- 19:00 0.06 0.00 0.12 0.17 1.47 0.06
 -------- 20:00 0.05 0.01 0.17 0.17 1.46 0.07
 -------- 21:00 0.02 0.02 0.38 0.12 1.42 0.01
 -------- 22:00 ---- 0.02 0.62 0.14 1.42 0.02
 21.11.12 23:00 0.08 0.02 ---- 0.16 1.46 0.08
 -------- 00:00 0.06 0.03 0.38 0.18 1.48 0.16
 -------- 01:00 0.05 0.01 0.21 0.18 1.47 0.16
 -------- 02:00 0.02 0.01 0.21 0.14 1.43 0.04
 -------- 03:00 ---- 0.00 0.29 0.12 1.42 0.01
 22.11.12 04:00 ---- 0.01 0.42 0.13 1.42 0.02
 -------- 05:00 0.04 0.01 0.29 0.16 1.45 0.09
 -------- 06:00 0.05 0.00 0.17 0.17 1.48 0.17
 -------- 07:00 0.06 0.00 0.12 0.14 1.45 0.06
 -------- 08:00 0.11 0.01 0.29 0.17 1.51 0.17
 22.11.12 09:00 0.09 0.02 0.25 0.17 1.52 0.15
 -------- 10:00 0.11 0.02 0.31 0.17 1.58 0.20
 -------- 11:00 0.13 0.01 0.33 0.19 1.59 0.24
