 Date Time CO SO2 H2S NO2 CHX NO
 13.03.13 12:00 0.04 0.02 0.12 0.16 1.57 0.04
 -------- 13:00 0.03 0.02 0.12 0.13 1.53 0.03
 -------- 14:00 0.02 0.02 0.12 0.10 1.49 0.02
 -------- 15:00 0.02 0.02 0.12 0.12 1.51 0.02
 -------- 16:00 0.03 0.03 0.21 0.14 1.51 0.02
 13.03.13 17:00 0.04 0.02 0.21 0.14 1.52 0.02
 -------- 18:00 0.05 0.03 0.25 0.19 1.50 0.02
 -------- 19:00 0.06 0.02 0.25 0.27 1.74 0.02
 -------- 20:00 0.02 0.02 0.17 0.23 1.57 0.01
 -------- 21:00 0.03 0.02 0.17 0.25 1.61 0.01
 13.03.13 22:00 0.03 0.01 0.25 0.31 1.46 0.05
 -------- 23:00 0.04 0.01 0.21 0.39 1.55 0.12
 -------- 00:00 0.03 0.02 0.21 0.35 1.54 0.07
 -------- 01:00 0.03 0.01 0.17 0.37 1.64 0.09
 -------- 02:00 0.02 0.01 0.21 0.30 1.57 0.04
 14.03.13 03:00 0.03 0.01 0.12 0.36 1.74 0.11
 -------- 04:00 0.02 0.01 0.12 0.34 1.73 0.07
 -------- 05:00 0.02 0.01 0.12 0.33 1.88 0.07
 -------- 06:00 0.04 0.01 0.12 0.33 1.81 0.07
 -------- 07:00 0.03 0.01 0.12 0.29 1.70 0.04
 14.03.13 08:00 0.09 0.01 0.12 0.31 1.78 0.05
 -------- 09:00 0.08 0.01 0.19 0.27 1.73 0.04
 -------- 10:00 0.09 0.01 0.12 0.27 1.80 0.06
 -------- 11:00 0.08 0.01 0.12 0.27 1.64 0.06
 -------- 12:00 0.08 0.02 0.21 0.26 1.77 0.06
 14.03.13 13:00 0.08 0.02 0.21 0.22 1.68 0.05
 -------- 14:00 0.08 0.02 0.12 0.20 1.54 0.04
 -------- 15:00 0.09 0.02 0.25 0.32 1.58 0.07
 -------- 16:00 0.09 0.02 0.21 0.29 1.53 0.05
 -------- 17:00 0.08 0.01 0.17 0.25 1.50 0.04
 14.03.13 18:00 0.08 0.01 0.25 0.24 1.50 0.04
 -------- 19:00 0.09 0.01 0.17 0.26 1.51 0.04
 -------- 20:00 0.09 0.01 0.21 0.23 1.52 0.02
 -------- 21:00 0.09 0.01 0.21 0.25 1.54 0.02
 -------- 22:00 0.07 0.01 0.12 0.22 1.50 0.03
 14.03.13 23:00 0.08 0.01 0.12 0.24 1.54 0.03
 -------- 00:00 0.09 0.01 0.17 0.24 1.56 0.03
 -------- 01:00 0.08 0.00 0.12 0.23 1.55 0.03
 -------- 02:00 0.08 0.01 0.12 0.21 1.56 0.03
 -------- 03:00 0.07 0.01 0.38 0.20 1.54 0.03
 15.03.13 04:00 0.06 0.01 0.12 0.20 1.52 0.02
 -------- 05:00 0.07 0.01 0.12 0.25 1.53 0.05
 -------- 06:00 0.09 0.01 0.12 0.27 1.61 0.06
 -------- 07:00 0.08 0.01 0.12 0.25 1.60 0.06
 -------- 08:00 0.10 0.01 0.12 0.28 1.60 0.09
 15.03.13 09:00 0.08 0.01 0.21 0.24 1.54 0.05
 -------- 10:00 0.07 0.01 0.12 0.20 1.53 0.05
 -------- 11:00 0.08 0.01 0.12 0.22 1.58 0.06
