 Date Time CO SO2 H2S NO2 NO
 01.10.12 23:00 0.12 0.01 ---- 0.23 0.09
 -------- 00:00 0.11 0.01 0.38 0.22 0.08
 -------- 01:00 0.07 0.02 0.54 0.19 0.05
 -------- 02:00 0.05 0.01 0.38 0.17 0.02
 -------- 03:00 0.09 0.01 0.19 0.16 0.14
 02.10.12 04:00 0.15 0.01 0.33 0.17 0.34
 -------- 05:00 0.19 0.01 0.38 0.18 0.40
 -------- 06:00 0.23 0.01 0.29 0.19 0.48
 -------- 07:00 0.35 0.01 0.19 0.19 0.65
 -------- 08:00 0.31 0.03 0.42 0.19 0.55
 02.10.12 09:00 0.27 0.03 0.38 0.18 0.50
 -------- 10:00 0.18 0.02 0.25 0.18 0.41
 -------- 11:00 0.04 0.01 ---- 0.19 0.12
 -------- 12:00 ---- 0.01 0.19 0.09 0.03
 -------- 13:00 ---- 0.02 ---- 0.09 0.03
 02.10.12 14:00 ---- 0.02 0.25 0.08 0.02
 -------- 15:00 ---- 0.03 0.58 0.10 0.03
 -------- 16:00 ---- 0.02 0.33 0.10 0.02
 -------- 17:00 ---- 0.03 0.58 0.21 0.06
 -------- 18:00 0.02 0.03 0.46 0.26 0.08
 02.10.12 19:00 0.04 0.03 0.21 0.24 0.16
 -------- 20:00 0.11 0.02 0.44 0.24 0.20
 -------- 21:00 0.13 0.01 0.12 0.22 0.17
 -------- 22:00 0.11 0.02 0.19 0.21 0.17
 -------- 23:00 0.09 0.02 0.21 0.20 0.19
 03.10.12 00:00 0.04 0.02 0.29 0.20 0.12
 -------- 01:00 ---- 0.02 0.33 0.18 0.06
 -------- 02:00 ---- 0.01 0.25 0.16 0.07
 -------- 03:00 ---- 0.01 0.19 0.16 0.06
 -------- 04:00 ---- 0.00 ---- 0.14 0.04
 03.10.12 05:00 0.02 0.02 0.17 0.12 0.05
 -------- 06:00 0.02 0.01 0.25 0.15 0.08
 -------- 07:00 0.03 0.01 0.21 0.14 0.07
 -------- 08:00 0.05 0.02 0.25 0.14 0.07
 -------- 09:00 0.08 0.02 0.19 0.16 0.09
 03.10.12 10:00 0.04 0.01 0.25 0.16 0.09
 -------- 11:00 0.02 0.01 0.58 0.13 0.07
 -------- 12:00 0.02 0.01 0.31 0.11 0.06
 -------- 13:00 0.02 0.00 0.12 0.13 0.07
 -------- 14:00 0.07 0.01 0.25 0.14 0.09
 03.10.12 15:00 0.03 0.02 0.38 0.15 0.10
 -------- 16:00 0.03 0.01 0.25 0.17 0.11
 -------- 17:00 0.04 0.01 0.42 0.17 0.12
 -------- 18:00 0.05 0.01 0.25 0.17 0.13
 -------- 19:00 0.07 0.01 0.21 0.15 0.14
 03.10.12 20:00 0.07 0.01 0.21 0.17 0.14
 -------- 21:00 0.09 0.02 0.58 0.15 0.17
 -------- 22:00 0.07 0.01 0.38 0.15 0.18
