 Date Time CO SO2 H2S NO2 CHX NO
 28.10.12 00:00 ---- 0.01 0.25 0.11 1.37 0.01
 -------- 01:00 ---- 0.01 ---- 0.10 1.38 0.02
 -------- 02:00 ---- 0.01 0.25 0.09 1.38 0.01
 -------- 03:00 ---- 0.01 0.42 0.08 1.52 0.01
 -------- 04:00 ---- 0.01 0.33 0.06 1.37 0.01
 28.10.12 05:00 ---- 0.00 ---- 0.05 1.36 0.00
 -------- 06:00 ---- 0.00 0.12 0.05 1.34 0.01
 -------- 07:00 ---- 0.01 0.21 0.05 1.41 0.00
 -------- 08:00 0.09 0.01 0.46 0.09 1.52 0.02
 -------- 09:00 0.07 0.02 0.71 0.10 1.53 0.02
 28.10.12 10:00 0.07 0.01 0.38 0.11 1.78 0.02
 -------- 11:00 0.08 0.02 0.17 0.12 1.74 0.03
 -------- 12:00 0.08 0.01 0.17 0.10 1.39 0.03
 -------- 13:00 0.07 0.01 0.25 0.10 1.38 0.03
 -------- 14:00 0.05 0.01 0.46 0.11 1.39 0.03
 28.10.12 15:00 0.16 0.01 0.62 0.17 1.48 0.06
 -------- 16:00 0.14 0.01 0.67 0.16 1.48 0.06
 -------- 17:00 0.12 0.01 0.42 0.17 1.51 0.07
 -------- 18:00 0.13 0.01 0.42 0.17 1.56 0.09
 -------- 19:00 0.15 0.02 0.62 0.18 1.62 0.10
 28.10.12 20:00 0.11 0.01 0.25 0.17 1.55 0.09
 -------- 21:00 0.07 ---- 0.12 0.15 1.47 0.08
 -------- 22:00 0.06 0.01 ---- 0.13 1.45 0.07
 -------- 23:00 0.07 0.01 0.19 0.13 1.49 0.08
 -------- 00:00 0.09 0.00 ---- 0.13 1.57 0.13
 29.10.12 01:00 0.11 0.01 0.21 0.15 1.67 0.12
 -------- 02:00 0.06 0.01 0.38 0.15 1.63 0.08
 -------- 03:00 0.02 0.01 0.54 0.12 1.45 0.02
 -------- 04:00 ---- 0.00 0.38 0.11 1.42 0.01
 -------- 05:00 0.02 0.01 0.25 0.08 1.42 0.01
 29.10.12 06:00 0.02 0.01 0.44 0.09 1.41 0.01
 -------- 07:00 0.02 0.01 ---- 0.10 1.40 0.01
 -------- 08:00 0.03 0.02 0.25 0.09 1.39 0.01
 -------- 09:00 0.02 0.01 0.54 0.09 1.38 0.01
 -------- 10:00 0.02 0.01 0.62 0.08 1.39 0.01
 29.10.12 11:00 0.02 0.01 0.25 0.09 1.39 0.01
 -------- 12:00 ---- 0.01 0.38 0.09 1.39 0.01
 -------- 13:00 ---- 0.00 0.12 0.08 1.38 0.01
 -------- 14:00 ---- 0.01 0.19 0.11 1.40 0.02
 -------- 15:00 0.02 0.02 0.21 0.12 1.40 0.01
 29.10.12 16:00 0.02 0.01 0.19 0.12 1.38 0.01
 -------- 17:00 0.02 0.02 0.33 0.10 1.38 0.01
 -------- 18:00 0.02 0.01 0.54 0.09 1.38 0.01
 -------- 19:00 ---- 0.01 0.19 0.08 1.38 0.00
 -------- 20:00 0.04 0.05 0.21 0.09 1.40 0.01
 29.10.12 21:00 0.05 0.08 0.33 0.10 1.41 0.00
 -------- 22:00 0.03 0.06 0.42 0.06 1.40 0.01
 -------- 23:00 0.03 0.06 0.62 0.10 1.39 0.01
