 Date Time CO SO2 H2S NO2 CHX NO
 22.11.12 00:00 0.06 0.03 0.38 0.18 1.48 0.17
 -------- 01:00 0.05 0.01 0.21 0.18 1.47 0.16
 -------- 02:00 0.02 0.01 0.21 0.14 1.43 0.04
 -------- 03:00 ---- 0.00 0.29 0.12 1.42 0.01
 -------- 04:00 ---- 0.01 0.42 0.13 1.42 0.02
 22.11.12 05:00 0.04 0.01 0.29 0.16 1.45 0.09
 -------- 06:00 0.05 0.00 0.17 0.17 1.48 0.17
 -------- 07:00 0.06 0.00 0.12 0.14 1.45 0.06
 -------- 08:00 0.11 0.01 0.29 0.17 1.51 0.17
 -------- 09:00 0.09 0.02 0.25 0.17 1.52 0.15
 22.11.12 10:00 0.11 0.02 0.31 0.17 1.58 0.20
 -------- 11:00 0.13 0.01 0.33 0.19 1.59 0.24
 -------- 12:00 0.12 0.01 0.19 0.20 1.59 0.23
 -------- 13:00 0.10 0.03 0.46 0.24 1.61 0.18
 -------- 14:00 0.05 0.03 0.50 0.23 1.48 0.07
 22.11.12 15:00 0.04 0.04 0.62 0.21 1.45 0.05
 -------- 16:00 0.04 0.02 0.38 0.22 1.41 0.05
 -------- 17:00 0.05 0.03 0.33 0.28 1.43 0.07
 -------- 18:00 0.04 0.02 0.44 0.25 1.47 0.05
 -------- 19:00 0.05 0.02 0.21 0.27 1.50 0.05
 22.11.12 20:00 0.08 0.02 0.12 0.26 1.48 0.05
 -------- 21:00 0.06 0.03 0.54 0.21 1.48 0.04
 -------- 22:00 0.06 0.02 0.38 0.25 1.41 0.07
 -------- 23:00 0.07 0.04 0.83 0.24 1.41 0.08
 -------- 00:00 0.06 0.02 0.62 0.23 1.44 0.08
 23.11.12 01:00 0.04 0.03 0.25 0.19 1.45 0.04
 -------- 02:00 0.04 0.03 0.25 0.18 1.53 0.03
 -------- 03:00 0.04 0.04 0.25 0.19 1.57 0.04
 -------- 04:00 0.04 0.02 0.31 0.16 1.42 0.03
 -------- 05:00 0.04 0.03 0.46 0.14 1.43 0.05
 23.11.12 06:00 0.07 0.02 0.38 0.19 1.43 0.07
 -------- 07:00 0.08 0.01 ---- 0.20 1.45 0.07
 -------- 08:00 0.05 0.01 0.12 0.19 1.42 0.06
 -------- 09:00 0.03 0.01 0.12 0.15 1.38 0.05
 -------- 10:00 0.03 0.01 0.12 0.18 1.44 0.09
 23.11.12 11:00 0.03 0.03 0.50 0.17 1.41 0.09
 -------- 12:00 0.02 0.01 0.12 0.15 1.43 0.08
 -------- 13:00 0.02 0.02 0.12 0.16 1.53 0.08
 -------- 14:00 0.03 0.02 0.31 0.16 1.46 0.08
 -------- 15:00 0.03 0.02 0.17 0.19 1.44 0.09
 23.11.12 16:00 0.05 0.02 0.21 0.21 1.47 0.13
 -------- 17:00 0.09 0.02 0.42 0.23 1.50 0.20
 -------- 18:00 0.11 0.02 0.58 0.24 1.77 0.16
 -------- 19:00 0.07 0.02 0.50 0.21 1.62 0.11
 -------- 20:00 0.07 0.01 0.56 0.16 1.44 0.06
 23.11.12 21:00 0.07 0.02 0.17 0.17 1.45 0.07
 -------- 22:00 0.07 0.00 0.17 0.20 1.51 0.09
 -------- 23:00 0.06 0.00 0.31 0.19 1.48 0.08
