 Date Time CO SO2 H2S NO2 CHX NO
 26.10.12 00:00 0.02 0.02 0.38 0.07 1.35 0.02
 -------- 01:00 0.02 0.02 0.42 0.04 1.38 0.01
 -------- 02:00 ---- 0.02 0.42 0.04 1.36 0.01
 -------- 03:00 ---- 0.01 0.12 0.04 1.37 0.01
 -------- 04:00 ---- 0.01 0.12 0.04 1.36 0.01
 26.10.12 05:00 0.02 0.01 0.71 0.05 1.37 0.02
 -------- 06:00 0.02 0.00 0.19 0.07 1.37 0.03
 -------- 07:00 0.02 0.01 0.67 0.07 1.39 0.02
 -------- 08:00 0.05 0.01 0.58 0.07 1.37 0.02
 -------- 09:00 0.06 0.01 0.12 0.10 1.39 0.03
 26.10.12 10:00 0.09 0.01 0.25 0.16 1.40 0.07
 -------- 11:00 0.08 0.02 0.58 0.14 1.42 0.06
 -------- 12:00 0.07 0.02 0.46 0.12 1.40 0.04
 -------- 13:00 0.07 0.02 0.50 0.08 1.38 0.02
 -------- 14:00 0.08 0.01 0.33 0.07 1.35 0.01
 26.10.12 15:00 0.07 0.01 0.12 0.04 1.35 0.01
 -------- 16:00 0.06 0.01 0.50 0.05 1.35 0.01
 -------- 17:00 0.07 0.01 0.17 0.05 1.36 0.01
 -------- 18:00 0.06 0.02 0.38 0.08 1.36 0.01
 -------- 19:00 0.06 0.03 0.29 0.10 1.36 0.01
 26.10.12 20:00 0.05 0.02 0.25 0.13 1.37 0.01
 -------- 21:00 0.04 0.02 0.50 0.18 1.38 0.03
 -------- 22:00 0.03 0.01 0.31 0.12 1.36 0.02
 -------- 23:00 0.02 0.02 0.12 0.07 1.36 0.01
 -------- 00:00 0.02 0.01 0.12 0.02 1.34 0.01
 27.10.12 01:00 ---- 0.01 0.19 0.01 1.33 0.00
 -------- 02:00 ---- 0.01 0.19 0.05 1.34 0.01
 -------- 03:00 ---- 0.03 0.62 0.06 1.33 0.01
 -------- 04:00 ---- 0.02 0.38 0.03 1.34 0.00
 -------- 05:00 0.02 0.01 0.50 0.07 1.37 0.01
 27.10.12 06:00 ---- 0.01 0.25 0.08 1.35 0.01
 -------- 07:00 0.02 0.01 0.17 0.08 1.36 0.01
 -------- 08:00 0.02 0.01 0.25 0.13 1.38 0.02
 -------- 09:00 0.02 0.01 0.58 0.11 1.37 0.03
 -------- 10:00 0.02 0.01 0.50 0.10 1.39 0.04
 27.10.12 11:00 0.02 0.01 0.21 0.07 1.37 0.03
 -------- 12:00 ---- 0.02 0.29 0.04 1.36 0.02
 -------- 13:00 ---- 0.01 0.25 0.04 1.36 0.02
 -------- 14:00 ---- 0.01 0.17 0.04 1.36 0.02
 -------- 15:00 ---- 0.01 0.12 0.06 1.38 0.01
 27.10.12 16:00 0.02 0.01 0.17 0.10 1.38 0.02
 -------- 17:00 0.02 0.03 0.25 0.14 1.39 0.03
 -------- 18:00 0.04 0.02 0.12 0.19 1.41 0.06
 -------- 19:00 0.13 0.03 0.12 0.24 1.51 0.16
 -------- 20:00 0.15 0.02 0.12 0.23 1.50 0.14
 27.10.12 21:00 0.07 0.01 0.33 0.23 1.43 0.08
 -------- 22:00 0.07 0.01 0.12 0.20 1.43 0.09
 -------- 23:00 0.03 0.02 0.25 0.18 1.39 0.05
