 Date Time CO SO2 H2S NO2 CHX NO
 28.03.13 23:00 0.05 0.01 0.31 0.41 1.51 0.03
 -------- 00:00 0.03 0.01 0.17 0.34 1.48 0.01
 -------- 01:00 0.02 0.01 ---- 0.33 1.46 0.01
 -------- 02:00 0.02 0.01 0.12 0.27 1.46 0.00
 -------- 03:00 0.02 0.01 0.12 0.29 1.50 0.01
 29.03.13 04:00 0.02 0.00 ---- 0.29 1.52 0.00
 -------- 05:00 0.02 0.01 0.12 0.28 1.54 0.01
 -------- 06:00 0.02 0.01 ---- 0.30 1.55 0.01
 -------- 07:00 0.04 0.01 0.12 0.37 1.54 0.03
 -------- 08:00 0.08 0.00 ---- 0.39 1.57 0.07
 29.03.13 09:00 0.07 0.00 ---- 0.38 1.56 0.09
 -------- 10:00 0.08 0.00 ---- 0.39 1.56 0.09
 -------- 11:00 0.06 0.01 ---- 0.35 1.58 0.08
 -------- 12:00 0.02 0.00 0.12 0.12 1.38 0.02
 -------- 13:00 ---- 0.00 ---- 0.07 1.37 0.01
 29.03.13 14:00 ---- 0.00 ---- 0.06 1.37 0.01
 -------- 15:00 ---- ---- ---- 0.05 1.37 0.01
 -------- 16:00 ---- 0.00 ---- 0.06 1.39 0.01
 -------- 17:00 ---- ---- ---- 0.05 1.37 0.01
 -------- 18:00 ---- 0.00 ---- 0.07 1.36 0.00
 29.03.13 19:00 ---- 0.00 ---- 0.10 1.37 0.00
 -------- 20:00 0.05 ---- ---- 0.25 1.42 0.01
 -------- 21:00 0.15 0.01 0.12 0.53 1.82 0.30
 -------- 22:00 0.48 0.03 0.25 0.69 2.35 1.18
 -------- 23:00 0.67 0.05 0.54 0.78 2.68 1.83
 30.03.13 00:00 0.64 0.03 0.21 0.78 2.57 1.70
 -------- 01:00 0.33 0.02 0.21 0.59 1.90 0.65
 -------- 02:00 0.25 0.02 0.29 0.51 1.95 0.47
 -------- 03:00 0.30 0.03 0.29 0.55 2.07 0.67
 -------- 04:00 0.13 0.02 0.33 0.40 1.69 0.18
 30.03.13 05:00 0.16 0.02 0.29 0.49 1.78 0.37
 -------- 06:00 0.13 0.01 0.21 0.46 1.69 0.27
 -------- 07:00 0.11 0.01 0.21 0.42 1.60 0.18
 -------- 08:00 0.07 0.01 0.12 0.40 1.56 0.10
 -------- 09:00 0.08 0.01 0.12 0.44 1.58 0.12
 30.03.13 10:00 0.19 0.01 0.12 0.36 1.76 0.07
 -------- 11:00 0.15 0.01 0.21 0.32 1.62 0.05
 -------- 12:00 0.02 0.02 0.12 0.26 1.49 0.04
 -------- 13:00 ---- 0.01 0.12 0.15 1.40 0.02
 -------- 14:00 ---- 0.01 0.25 0.12 1.38 0.01
 30.03.13 15:00 ---- 0.02 0.21 0.15 1.43 0.02
 -------- 16:00 ---- 0.02 0.33 0.14 1.41 0.02
 -------- 17:00 ---- 0.01 0.17 0.13 1.39 0.01
 -------- 18:00 ---- 0.01 0.17 0.11 1.39 0.01
 -------- 19:00 ---- 0.01 0.17 0.12 1.38 0.01
 30.03.13 20:00 0.02 0.01 0.19 0.09 1.39 0.01
 -------- 21:00 ---- 0.01 0.12 0.08 1.38 0.00
 -------- 22:00 0.02 0.01 0.12 0.10 1.38 0.00
 -------- 23:00 ---- 0.01 0.12 0.10 1.38 0.01
