 Date Time CO SO2 H2S NO2 NO
 20.09.12 00:00 0.03 0.02 0.31 0.25 0.07
 -------- 01:00 0.03 0.01 ---- 0.23 0.07
 -------- 02:00 0.03 0.02 0.50 0.19 0.07
 -------- 03:00 0.02 0.02 0.54 0.21 0.07
 -------- 04:00 0.02 0.01 0.38 0.20 0.06
 20.09.12 05:00 0.03 0.01 ---- 0.23 0.11
 -------- 06:00 0.07 0.01 0.19 0.17 0.24
 -------- 07:00 0.15 0.01 0.46 0.18 0.31
 -------- 08:00 0.25 0.01 0.42 0.19 0.27
 -------- 09:00 0.19 0.02 0.83 0.21 0.19
 20.09.12 10:00 0.08 0.02 0.67 0.25 0.10
 -------- 11:00 0.04 0.02 0.12 0.22 0.07
 -------- 12:00 0.02 0.02 0.33 0.17 0.04
 -------- 13:00 ---- 0.03 0.50 0.15 0.03
 -------- 14:00 ---- 0.02 0.38 0.11 0.02
 20.09.12 15:00 ---- 0.02 0.19 0.14 0.02
 -------- 16:00 ---- 0.02 0.12 0.14 0.02
 -------- 17:00 ---- 0.03 0.21 0.18 0.02
 -------- 18:00 0.02 0.01 0.38 0.21 0.02
 -------- 19:00 0.07 0.01 ---- 0.31 0.10
 20.09.12 20:00 0.20 0.02 0.50 0.32 0.26
 -------- 21:00 0.17 0.04 0.62 0.30 0.17
 -------- 22:00 0.07 0.03 0.62 0.28 0.06
 -------- 23:00 0.06 0.03 0.12 0.28 0.06
 -------- 00:00 0.07 0.02 0.38 0.26 0.06
 21.09.12 01:00 0.04 0.01 ---- 0.20 0.03
 -------- 02:00 0.04 0.02 0.25 0.20 0.04
 -------- 03:00 0.02 0.02 0.17 0.14 0.02
 -------- 04:00 0.03 0.01 0.58 0.16 0.04
 -------- 05:00 0.07 0.01 0.29 0.20 0.11
 21.09.12 06:00 0.17 0.01 0.38 0.19 0.33
 -------- 07:00 0.28 0.02 0.62 0.20 0.42
 -------- 08:00 0.21 0.01 0.38 0.21 0.27
 -------- 09:00 0.07 0.02 0.58 0.23 0.13
 -------- 10:00 0.02 0.02 0.19 0.20 0.06
 21.09.12 11:00 0.02 0.04 0.67 0.19 0.06
 -------- 12:00 ---- 0.03 0.38 0.15 0.03
 -------- 13:00 ---- 0.04 0.54 0.14 0.03
 -------- 14:00 ---- 0.02 0.44 0.15 0.02
 -------- 15:00 ---- ---- ---- 0.10 0.01
 21.09.12 16:00 0.16 0.01 0.12 0.14 0.02
 -------- 17:00 ---- 0.03 0.29 0.12 0.01
 -------- 18:00 ---- 0.02 0.25 0.15 0.01
 -------- 19:00 0.05 0.03 0.33 0.33 0.14
 -------- 20:00 0.05 0.01 0.33 0.18 0.02
 21.09.12 21:00 0.05 0.02 0.29 0.15 0.02
 -------- 22:00 0.05 0.01 0.38 0.15 0.02
 -------- 23:00 0.03 0.00 ---- 0.14 0.01
 -------- 00:00 0.02 ---- ---- 0.12 0.01
