 Date Time CO SO2 H2S NO2 CHX NO
 26.03.13 12:00 0.02 0.01 0.12 0.06 1.39 0.02
 -------- 13:00 0.03 0.01 0.25 0.09 1.41 0.03
 -------- 14:00 0.02 0.01 0.12 0.07 1.40 0.02
 -------- 15:00 0.02 0.01 0.12 0.07 1.38 0.02
 -------- 16:00 0.03 0.01 0.21 0.07 1.38 0.02
 26.03.13 17:00 0.02 0.01 0.25 0.05 1.36 0.01
 -------- 18:00 0.02 0.01 0.12 0.05 1.37 0.01
 -------- 19:00 0.03 0.01 0.25 0.09 1.38 0.01
 -------- 20:00 0.05 0.00 0.21 0.10 1.38 0.00
 -------- 21:00 0.04 0.00 0.17 0.10 1.39 0.00
 26.03.13 22:00 0.05 0.01 0.21 0.15 1.41 0.01
 -------- 23:00 0.04 0.00 0.12 0.14 1.41 0.00
 -------- 00:00 0.04 0.00 0.12 0.14 1.41 0.00
 -------- 01:00 0.04 0.01 0.12 0.13 1.41 0.00
 -------- 02:00 0.03 0.01 ---- 0.14 1.42 0.01
 27.03.13 03:00 0.04 0.01 0.12 0.23 1.49 0.00
 -------- 04:00 0.05 0.01 0.12 0.29 1.50 0.01
 -------- 05:00 0.04 0.01 0.12 0.29 1.52 0.01
 -------- 06:00 0.07 0.01 0.12 0.41 1.56 0.07
 -------- 07:00 0.09 0.01 0.19 0.38 1.60 0.09
 27.03.13 08:00 0.15 0.01 ---- 0.39 1.64 0.14
 -------- 09:00 0.21 0.01 ---- 0.39 1.73 0.18
 -------- 10:00 0.13 0.00 ---- 0.37 1.63 0.16
 -------- 11:00 0.09 0.00 ---- 0.28 1.51 0.09
 -------- 12:00 0.08 0.01 ---- 0.22 1.48 0.06
 27.03.13 13:00 0.07 0.01 0.12 0.14 1.45 0.04
 -------- 14:00 0.06 0.01 0.12 0.10 1.41 0.02
 -------- 15:00 0.06 0.01 0.12 0.10 1.40 0.02
 -------- 16:00 0.06 0.01 0.12 0.09 1.40 0.02
 -------- 17:00 0.06 0.01 0.25 0.08 1.40 0.01
 27.03.13 18:00 0.06 0.01 0.17 0.10 1.40 0.01
 -------- 19:00 0.06 0.01 0.17 0.12 1.40 0.01
 -------- 20:00 0.05 0.01 0.21 0.15 1.43 0.00
 -------- 21:00 0.04 0.01 0.17 0.14 1.41 0.00
 -------- 22:00 0.06 0.01 0.12 0.26 1.45 0.01
 27.03.13 23:00 0.06 0.01 0.19 0.31 1.47 0.01
 -------- 00:00 0.04 0.01 ---- 0.29 1.47 0.01
 -------- 01:00 0.15 0.01 0.17 0.54 1.67 0.30
 -------- 02:00 0.07 0.01 0.21 0.43 1.55 0.06
 -------- 03:00 0.09 0.01 0.12 0.49 1.61 0.27
 28.03.13 04:00 0.03 0.01 0.12 0.31 1.48 0.01
 -------- 05:00 0.02 0.01 0.12 0.27 1.47 0.01
 -------- 06:00 0.03 0.01 0.12 0.29 1.48 0.01
 -------- 07:00 0.04 0.01 0.17 0.30 1.50 0.02
 -------- 08:00 0.05 0.01 0.12 0.32 1.50 0.07
 28.03.13 09:00 0.06 0.00 ---- 0.32 1.51 0.09
 -------- 10:00 0.06 0.01 0.12 0.34 1.53 0.11
 -------- 11:00 0.06 0.01 0.12 0.29 1.50 0.09
