 Date Time CO SO2 H2S NO2 CHX NO
 07.04.13 00:00 0.05 0.01 0.25 0.19 1.50 0.01
 -------- 01:00 0.02 0.01 0.33 0.10 1.42 0.02
 -------- 02:00 0.02 0.01 0.25 0.05 1.39 0.01
 -------- 03:00 0.02 0.01 0.38 0.04 1.38 0.00
 -------- 04:00 ---- 0.00 0.12 0.02 1.37 0.00
 07.04.13 05:00 ---- 0.00 0.12 0.04 1.37 0.00
 -------- 06:00 ---- 0.00 0.17 0.06 1.37 0.00
 -------- 07:00 0.02 0.01 0.29 0.07 1.37 0.01
 -------- 08:00 0.02 0.00 0.17 0.06 1.38 0.00
 -------- 09:00 0.02 0.00 0.12 0.05 1.37 0.00
 07.04.13 10:00 ---- 0.01 0.17 0.05 1.38 0.01
 -------- 11:00 ---- 0.00 0.17 0.07 1.37 0.01
 -------- 12:00 0.02 0.00 0.12 0.09 1.37 0.04
 -------- 13:00 0.06 0.01 0.25 0.07 1.39 0.01
 -------- 14:00 0.02 0.01 0.25 0.07 1.38 0.01
 07.04.13 15:00 ---- 0.00 0.17 0.08 1.37 0.01
 -------- 16:00 ---- 0.01 0.29 0.08 1.37 0.01
 -------- 17:00 0.02 0.01 0.21 0.09 1.38 0.00
 -------- 18:00 0.02 0.01 0.25 0.08 1.38 0.00
 -------- 19:00 0.02 0.01 0.25 0.08 1.38 0.00
 07.04.13 20:00 0.02 0.01 0.21 0.09 1.39 0.00
 -------- 21:00 0.02 0.01 0.25 0.12 1.40 0.00
 -------- 22:00 0.02 0.00 0.12 0.11 1.41 0.00
 -------- 23:00 0.02 0.01 0.38 0.12 1.41 0.00
 -------- 00:00 0.02 0.01 0.25 0.13 1.42 0.00
 08.04.13 01:00 0.02 0.00 ---- 0.12 1.42 0.00
 -------- 02:00 0.02 ---- ---- 0.11 1.44 0.00
 -------- 03:00 0.02 0.00 ---- 0.13 1.49 0.00
 -------- 04:00 0.02 0.00 ---- 0.15 1.54 0.01
 -------- 05:00 0.10 0.00 ---- 0.36 1.63 0.31
 08.04.13 06:00 0.17 0.00 ---- 0.50 1.81 0.65
 -------- 07:00 0.15 0.00 ---- 0.41 1.84 0.18
 -------- 08:00 0.12 0.00 ---- 0.41 1.95 0.12
 -------- 09:00 0.04 0.00 ---- 0.32 1.51 0.06
 -------- 10:00 ---- ---- ---- 0.15 ---- 0.02
 08.04.13 11:00 ---- 0.00 ---- 0.22 ---- 0.03
 -------- 12:00 0.02 0.00 0.12 0.31 ---- 0.06
 -------- 13:00 0.02 0.00 ---- 0.27 ---- 0.05
 -------- 14:00 ---- 0.02 0.12 0.17 ---- 0.03
 -------- 15:00 0.02 0.00 ---- 0.17 ---- 0.02
 08.04.13 16:00 ---- 0.00 ---- 0.13 ---- 0.02
 -------- 17:00 ---- 0.00 ---- 0.15 1.14 0.02
 -------- 18:00 ---- ---- ---- 0.16 1.45 0.01
 -------- 19:00 ---- 0.00 ---- 0.23 1.42 0.01
 -------- 20:00 ---- 0.00 ---- 0.42 1.48 0.06
 08.04.13 21:00 ---- 0.00 ---- 0.46 1.48 0.06
 -------- 22:00 ---- 0.00 ---- 0.43 1.41 0.10
 -------- 23:00 ---- 0.01 ---- 0.45 1.49 0.19
