 Date Time CO SO2 H2S NO2 CHX NO
 01.02.13 00:00 0.02 0.02 0.12 0.10 1.52 0.02
 -------- 01:00 0.02 0.02 0.29 0.11 1.57 0.02
 -------- 02:00 0.02 0.02 0.21 0.10 1.54 0.02
 -------- 03:00 ---- 0.02 0.17 0.09 1.50 0.01
 -------- 04:00 ---- 0.02 0.25 0.08 1.51 0.01
 01.02.13 05:00 0.02 0.02 0.17 0.10 1.53 0.02
 -------- 06:00 0.03 0.02 0.25 0.11 1.54 0.04
 -------- 07:00 0.04 0.02 0.21 0.12 1.55 0.04
 -------- 08:00 0.07 0.01 0.12 0.13 1.56 0.03
 -------- 09:00 0.07 0.02 0.12 0.14 1.57 0.05
 01.02.13 10:00 0.06 0.02 0.19 0.15 1.56 0.06
 -------- 11:00 0.06 0.02 0.12 0.16 1.56 0.07
 -------- 12:00 0.07 0.02 0.12 0.18 1.60 0.09
 -------- 13:00 0.07 0.02 0.12 0.18 1.61 0.10
 -------- 14:00 0.05 0.02 0.12 0.16 1.57 0.08
 01.02.13 15:00 0.05 0.02 0.12 0.15 1.54 0.06
 -------- 16:00 0.07 0.01 0.12 0.17 1.55 0.07
 -------- 17:00 0.06 0.02 0.12 0.17 1.55 0.06
 -------- 18:00 0.06 0.02 0.12 0.18 1.56 0.06
 -------- 19:00 0.07 0.01 0.12 0.20 1.60 0.06
 01.02.13 20:00 0.06 0.02 0.12 0.20 1.59 0.06
 -------- 21:00 0.06 0.02 0.12 0.17 1.57 0.06
 -------- 22:00 0.05 0.01 0.12 0.15 1.56 0.06
 -------- 23:00 0.05 0.01 0.12 0.15 1.56 0.05
 -------- 00:00 0.04 0.01 0.12 0.13 1.54 0.04
 02.02.13 01:00 0.06 0.01 0.25 0.12 1.51 0.04
 -------- 02:00 0.05 0.01 0.25 0.13 1.50 0.03
 -------- 03:00 0.06 0.01 0.12 0.17 1.53 0.09
 -------- 04:00 0.03 0.01 0.12 0.14 1.48 0.05
 -------- 05:00 0.03 0.01 0.12 0.15 1.53 0.09
 02.02.13 06:00 0.03 0.01 0.12 0.16 1.50 0.07
 -------- 07:00 0.04 0.01 0.17 0.17 1.52 0.09
 -------- 08:00 0.07 0.01 0.12 0.16 1.49 0.06
 -------- 09:00 0.09 0.01 0.12 0.15 1.52 0.07
 -------- 10:00 0.09 0.01 0.12 0.13 1.52 0.06
 02.02.13 11:00 0.12 0.01 0.12 0.16 1.54 0.09
 -------- 12:00 0.13 0.01 0.12 0.15 1.52 0.08
 -------- 13:00 0.11 0.01 0.12 0.16 1.55 0.09
 -------- 14:00 0.11 0.01 0.12 0.17 1.58 0.09
 -------- 15:00 0.13 0.01 ---- 0.17 1.59 0.08
 02.02.13 16:00 0.10 0.02 ---- 0.20 1.54 0.08
 -------- 17:00 0.09 0.01 0.12 0.23 1.55 0.08
 -------- 18:00 0.09 0.01 0.12 0.20 1.58 0.07
 -------- 19:00 0.11 0.01 0.12 0.21 1.56 0.09
 -------- 20:00 0.11 0.01 0.12 0.18 1.56 0.08
 02.02.13 21:00 0.17 0.01 0.12 0.19 1.54 0.10
 -------- 22:00 0.11 0.01 0.17 0.18 1.55 0.11
 -------- 23:00 0.13 0.01 0.12 0.19 1.59 0.13
 -------- 00:00 0.16 0.01 0.12 0.18 1.68 0.22
