 Date Time CO SO2 H2S NO2 CHX NO
 08.04.13 00:00 0.02 0.01 0.25 0.13 1.42 0.00
 -------- 01:00 0.02 0.00 ---- 0.12 1.42 0.00
 -------- 02:00 0.02 ---- ---- 0.11 1.44 0.00
 -------- 03:00 0.02 0.00 ---- 0.13 1.49 0.00
 -------- 04:00 0.02 0.00 ---- 0.15 1.54 0.01
 08.04.13 05:00 0.10 0.00 ---- 0.36 1.63 0.31
 -------- 06:00 0.17 0.00 ---- 0.50 1.81 0.65
 -------- 07:00 0.15 0.00 ---- 0.41 1.84 0.18
 -------- 08:00 0.12 0.00 ---- 0.41 1.95 0.12
 -------- 09:00 0.04 0.00 ---- 0.32 1.51 0.06
 08.04.13 10:00 ---- ---- ---- 0.15 ---- 0.02
 -------- 11:00 ---- 0.00 ---- 0.22 ---- 0.03
 -------- 12:00 0.02 0.00 0.12 0.31 ---- 0.06
 -------- 13:00 0.02 0.00 ---- 0.27 ---- 0.05
 -------- 14:00 ---- 0.02 0.12 0.17 ---- 0.03
 08.04.13 15:00 0.02 0.00 ---- 0.17 ---- 0.02
 -------- 16:00 ---- 0.00 ---- 0.13 ---- 0.02
 -------- 17:00 ---- 0.00 ---- 0.15 1.14 0.02
 -------- 18:00 ---- ---- ---- 0.16 1.45 0.01
 -------- 19:00 ---- 0.00 ---- 0.23 1.42 0.01
 08.04.13 20:00 ---- 0.00 ---- 0.42 1.48 0.06
 -------- 21:00 ---- 0.00 ---- 0.46 1.48 0.06
 -------- 22:00 ---- 0.00 ---- 0.43 1.41 0.10
 -------- 23:00 ---- 0.01 ---- 0.45 1.49 0.19
 -------- 00:00 ---- 0.01 0.25 0.45 1.54 0.20
 09.04.13 01:00 ---- 0.02 0.38 0.48 1.61 0.35
 -------- 02:00 ---- 0.03 0.46 0.57 1.80 1.05
 -------- 03:00 ---- 0.03 0.54 0.61 2.16 1.25
 -------- 04:00 ---- 0.02 0.42 0.56 2.03 0.92
 -------- 05:00 ---- 0.02 0.54 0.57 2.03 0.96
 09.04.13 06:00 ---- 0.02 0.46 0.66 1.90 0.96
 -------- 07:00 ---- 0.02 0.62 0.86 2.16 1.61
 -------- 08:00 0.30 0.03 0.58 0.84 2.38 0.68
 -------- 09:00 0.21 0.04 0.71 0.64 2.47 0.51
 -------- 10:00 0.02 0.02 0.50 0.44 2.33 0.08
 09.04.13 11:00 ---- 0.02 0.33 0.36 1.70 0.05
 -------- 12:00 0.06 0.03 0.33 0.31 1.62 0.04
 -------- 13:00 ---- 0.02 0.33 0.16 1.41 0.02
 -------- 14:00 0.04 0.02 0.38 0.20 1.51 0.02
 -------- 15:00 ---- 0.02 0.33 0.17 1.42 0.01
 09.04.13 16:00 ---- 0.02 0.62 0.17 1.43 0.01
 -------- 17:00 ---- 0.02 0.33 0.22 1.46 0.01
 -------- 18:00 ---- 0.02 0.33 0.22 1.44 0.01
 -------- 19:00 0.06 0.01 0.25 0.34 1.43 0.02
 -------- 20:00 0.14 0.02 0.29 0.52 1.49 0.07
 09.04.13 21:00 0.13 0.02 0.25 0.51 1.60 0.06
 -------- 22:00 0.15 0.02 0.25 0.52 1.57 0.13
 -------- 23:00 0.17 0.02 0.29 0.52 1.68 0.32
 -------- 00:00 0.22 0.02 0.25 0.51 1.70 0.37
