 Date Time CO SO2 H2S NO2 CHX NO
 04.03.13 00:00 0.02 0.01 0.19 0.08 1.39 0.01
 -------- 01:00 0.02 0.00 0.17 0.07 1.39 0.01
 -------- 02:00 0.02 0.01 0.21 0.07 1.39 0.00
 -------- 03:00 0.02 0.01 0.12 0.07 1.39 0.00
 -------- 04:00 0.02 0.01 0.17 0.07 1.39 0.00
 04.03.13 05:00 0.02 0.01 0.12 0.09 1.40 0.00
 -------- 06:00 0.05 0.01 0.12 0.11 1.42 0.01
 -------- 07:00 0.05 0.01 0.21 0.14 1.57 0.01
 -------- 08:00 0.03 0.01 0.21 0.16 1.53 0.01
 -------- 09:00 0.02 0.01 0.21 0.20 1.51 0.03
 04.03.13 10:00 0.02 0.01 0.29 0.16 1.49 0.03
 -------- 11:00 0.02 0.01 0.17 0.17 1.49 0.04
 -------- 12:00 0.03 0.01 0.12 0.20 1.47 0.07
 -------- 13:00 0.02 0.01 0.21 0.15 1.45 0.04
 -------- 14:00 ---- 0.01 0.12 0.12 1.42 0.03
 04.03.13 15:00 ---- 0.03 0.25 0.06 1.43 0.01
 -------- 16:00 ---- 0.05 0.25 0.04 1.42 0.01
 -------- 17:00 ---- 0.06 0.29 0.04 1.43 0.01
 -------- 18:00 0.02 0.06 0.29 0.07 1.44 0.01
 -------- 19:00 0.02 0.01 0.12 0.11 1.42 0.01
 04.03.13 20:00 0.05 0.05 0.33 0.10 1.44 0.01
 -------- 21:00 0.04 0.13 0.42 0.11 1.45 0.00
 -------- 22:00 0.03 0.06 0.25 0.12 1.45 0.00
 -------- 23:00 0.02 0.12 0.46 0.14 1.47 0.01
 -------- 00:00 0.02 0.14 0.50 0.15 1.46 0.00
 05.03.13 01:00 0.03 0.09 0.29 0.17 1.46 0.00
 -------- 02:00 0.02 0.05 0.25 0.14 1.45 0.00
 -------- 03:00 0.03 0.03 ---- 0.18 1.48 0.01
 -------- 04:00 0.04 0.02 0.12 0.23 1.51 0.00
 -------- 05:00 0.05 0.02 0.12 0.26 1.53 0.01
 05.03.13 06:00 0.06 0.02 0.25 0.29 1.57 0.03
 -------- 07:00 0.06 0.02 0.12 0.30 1.58 0.03
 -------- 08:00 0.16 0.02 0.21 0.35 1.68 0.10
 -------- 09:00 0.19 0.02 0.17 0.38 1.83 0.20
 -------- 10:00 0.19 0.02 0.17 0.39 1.84 0.22
 05.03.13 11:00 0.16 0.02 0.38 0.37 1.71 0.17
 -------- 12:00 0.15 0.02 0.25 0.38 1.67 0.13
 -------- 13:00 0.15 0.02 0.33 0.39 1.68 0.14
 -------- 14:00 0.15 0.02 0.25 0.38 1.67 0.13
 -------- 15:00 0.12 0.02 0.29 0.37 1.62 0.12
 05.03.13 16:00 0.11 0.02 0.29 0.34 1.56 0.11
 -------- 17:00 0.09 0.02 0.33 0.30 1.52 0.08
 -------- 18:00 0.08 0.02 0.25 0.30 1.54 0.05
 -------- 19:00 0.15 0.02 0.25 0.39 1.58 0.12
 -------- 20:00 0.16 0.02 0.29 0.40 1.66 0.31
 05.03.13 21:00 0.17 0.02 0.38 0.41 1.77 0.40
 -------- 22:00 0.25 0.02 0.25 0.47 1.90 0.61
 -------- 23:00 0.12 0.02 0.29 0.43 1.79 0.35
