 Date Time CO SO2 H2S NO2 CHX NO
 05.01.13 12:00 0.07 0.01 0.25 0.18 1.94 0.10
 -------- 13:00 0.06 0.01 0.29 0.16 1.81 0.08
 -------- 14:00 0.04 0.01 0.12 0.14 1.61 0.03
 -------- 15:00 0.03 0.01 0.17 0.15 1.54 0.02
 -------- 16:00 0.03 0.01 0.12 0.16 1.57 0.04
 05.01.13 17:00 0.03 0.01 0.17 0.17 1.52 0.03
 -------- 18:00 0.02 0.01 0.19 0.15 1.50 0.02
 -------- 19:00 0.03 0.01 0.12 0.15 1.49 0.04
 -------- 20:00 0.05 0.01 0.17 0.15 1.49 0.02
 -------- 21:00 0.05 0.00 0.12 0.14 1.49 0.03
 05.01.13 22:00 0.05 0.01 0.12 0.13 1.46 0.02
 -------- 23:00 0.02 0.01 0.12 0.09 1.42 0.00
 -------- 00:00 0.03 0.00 0.12 0.09 1.43 0.01
 -------- 01:00 0.03 0.01 0.17 0.14 1.47 0.01
 -------- 02:00 0.03 0.01 0.21 0.12 1.48 0.01
 06.01.13 03:00 0.02 0.00 0.12 0.10 1.47 0.00
 -------- 04:00 0.02 0.01 0.12 0.08 1.43 0.00
 -------- 05:00 0.02 0.01 0.21 0.09 1.42 0.00
 -------- 06:00 0.02 0.01 0.21 0.10 1.42 0.01
 -------- 07:00 0.02 0.00 0.12 0.12 1.44 0.01
 06.01.13 08:00 ---- 0.01 0.12 0.12 1.45 0.01
 -------- 09:00 ---- 0.01 0.12 0.12 1.46 0.02
 -------- 10:00 ---- 0.01 0.21 0.12 1.49 0.03
 -------- 11:00 ---- 0.01 0.17 0.11 1.51 0.03
 -------- 12:00 0.02 0.01 0.25 0.10 1.50 0.03
 06.01.13 13:00 ---- 0.01 0.12 0.08 1.49 0.02
 -------- 14:00 ---- 0.01 0.12 0.08 1.48 0.02
 -------- 15:00 0.25 0.01 0.17 0.07 2.12 0.02
 -------- 16:00 ---- 0.01 0.12 0.10 1.45 0.02
 -------- 17:00 ---- 0.01 0.12 0.10 1.44 0.01
 06.01.13 18:00 ---- 0.01 0.12 0.12 1.44 0.01
 -------- 19:00 ---- 0.01 0.12 0.10 1.43 0.01
 -------- 20:00 0.08 0.01 0.12 0.10 1.43 0.01
 -------- 21:00 0.06 0.01 0.12 0.10 1.43 0.01
 -------- 22:00 0.06 0.01 0.12 0.08 1.43 0.01
 06.01.13 23:00 0.06 0.01 0.12 0.07 1.43 0.01
 -------- 00:00 0.05 0.01 0.12 0.07 1.42 0.00
 -------- 01:00 0.06 0.01 0.12 0.06 1.43 0.00
 -------- 02:00 0.04 0.01 0.12 0.04 1.41 0.01
 -------- 03:00 0.04 0.01 0.12 0.02 1.40 0.00
 07.01.13 04:00 0.04 0.00 0.12 0.02 1.40 0.00
 -------- 05:00 0.04 0.00 0.12 0.03 1.40 0.01
 -------- 06:00 0.04 0.00 0.12 0.06 1.40 0.00
 -------- 07:00 0.04 0.00 0.12 0.08 1.41 0.01
 -------- 08:00 ---- 0.00 0.12 0.09 1.43 0.00
 07.01.13 09:00 ---- 0.00 0.12 0.10 1.44 0.01
 -------- 10:00 ---- 0.00 0.12 0.09 1.44 0.01
 -------- 11:00 ---- 0.00 0.12 0.08 1.43 0.01
