 Date Time CO OZ NO2 CHX NO PM10
 12.02.13 00:00 0.12 ---- 0.30 1.68 0.11 0.08
 -------- 01:00 0.10 ---- 0.34 1.64 0.09 0.09
 -------- 02:00 0.08 ---- 0.34 1.56 0.02 0.07
 -------- 03:00 0.07 ---- 0.32 1.53 0.02 0.05
 -------- 04:00 0.06 ---- 0.25 1.53 0.02 0.04
 12.02.13 05:00 0.06 ---- 0.23 1.50 0.02 0.06
 -------- 06:00 0.06 ---- 0.25 1.54 0.02 0.04
 -------- 07:00 0.07 ---- 0.18 1.53 0.02 0.04
 -------- 08:00 0.08 ---- 0.18 1.55 0.02 0.03
 -------- 09:00 0.08 ---- 0.19 1.52 0.02 0.03
 12.02.13 10:00 0.07 ---- 0.15 1.50 0.02 0.04
 -------- 11:00 0.06 ---- 0.14 1.51 0.03 0.04
 -------- 12:00 0.06 ---- 0.15 1.51 0.03 0.04
 -------- 13:00 0.06 ---- 0.13 1.49 0.02 0.04
 -------- 14:00 0.06 ---- 0.13 1.48 0.02 0.05
 12.02.13 15:00 0.05 ---- 0.11 1.46 0.02 0.03
 -------- 16:00 0.05 ---- 0.10 1.46 0.02 0.03
 -------- 17:00 0.05 ---- 0.10 1.46 0.02 0.04
 -------- 18:00 0.06 ---- 0.11 1.46 0.02 0.04
 -------- 19:00 0.05 ---- 0.10 1.46 0.01 0.04
 12.02.13 20:00 0.04 ---- 0.10 1.46 0.01 0.05
 -------- 21:00 0.05 ---- 0.11 1.47 0.01 0.06
 -------- 22:00 0.04 ---- 0.14 1.48 0.02 0.06
 -------- 23:00 0.04 ---- 0.13 1.47 0.02 0.06
 -------- 00:00 0.04 ---- 0.11 1.47 0.02 0.07
 13.02.13 01:00 0.04 ---- 0.09 1.47 0.01 0.07
 -------- 02:00 0.04 ---- 0.10 1.47 0.02 0.08
 -------- 03:00 0.04 ---- 0.12 1.48 0.01 0.08
 -------- 04:00 0.04 ---- 0.13 1.48 0.02 0.09
 -------- 05:00 0.05 ---- 0.16 1.49 0.02 0.09
 13.02.13 06:00 0.07 ---- 0.22 1.51 0.02 0.09
 -------- 07:00 0.07 ---- 0.30 1.55 0.02 0.10
 -------- 08:00 0.09 ---- 0.31 1.55 0.02 0.10
 -------- 09:00 0.08 ---- 0.29 1.53 0.02 0.10
 -------- 10:00 0.09 ---- 0.29 1.55 0.03 0.10
 13.02.13 11:00 0.10 ---- 0.31 1.59 0.06 0.11
 -------- 12:00 0.13 ---- 0.36 1.64 0.12 0.12
 -------- 13:00 0.12 ---- 0.45 1.70 0.16 0.14
 -------- 14:00 0.11 ---- 0.48 1.65 0.14 0.14
 -------- 15:00 0.07 ---- 0.32 1.54 0.05 0.09
 13.02.13 16:00 0.06 ---- 0.17 1.49 0.02 0.07
 -------- 17:00 0.06 ---- 0.15 1.46 0.02 0.08
 -------- 18:00 0.06 ---- 0.17 1.46 0.02 0.08
 -------- 19:00 0.06 ---- 0.23 1.47 0.02 0.09
 -------- 20:00 0.06 ---- 0.27 1.48 0.02 0.10
 13.02.13 21:00 0.06 ---- 0.27 1.48 0.02 0.09
 -------- 22:00 0.06 ---- 0.22 1.47 0.02 0.09
 -------- 23:00 0.06 ---- 0.20 1.47 0.01 0.08
