 Date Time CO OZ NO2 CHX NO PM10
 21.11.12 12:00 0.06 ---- 0.15 1.48 0.03 0.12
 -------- 13:00 0.06 ---- 0.15 1.50 0.03 0.14
 -------- 14:00 0.06 ---- 0.14 1.49 0.02 0.13
 -------- 15:00 0.07 ---- 0.15 1.50 0.03 0.12
 -------- 16:00 0.11 ---- 0.18 1.54 0.05 0.13
 21.11.12 17:00 0.08 ---- 0.20 1.51 0.06 0.12
 -------- 18:00 0.08 ---- 0.20 1.54 0.04 0.12
 -------- 19:00 0.08 ---- 0.20 1.51 0.02 0.14
 -------- 20:00 0.08 ---- 0.23 1.52 0.03 0.14
 -------- 21:00 0.07 ---- 0.20 1.53 0.03 0.14
 21.11.12 22:00 0.06 ---- 0.19 1.54 0.02 0.14
 -------- 23:00 0.06 ---- 0.17 1.51 0.02 0.11
 -------- 00:00 0.05 ---- 0.12 1.50 0.02 0.09
 -------- 01:00 0.04 ---- 0.13 1.49 0.02 0.09
 -------- 02:00 0.04 ---- 0.11 1.49 0.02 0.09
 22.11.12 03:00 0.04 ---- 0.09 1.48 0.02 0.08
 -------- 04:00 0.04 ---- 0.10 1.48 0.01 0.09
 -------- 05:00 0.04 ---- 0.09 1.53 0.02 0.08
 -------- 06:00 0.07 ---- 0.13 1.53 0.02 0.07
 -------- 07:00 0.06 ---- 0.11 1.50 0.03 0.09
 22.11.12 08:00 0.09 ---- 0.15 1.56 0.03 0.10
 -------- 09:00 0.09 ---- 0.21 1.50 0.06 0.15
 -------- 10:00 0.08 ---- 0.16 1.53 0.04 0.12
 -------- 11:00 0.08 ---- 0.18 1.50 0.04 0.13
 -------- 12:00 0.07 ---- 0.16 1.50 0.03 0.11
 22.11.12 13:00 0.07 ---- 0.16 1.47 0.02 0.11
 -------- 14:00 0.07 ---- 0.14 1.45 0.02 0.13
 -------- 15:00 0.05 ---- 0.13 1.44 0.02 0.12
 -------- 16:00 0.05 ---- 0.13 1.45 0.02 0.11
 -------- 17:00 0.07 ---- 0.19 1.48 0.02 0.13
 22.11.12 18:00 0.07 ---- 0.24 1.49 0.02 0.15
 -------- 19:00 0.06 ---- 0.21 1.46 0.02 0.14
 -------- 20:00 0.05 ---- 0.16 1.45 0.02 0.11
 -------- 21:00 0.04 ---- 0.14 1.45 0.01 0.10
 -------- 22:00 0.04 ---- 0.11 1.44 0.01 0.09
 22.11.12 23:00 0.04 ---- 0.07 1.44 0.01 0.07
 -------- 00:00 0.04 ---- 0.08 1.44 0.01 0.06
 -------- 01:00 0.04 ---- 0.06 1.44 0.01 0.06
 -------- 02:00 0.04 ---- 0.05 1.44 0.01 0.06
 -------- 03:00 0.04 ---- 0.05 1.43 0.01 0.05
 23.11.12 04:00 0.04 ---- 0.06 1.44 0.01 0.04
 -------- 05:00 0.04 ---- 0.07 1.48 0.01 0.05
 -------- 06:00 0.04 ---- 0.09 1.48 0.01 0.05
 -------- 07:00 0.05 ---- 0.11 1.46 0.01 0.06
 -------- 08:00 0.09 ---- 0.14 1.45 0.02 0.06
 23.11.12 09:00 0.06 ---- 0.15 1.45 0.02 0.17
 -------- 10:00 0.07 ---- 0.13 1.47 0.02 0.12
 -------- 11:00 0.06 ---- 0.14 1.49 0.02 0.09
 -------- 12:00 0.06 ---- 0.12 1.51 0.03 0.10
