 Date Time CO OZ NO2 CHX NO PM10
 24.11.12 00:00 0.06 ---- 0.24 1.50 0.02 0.11
 -------- 01:00 0.06 ---- 0.21 1.49 0.02 0.11
 -------- 02:00 0.06 ---- 0.20 1.50 0.02 0.09
 -------- 03:00 0.05 ---- 0.16 1.49 0.01 0.08
 -------- 04:00 0.05 ---- 0.13 1.48 0.01 0.06
 24.11.12 05:00 0.04 ---- 0.12 1.47 0.02 0.06
 -------- 06:00 0.05 ---- 0.13 1.47 0.02 0.06
 -------- 07:00 0.05 ---- 0.12 1.47 0.02 0.06
 -------- 08:00 0.06 ---- 0.14 1.48 0.02 0.06
 -------- 09:00 0.06 ---- 0.17 1.48 0.03 0.07
 24.11.12 10:00 0.06 ---- 0.16 1.49 0.03 0.08
 -------- 11:00 0.07 ---- 0.15 1.49 0.04 0.09
 -------- 12:00 0.06 ---- 0.14 1.48 0.05 0.10
 -------- 13:00 0.06 ---- 0.14 1.48 0.04 0.12
 -------- 14:00 0.06 ---- 0.14 1.49 0.03 0.12
 24.11.12 15:00 0.06 ---- 0.13 1.47 0.03 0.12
 -------- 16:00 0.06 ---- 0.13 1.46 0.02 0.11
 -------- 17:00 0.06 ---- 0.18 1.47 0.03 0.13
 -------- 18:00 0.05 ---- 0.17 1.46 0.02 0.13
 -------- 19:00 0.06 ---- 0.19 1.49 0.03 0.14
 24.11.12 20:00 0.06 ---- 0.21 1.51 0.02 0.14
 -------- 21:00 0.06 ---- 0.26 1.50 0.03 0.15
 -------- 22:00 0.08 ---- 0.29 1.51 0.05 0.16
 -------- 23:00 0.08 ---- 0.32 1.53 0.09 0.16
 -------- 00:00 0.11 ---- 0.34 1.56 0.19 0.18
 25.11.12 01:00 0.13 ---- 0.38 1.62 0.29 0.20
 -------- 02:00 0.11 ---- 0.34 1.58 0.82 0.19
 -------- 03:00 0.10 ---- 0.33 1.57 0.18 0.20
 -------- 04:00 0.11 ---- 0.32 1.57 0.12 0.16
 -------- 05:00 0.09 ---- 0.32 1.56 0.05 0.13
 25.11.12 06:00 0.08 ---- 0.30 1.52 0.03 0.13
 -------- 07:00 0.06 ---- 0.27 1.50 0.02 0.11
 -------- 08:00 0.09 ---- 0.24 1.51 0.02 0.09
 -------- 09:00 0.07 ---- 0.25 1.50 0.03 0.08
 -------- 10:00 0.08 ---- 0.25 1.52 0.03 0.08
 25.11.12 11:00 0.09 ---- 0.28 1.54 0.08 0.10
 -------- 12:00 0.10 ---- 0.28 1.72 0.12 0.14
 -------- 13:00 0.12 ---- 0.31 1.66 0.16 0.19
 -------- 14:00 0.12 ---- 0.32 1.58 0.20 0.23
 -------- 15:00 0.14 ---- 0.34 1.61 0.24 0.26
 25.11.12 16:00 0.12 ---- 0.37 1.59 0.26 0.23
 -------- 17:00 0.12 ---- 0.35 1.60 0.22 0.23
 -------- 18:00 0.13 ---- 0.35 1.60 0.24 0.26
 -------- 19:00 0.14 ---- 0.35 1.62 0.25 0.26
 -------- 20:00 0.14 ---- 0.34 1.60 0.22 0.22
 25.11.12 21:00 0.11 ---- 0.34 1.55 0.17 0.17
 -------- 22:00 0.07 ---- 0.33 1.54 0.08 0.12
 -------- 23:00 0.06 ---- 0.29 1.54 0.03 0.10
 -------- 00:00 0.06 ---- 0.26 1.48 0.02 0.09
