 Date Time CO OZ NO2 CHX NO PM10
 15.12.12 00:00 0.06 ---- 0.36 1.54 0.03 0.06
 -------- 01:00 0.06 ---- 0.35 1.56 0.04 0.06
 -------- 02:00 0.06 ---- 0.34 1.56 0.04 0.06
 -------- 03:00 0.06 ---- 0.33 1.56 0.03 0.06
 -------- 04:00 0.07 ---- 0.32 1.56 0.03 0.07
 15.12.12 05:00 0.08 ---- 0.33 1.60 0.05 0.07
 -------- 06:00 0.07 ---- 0.33 1.60 0.05 0.08
 -------- 07:00 0.07 ---- 0.32 1.60 0.06 0.08
 -------- 08:00 0.08 ---- 0.32 1.62 0.09 0.10
 -------- 09:00 0.09 ---- 0.33 1.64 0.13 0.11
 15.12.12 10:00 0.11 ---- 0.34 1.70 0.17 0.10
 -------- 11:00 0.12 ---- 0.34 1.75 0.22 0.12
 -------- 12:00 0.13 ---- 0.32 1.71 0.19 0.13
 -------- 13:00 0.12 ---- 0.31 1.70 0.19 0.15
 -------- 14:00 0.13 ---- 0.33 1.70 0.19 0.15
 15.12.12 15:00 0.15 ---- 0.36 1.70 0.19 0.15
 -------- 16:00 0.13 ---- 0.39 1.65 0.17 0.13
 -------- 17:00 0.13 ---- 0.41 1.65 0.15 0.12
 -------- 18:00 0.14 ---- 0.40 1.75 0.19 0.15
 -------- 19:00 0.15 ---- 0.40 1.77 0.20 0.15
 15.12.12 20:00 0.14 ---- 0.39 1.71 0.17 0.13
 -------- 21:00 0.13 ---- 0.37 1.67 0.15 0.12
 -------- 22:00 0.12 ---- 0.36 1.66 0.13 0.10
 -------- 23:00 0.09 ---- 0.35 1.62 0.10 0.09
 -------- 00:00 0.07 ---- 0.33 1.61 0.06 0.08
 16.12.12 01:00 0.08 ---- 0.32 1.61 0.07 0.09
 -------- 02:00 0.08 ---- 0.31 1.61 0.06 0.09
 -------- 03:00 0.07 ---- 0.31 1.63 0.06 0.08
 -------- 04:00 0.06 ---- 0.30 1.62 0.05 0.08
 -------- 05:00 0.06 ---- 0.29 1.62 0.05 0.08
 16.12.12 06:00 0.07 ---- 0.30 1.65 0.07 0.08
 -------- 07:00 0.08 ---- 0.31 1.67 0.11 0.08
 -------- 08:00 0.09 ---- 0.31 1.69 0.14 0.08
 -------- 09:00 0.11 ---- 0.33 1.80 0.23 0.10
 -------- 10:00 0.13 ---- 0.34 1.88 0.28 0.12
 16.12.12 11:00 0.15 ---- 0.32 1.85 0.27 0.13
 -------- 12:00 0.13 ---- 0.32 1.75 0.21 0.11
 -------- 13:00 0.12 ---- 0.31 1.67 0.14 0.10
 -------- 14:00 0.12 ---- 0.33 1.66 0.13 0.11
 -------- 15:00 0.12 ---- 0.36 1.66 0.14 0.10
 16.12.12 16:00 0.12 ---- 0.39 1.66 0.11 0.10
 -------- 17:00 0.13 ---- 0.42 1.67 0.13 0.10
 -------- 18:00 0.16 ---- 0.43 1.75 0.21 0.13
 -------- 19:00 0.17 ---- 0.42 1.79 0.23 0.14
 -------- 20:00 0.16 ---- 0.43 1.86 0.25 0.15
 16.12.12 21:00 0.16 ---- 0.44 1.89 0.26 0.15
 -------- 22:00 0.16 ---- 0.46 1.95 0.31 0.18
 -------- 23:00 0.18 ---- 0.47 1.97 0.35 0.18
 -------- 00:00 0.18 ---- 0.47 1.97 0.35 0.17
