 Date Time CO OZ NO2 CHX NO PM10
 04.02.13 12:00 0.06 ---- 0.14 1.70 0.02 0.01
 -------- 13:00 0.05 ---- 0.12 1.64 0.02 0.01
 -------- 14:00 0.09 ---- 0.10 1.69 0.02 0.03
 -------- 15:00 0.06 ---- 0.12 1.95 0.01 0.21
 -------- 16:00 0.05 ---- 0.14 1.55 0.02 0.11
 04.02.13 17:00 0.04 ---- 0.08 1.47 0.02 0.09
 -------- 18:00 0.03 ---- 0.09 1.46 0.02 0.06
 -------- 19:00 0.02 ---- 0.06 1.44 0.02 0.05
 -------- 20:00 0.02 ---- 0.03 1.42 0.01 0.05
 -------- 21:00 0.04 ---- 0.06 1.44 0.01 0.04
 04.02.13 22:00 0.06 ---- 0.07 1.49 0.02 0.04
 -------- 23:00 0.06 ---- 0.07 1.46 0.02 0.04
 -------- 00:00 0.05 ---- 0.05 1.45 0.01 0.05
 -------- 01:00 0.04 ---- 0.02 1.42 0.01 0.04
 -------- 02:00 0.04 ---- 0.01 1.41 0.01 0.04
 05.02.13 03:00 0.04 ---- 0.01 1.40 0.01 0.03
 -------- 04:00 0.04 ---- 0.01 1.40 0.01 0.02
 -------- 05:00 0.04 ---- 0.01 1.40 0.01 0.02
 -------- 06:00 0.07 ---- 0.03 1.46 0.02 0.03
 -------- 07:00 0.06 ---- 0.05 1.43 0.03 0.03
 05.02.13 08:00 0.04 ---- 0.04 1.43 0.02 0.02
 -------- 09:00 0.06 ---- 0.10 1.49 0.03 0.03
 -------- 10:00 0.07 ---- 0.13 1.47 0.02 0.03
 -------- 11:00 0.07 ---- 0.16 1.48 0.03 0.03
 -------- 12:00 0.06 ---- 0.17 1.51 0.03 0.03
 05.02.13 13:00 0.07 ---- 0.17 1.48 0.04 0.03
 -------- 14:00 0.09 ---- 0.16 1.48 0.04 0.04
 -------- 15:00 0.06 ---- 0.18 1.50 0.03 0.04
 -------- 16:00 0.07 ---- 0.27 1.53 0.04 0.05
 -------- 17:00 0.08 ---- 0.32 1.53 0.04 0.05
 05.02.13 18:00 0.10 ---- 0.40 1.55 0.04 0.06
 -------- 19:00 0.11 ---- 0.43 1.57 0.04 0.06
 -------- 20:00 0.09 ---- 0.36 1.54 0.03 0.06
 -------- 21:00 0.07 ---- 0.24 1.50 0.02 0.04
 -------- 22:00 0.06 ---- 0.17 1.49 0.02 0.05
 05.02.13 23:00 0.06 ---- 0.12 1.48 0.02 0.05
 -------- 00:00 0.06 ---- 0.08 1.48 0.01 0.06
 -------- 01:00 0.05 ---- 0.08 1.51 0.01 0.07
 -------- 02:00 0.04 ---- 0.08 1.46 0.02 0.06
 -------- 03:00 0.05 ---- 0.07 1.45 0.01 0.06
 06.02.13 04:00 0.06 ---- 0.08 1.45 0.01 0.06
 -------- 05:00 0.06 ---- 0.07 1.48 0.01 0.05
 -------- 06:00 0.06 ---- 0.07 1.43 0.02 0.05
 -------- 07:00 0.06 ---- 0.09 1.44 0.02 0.05
 -------- 08:00 0.07 ---- 0.13 1.45 0.02 0.05
 06.02.13 09:00 0.06 ---- 0.14 1.44 0.02 0.05
 -------- 10:00 0.06 ---- 0.10 1.42 0.02 0.05
 -------- 11:00 0.07 ---- 0.11 1.44 0.02 0.05
