 Date Time CO NO2 CHX NO PM10
 05.03.13 12:00 0.05 0.12 1.52 0.04 0.03
 -------- 13:00 0.04 0.14 1.47 0.04 0.03
 -------- 14:00 0.04 0.12 1.49 0.03 0.05
 -------- 15:00 0.04 0.09 1.48 0.02 0.03
 -------- 16:00 0.06 0.08 1.48 0.02 0.03
 05.03.13 17:00 0.06 0.12 1.49 0.02 0.04
 -------- 18:00 0.09 0.16 1.51 0.02 0.04
 -------- 19:00 0.09 0.18 1.51 0.02 0.05
 -------- 20:00 0.12 0.31 1.58 0.02 0.06
 -------- 21:00 0.20 0.45 1.64 0.07 0.07
 05.03.13 22:00 0.17 0.44 1.67 0.08 0.07
 -------- 23:00 0.18 0.48 1.64 0.12 0.09
 -------- 00:00 0.16 0.49 1.63 0.07 0.09
 -------- 01:00 0.13 0.50 1.63 0.06 0.09
 -------- 02:00 0.10 0.51 1.60 0.04 0.08
 06.03.13 03:00 0.10 0.51 1.60 0.05 0.07
 -------- 04:00 0.08 0.48 1.59 0.03 0.06
 -------- 05:00 0.08 0.50 1.63 0.03 0.06
 -------- 06:00 0.08 0.47 1.64 0.03 0.07
 -------- 07:00 0.09 0.43 1.63 0.03 0.06
 06.03.13 08:00 0.10 0.43 1.64 0.04 0.07
 -------- 09:00 0.09 0.38 1.62 0.05 0.07
 -------- 10:00 0.10 0.34 1.60 0.06 0.08
 -------- 11:00 0.08 0.29 1.57 0.06 0.09
 -------- 12:00 0.08 0.26 1.57 0.05 0.08
 06.03.13 13:00 0.08 0.20 1.55 0.04 0.07
 -------- 14:00 0.08 0.19 1.54 0.04 0.07
 -------- 15:00 0.08 0.19 1.53 0.03 0.07
 -------- 16:00 0.07 0.18 1.51 0.03 0.07
 -------- 17:00 0.08 0.20 1.49 0.03 0.07
 06.03.13 18:00 0.08 0.19 1.49 0.02 0.05
 -------- 19:00 0.08 0.16 1.48 0.02 0.05
 -------- 20:00 0.08 0.16 1.50 0.01 0.05
 -------- 21:00 0.09 0.13 1.49 0.02 0.05
 -------- 22:00 0.06 0.10 1.45 0.01 0.06
 06.03.13 23:00 0.05 0.07 1.43 0.02 0.07
 -------- 00:00 0.04 0.07 1.44 0.02 0.07
 -------- 01:00 0.04 0.08 1.45 0.02 0.08
 -------- 02:00 0.04 0.07 1.41 0.01 0.08
 -------- 03:00 0.04 0.11 1.42 0.02 0.09
 07.03.13 04:00 0.04 0.15 1.42 0.02 0.09
 -------- 05:00 0.05 0.18 1.42 0.02 0.09
 -------- 06:00 0.06 0.12 1.44 0.02 0.10
 -------- 07:00 0.07 0.06 1.45 0.01 0.09
 -------- 08:00 0.07 0.08 1.45 0.02 0.07
 07.03.13 09:00 0.06 0.07 1.42 0.02 0.05
 -------- 10:00 0.04 0.05 1.38 0.02 0.04
 -------- 11:00 0.04 0.04 1.39 0.02 0.03
