 Date Time CO OZ NO2 CHX NO PM10
 07.02.13 12:00 0.08 ---- 0.24 1.54 0.04 0.09
 -------- 13:00 0.09 ---- 0.23 1.54 0.03 0.08
 -------- 14:00 0.09 ---- 0.23 1.65 0.03 0.08
 -------- 15:00 0.08 ---- 0.24 1.55 0.03 0.08
 -------- 16:00 0.08 ---- 0.26 1.53 0.03 0.08
 07.02.13 17:00 0.08 ---- 0.34 1.53 0.04 0.10
 -------- 18:00 0.09 ---- 0.42 1.54 0.05 0.11
 -------- 19:00 0.09 ---- 0.43 1.52 0.04 0.13
 -------- 20:00 0.09 ---- 0.39 1.51 0.03 0.10
 -------- 21:00 0.09 ---- 0.32 1.50 0.02 0.10
 07.02.13 22:00 0.08 ---- 0.23 1.48 0.02 0.09
 -------- 23:00 0.07 ---- 0.18 1.48 0.02 0.06
 -------- 00:00 0.08 ---- 0.24 1.49 0.02 0.08
 -------- 01:00 0.08 ---- 0.26 1.50 0.02 0.08
 -------- 02:00 0.07 ---- 0.25 1.50 0.02 0.06
 08.02.13 03:00 0.07 ---- 0.25 1.50 0.02 0.08
 -------- 04:00 0.06 ---- 0.22 1.49 0.02 0.08
 -------- 05:00 0.06 ---- 0.18 1.48 0.02 0.06
 -------- 06:00 0.06 ---- 0.20 1.48 0.02 0.06
 -------- 07:00 0.06 ---- 0.23 1.50 0.02 0.05
 08.02.13 14:00 0.12 ---- 0.37 1.69 0.11 0.10
 -------- 15:00 0.09 ---- 0.36 1.58 0.10 0.09
 -------- 16:00 0.09 ---- 0.38 1.58 0.09 0.09
 -------- 17:00 0.10 ---- 0.40 1.61 0.12 0.10
 -------- 18:00 0.09 ---- 0.41 1.60 0.11 0.08
 08.02.13 19:00 0.08 ---- 0.43 1.58 0.07 0.07
 -------- 20:00 0.08 ---- 0.43 1.57 0.07 0.06
 -------- 21:00 0.07 ---- 0.44 1.56 0.05 0.05
 -------- 22:00 0.06 ---- 0.43 1.55 0.03 0.04
 -------- 23:00 0.06 ---- 0.39 1.52 0.02 0.04
 09.02.13 00:00 0.06 ---- 0.41 1.54 0.02 0.05
 -------- 01:00 0.07 ---- 0.42 1.55 0.02 0.05
 -------- 02:00 0.06 ---- 0.36 1.54 0.02 0.04
 -------- 03:00 0.06 ---- 0.33 1.54 0.02 0.04
 -------- 04:00 0.04 ---- 0.28 1.53 0.02 0.04
 09.02.13 05:00 0.04 ---- 0.22 1.53 0.02 0.04
 -------- 06:00 0.04 ---- 0.20 1.51 0.02 0.04
 -------- 07:00 0.04 ---- 0.23 1.51 0.02 0.04
 -------- 08:00 0.05 ---- 0.27 1.52 0.02 0.06
 -------- 09:00 0.05 ---- 0.28 1.54 0.02 0.07
 09.02.13 10:00 0.06 ---- 0.35 1.55 0.03 0.07
 -------- 11:00 0.05 ---- 0.33 1.53 0.03 0.07
 -------- 12:00 0.06 ---- 0.35 1.55 0.05 0.08
