 Date Time CO OZ NO2 CHX NO PM10
 26.03.13 12:00 0.04 ---- 0.06 1.50 0.02 0.02
 -------- 13:00 0.04 ---- 0.03 1.47 0.02 0.02
 -------- 14:00 0.04 ---- 0.04 1.40 0.02 0.04
 -------- 15:00 0.04 ---- 0.05 1.42 0.02 0.02
 -------- 16:00 0.04 ---- 0.03 1.40 0.02 0.01
 26.03.13 17:00 0.03 ---- 0.03 1.40 0.02 0.01
 -------- 18:00 0.03 ---- 0.04 1.42 0.02 0.01
 -------- 19:00 0.04 ---- 0.05 1.41 0.02 0.01
 -------- 20:00 0.04 ---- 0.07 1.43 0.02 0.02
 -------- 21:00 0.05 ---- 0.13 1.47 0.02 0.02
 26.03.13 22:00 0.04 ---- 0.23 1.51 0.02 0.02
 -------- 23:00 0.05 ---- 0.21 1.47 0.02 0.02
 -------- 00:00 0.05 ---- 0.20 1.50 0.02 0.02
 -------- 01:00 0.06 ---- 0.21 1.55 0.02 0.04
 -------- 02:00 0.09 ---- 0.25 1.58 0.02 0.04
 27.03.13 03:00 0.06 ---- 0.24 1.58 0.02 0.04
 -------- 04:00 0.13 ---- 0.22 1.76 0.02 0.03
 -------- 05:00 0.04 ---- 0.17 1.60 0.02 0.03
 -------- 06:00 0.04 ---- 0.13 1.54 0.02 0.02
 -------- 07:00 0.06 ---- 0.13 1.55 0.02 0.02
 27.03.13 08:00 0.08 ---- 0.17 1.56 0.02 0.03
 -------- 09:00 0.05 ---- 0.13 1.53 0.03 0.03
 -------- 10:00 0.04 ---- 0.12 1.54 0.03 0.04
 -------- 11:00 0.05 ---- 0.11 1.50 0.03 0.03
 -------- 12:00 0.04 ---- 0.10 1.46 0.03 0.03
 27.03.13 13:00 0.03 ---- 0.09 1.43 0.03 0.02
 -------- 14:00 0.03 ---- 0.05 1.43 0.02 0.03
 -------- 15:00 0.04 ---- 0.05 1.43 0.02 0.02
 -------- 16:00 0.04 ---- 0.05 1.48 0.02 0.03
 -------- 17:00 0.04 ---- 0.06 1.45 0.02 0.03
 27.03.13 18:00 0.04 ---- 0.06 1.46 0.02 0.03
 -------- 19:00 0.04 ---- 0.05 1.44 0.02 0.03
 -------- 20:00 0.05 ---- 0.09 1.47 0.02 0.03
 -------- 21:00 0.06 ---- 0.16 1.51 0.02 0.05
 -------- 22:00 0.07 ---- 0.16 1.54 0.02 0.04
 27.03.13 23:00 0.05 ---- 0.12 1.54 0.02 0.03
 -------- 00:00 0.06 ---- 0.13 1.51 0.02 0.03
 -------- 01:00 0.09 ---- 0.30 1.58 0.02 0.05
 -------- 02:00 0.07 ---- 0.20 1.54 0.02 0.04
 -------- 03:00 0.05 ---- 0.11 1.59 0.02 0.03
 28.03.13 04:00 0.05 ---- 0.08 1.57 0.01 0.03
 -------- 05:00 0.05 ---- 0.07 1.52 0.01 0.03
 -------- 06:00 0.05 ---- 0.06 1.52 0.02 0.02
 -------- 07:00 0.26 ---- 0.11 1.61 0.02 0.03
 -------- 08:00 0.11 ---- 0.11 1.58 0.02 0.04
 28.03.13 09:00 0.07 ---- 0.09 1.58 0.02 0.04
 -------- 10:00 0.04 ---- 0.07 1.51 0.02 0.04
 -------- 11:00 0.05 ---- 0.05 1.45 0.02 0.03
