 Date Time CO OZ NO2 CHX NO PM10
 02.01.13 12:00 0.06 ---- 0.07 1.43 0.01 0.07
 -------- 13:00 0.07 ---- 0.09 1.43 0.02 0.07
 -------- 14:00 0.07 ---- 0.10 1.44 0.02 0.07
 -------- 15:00 0.07 ---- 0.11 1.44 0.02 0.07
 -------- 16:00 0.07 ---- 0.11 1.44 0.02 0.07
 02.01.13 17:00 0.08 ---- 0.13 1.46 0.01 0.08
 -------- 18:00 0.08 ---- 0.13 1.47 0.01 0.11
 -------- 19:00 0.08 ---- 0.11 1.47 0.01 0.06
 -------- 20:00 0.07 ---- 0.10 1.47 0.02 0.06
 -------- 21:00 0.06 ---- 0.08 1.48 0.01 0.06
 02.01.13 22:00 0.06 ---- 0.08 1.50 0.01 0.07
 -------- 23:00 0.06 ---- 0.09 1.52 0.01 0.07
 -------- 00:00 0.06 ---- 0.07 1.53 0.01 0.07
 -------- 01:00 0.06 ---- 0.06 1.53 0.01 0.07
 -------- 02:00 0.06 ---- 0.08 1.51 0.02 0.06
 03.01.13 03:00 0.06 ---- 0.05 1.51 0.01 0.07
 -------- 04:00 0.06 ---- 0.04 1.50 0.01 0.07
 -------- 05:00 0.06 ---- 0.03 1.49 0.01 0.07
 -------- 06:00 0.06 ---- 0.04 1.47 0.01 0.07
 -------- 07:00 0.06 ---- 0.05 1.49 0.01 0.08
 03.01.13 08:00 0.06 ---- 0.06 1.50 0.01 0.08
 -------- 09:00 0.06 ---- 0.07 1.50 0.01 0.08
 -------- 10:00 0.08 ---- 0.10 1.54 0.02 0.09
 -------- 11:00 0.08 ---- 0.11 1.52 0.02 0.09
 -------- 12:00 0.08 ---- 0.11 1.54 0.03 0.09
 03.01.13 13:00 0.09 ---- 0.12 1.52 0.01 0.22
 -------- 14:00 0.08 ---- 0.12 1.53 0.01 0.18
 -------- 15:00 0.07 ---- 0.09 1.55 0.01 0.16
 -------- 16:00 0.06 ---- 0.04 1.77 0.01 0.13
 -------- 17:00 0.06 ---- 0.04 1.51 0.01 0.11
 03.01.13 18:00 0.07 ---- 0.11 1.51 0.01 0.08
 -------- 19:00 0.08 ---- 0.12 1.50 0.01 0.08
 -------- 20:00 0.08 ---- 0.10 1.51 0.01 0.10
 -------- 21:00 0.08 ---- 0.10 1.53 0.01 0.10
 -------- 22:00 0.06 ---- 0.10 1.48 0.02 0.08
 03.01.13 23:00 0.06 ---- 0.09 1.54 0.02 0.08
 -------- 00:00 0.06 ---- 0.09 1.53 0.02 0.07
 -------- 01:00 0.06 ---- 0.07 1.51 0.01 0.06
 -------- 02:00 0.06 ---- 0.08 1.46 0.01 0.06
 -------- 03:00 0.06 ---- 0.08 1.46 0.02 0.04
 04.01.13 04:00 0.05 ---- 0.06 1.45 0.01 0.03
 -------- 05:00 0.05 ---- 0.05 1.45 0.01 0.02
 -------- 06:00 0.04 ---- 0.06 1.45 0.02 0.03
 -------- 07:00 0.05 ---- 0.07 1.46 0.01 0.02
 -------- 08:00 0.08 ---- 0.08 1.42 0.01 0.03
 04.01.13 09:00 0.07 ---- 0.12 1.46 0.02 0.03
 -------- 10:00 0.07 ---- 0.10 1.47 0.01 0.03
 -------- 11:00 0.07 ---- 0.12 1.49 0.02 0.04
